"Year","State","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alabama","White","Non-Hispanic","78","949,541","8.21","9.29","3,587"
"2021","Alabama","White","Hispanic","--","104,511","--","--","--"
"2021","Alabama","Black","Non-Hispanic","251","481,490","52.13","57.91","11,284"
"2021","Alabama","Black","Hispanic","0**","8,581","0.00**","0.00**","--"
"2021","Alabama","American Indian / Alaska Native","Non-Hispanic","0**","7,214","0.00**","0.00**","--"
"2021","Alabama","American Indian / Alaska Native","Hispanic","0**","4,019","0.00**","0.00**","--"
"2021","Alabama","Asian","Non-Hispanic","0**","25,270","0.00**","0.00**","--"
"2021","Alabama","Asian","Hispanic","--","1,425","--","--","--"
"2021","Alabama","HI Native / Pacific Islander","Non-Hispanic","0**","942","0.00**","0.00**","--"
"2021","Alabama","HI Native / Pacific Islander","Hispanic","0**","1,350","0.00**","0.00**","--"
"2021","Alabama","More than One Race","Non-Hispanic","--","52,313","--","--","--"
"2021","Alabama","More than One Race","Hispanic","0**","4,997","0.00**","0.00**","--"
"2021","Alaska","White","Non-Hispanic","21","124,081","16.92","17.85","920"
"2021","Alaska","White","Hispanic","--","16,088","--","--","--"
"2021","Alaska","Black","Non-Hispanic","--","8,664","--","--","--"
"2021","Alaska","Black","Hispanic","--","1,524","--","--","--"
"2021","Alaska","American Indian / Alaska Native","Non-Hispanic","17**","46,434","36.61**","33.34**","770"
"2021","Alaska","American Indian / Alaska Native","Hispanic","--","3,787","--","--","--"
"2021","Alaska","Asian","Non-Hispanic","--","14,692","--","--","--"
"2021","Alaska","Asian","Hispanic","0**","741","0.00**","0.00**","--"
"2021","Alaska","HI Native / Pacific Islander","Non-Hispanic","0**","5,522","0.00**","0.00**","--"
"2021","Alaska","HI Native / Pacific Islander","Hispanic","0**","264","0.00**","0.00**","--"
"2021","Alaska","More than One Race","Non-Hispanic","--","31,166","--","--","--"
"2021","Alaska","More than One Race","Hispanic","0**","3,788","0.00**","0.00**","--"
