"Intent","Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Unintentional","2020","Texas","54","29,217,653","0.19","0.18","1,938"
"Unintentional","2020","Virginia","17**","8,632,044","0.20**","0.20**","507"
"Unintentional","2020","Washington","--","7,718,785","--","--","--"
"Unintentional","2020","West Virginia","11**","1,789,798","0.62**","0.59**","258"
"Unintentional","2020","Wisconsin","--","5,892,323","--","--","--"
"Unintentional","2020","Wyoming","--","577,267","--","--","--"
"Unintentional","2019","Alabama","29","4,907,965","0.59","0.58","813"
"Unintentional","2019","Alaska","--","733,603","--","--","--"
"Unintentional","2019","Arizona","13**","7,291,843","0.18**","0.18**","388"
"Unintentional","2019","Arkansas","14**","3,020,985","0.46**","0.47**","512"
"Unintentional","2019","California","27","39,437,610","0.07","0.07","695"
"Unintentional","2019","Colorado","--","5,758,486","--","--","--"
"Unintentional","2019","Connecticut","--","3,566,022","--","--","--"
"Unintentional","2019","Delaware","--","976,668","--","--","--"
"Unintentional","2019","Florida","12**","21,492,056","0.06**","0.05**","253"
"Unintentional","2019","Georgia","22","10,628,020","0.21","0.22","738"
"Unintentional","2019","Hawaii","--","1,415,615","--","--","--"
"Unintentional","2019","Idaho","--","1,789,060","--","--","--"
"Unintentional","2019","Illinois","16**","12,667,017","0.13**","0.14**","545"
"Unintentional","2019","Indiana","15**","6,731,010","0.22**","0.21**","497"
"Unintentional","2019","Iowa","--","3,159,596","--","--","--"
"Unintentional","2019","Kansas","--","2,912,635","--","--","--"
"Unintentional","2019","Kentucky","21","4,472,345","0.47","0.47","508"
"Unintentional","2019","Louisiana","11**","4,658,285","0.24**","0.28**","406"
"Unintentional","2019","Maine","--","1,345,770","--","--","--"
"Unintentional","2019","Maryland","--","6,054,954","--","--","--"
"Unintentional","2019","Massachusetts","--","6,894,883","--","--","--"
"Unintentional","2019","Michigan","--","9,984,795","--","--","--"
"Unintentional","2019","Minnesota","--","5,640,053","--","--","--"
"Unintentional","2019","Mississippi","18**","2,978,227","0.60**","0.66**","515"
"Unintentional","2019","Missouri","21","6,140,475","0.34","0.34","726"
"Unintentional","2019","Montana","--","1,070,123","--","--","--"
"Unintentional","2019","Nebraska","--","1,932,571","--","--","--"
"Unintentional","2019","Nevada","--","3,090,771","--","--","--"
"Unintentional","2019","New Hampshire","--","1,360,783","--","--","--"
"Unintentional","2019","New Jersey","--","8,891,258","--","--","--"
"Unintentional","2019","New Mexico","--","2,099,634","--","--","--"
"Unintentional","2019","New York","--","19,463,131","--","--","--"
"Unintentional","2019","North Carolina","38","10,501,384","0.36","0.36","1,134"
"Unintentional","2019","North Dakota","--","763,724","--","--","--"
"Unintentional","2019","Ohio","12**","11,696,507","0.10**","0.10**","343"
"Unintentional","2019","Oklahoma","--","3,960,676","--","--","--"
"Unintentional","2019","Oregon","--","4,216,116","--","--","--"
"Unintentional","2019","Pennsylvania","16**","12,798,883","0.13**","0.13**","382"
"Unintentional","2019","Rhode Island","--","1,058,158","--","--","--"
"Unintentional","2019","South Carolina","16**","5,157,702","0.31**","0.32**","553"
"Unintentional","2019","South Dakota","--","887,127","--","--","--"
"Unintentional","2019","Tennessee","16**","6,830,325","0.23**","0.24**","373"
"Unintentional","2019","Texas","51","28,986,794","0.18","0.18","1,569"
"Unintentional","2019","Utah","--","3,203,383","--","--","--"
"Unintentional","2019","Virginia","--","8,556,642","--","--","--"
"Unintentional","2019","Washington","--","7,614,024","--","--","--"
"Unintentional","2019","West Virginia","14**","1,795,263","0.78**","0.71**","278"
"Unintentional","2019","Wisconsin","--","5,824,581","--","--","--"
"Unintentional","2018","Alabama","24","4,891,628","0.49","0.52","795"
"Unintentional","2018","Alaska","--","736,624","--","--","--"
"Unintentional","2018","Arizona","11**","7,164,228","0.15**","0.16**","355"
"Unintentional","2018","Arkansas","13**","3,012,161","0.43**","0.43**","470"
"Unintentional","2018","California","34","39,437,463","0.09","0.09","1,049"
"Unintentional","2018","Colorado","--","5,697,155","--","--","--"
"Unintentional","2018","Connecticut","0**","3,574,561","0.00**","0.00**","--"
"Unintentional","2018","Delaware","--","966,985","--","--","--"
"Unintentional","2018","Florida","16**","21,254,926","0.08**","0.08**","497"
"Unintentional","2018","Georgia","15**","10,519,389","0.14**","0.14**","560"
"Unintentional","2018","Hawaii","--","1,423,102","--","--","--"
"Unintentional","2018","Idaho","--","1,752,074","--","--","--"
"Unintentional","2018","Illinois","--","12,724,685","--","--","--"
"Unintentional","2018","Indiana","10**","6,698,481","0.15**","0.15**","356"
"Unintentional","2018","Iowa","--","3,149,900","--","--","--"
"Unintentional","2018","Kansas","--","2,912,748","--","--","--"
"Unintentional","2018","Kentucky","23","4,464,273","0.52","0.53","846"
"Unintentional","2018","Louisiana","12**","4,664,450","0.26**","0.27**","450"
"Unintentional","2018","Maine","--","1,340,123","--","--","--"
"Unintentional","2018","Maryland","--","6,042,153","--","--","--"
"Unintentional","2018","Massachusetts","--","6,885,720","--","--","--"
"Unintentional","2018","Michigan","--","9,987,286","--","--","--"
"Unintentional","2018","Minnesota","--","5,608,762","--","--","--"
"Unintentional","2018","Mississippi","28","2,982,879","0.94","0.92","675"
"Unintentional","2018","Missouri","10**","6,125,986","0.16**","0.17**","366"
"Unintentional","2018","Montana","--","1,061,818","--","--","--"
"Unintentional","2018","Nebraska","--","1,925,512","--","--","--"
"Unintentional","2018","Nevada","--","3,030,725","--","--","--"
"Unintentional","2018","New Hampshire","--","1,355,064","--","--","--"
"Unintentional","2018","New Jersey","--","8,891,730","--","--","--"
"Unintentional","2018","New Mexico","--","2,093,754","--","--","--"
"Unintentional","2018","New York","--","19,544,098","--","--","--"
"Unintentional","2018","North Carolina","30","10,391,358","0.29","0.29","797"
"Unintentional","2018","North Dakota","--","760,062","--","--","--"
"Unintentional","2018","Ohio","13**","11,680,892","0.11**","0.12**","416"
"Unintentional","2018","Oklahoma","--","3,943,488","--","--","--"
"Unintentional","2018","Oregon","--","4,183,538","--","--","--"
"Unintentional","2018","Pennsylvania","21","12,809,107","0.16","0.16","547"
"Unintentional","2018","South Carolina","18**","5,091,702","0.35**","0.35**","551"
"Unintentional","2018","South Dakota","--","879,386","--","--","--"
"Unintentional","2018","Tennessee","11**","6,778,180","0.16**","0.15**","361"
"Unintentional","2018","Texas","37","28,624,564","0.13","0.13","1,099"
"Unintentional","2018","Utah","--","3,155,153","--","--","--"
"Unintentional","2018","Virginia","10**","8,510,920","0.12**","0.11**","253"
"Unintentional","2018","Washington","--","7,526,793","--","--","--"
"Unintentional","2018","West Virginia","--","1,805,953","--","--","--"
"Unintentional","2018","Wisconsin","--","5,809,319","--","--","--"
"Unintentional","2018","Wyoming","--","579,054","--","--","--"
"Unintentional","2017","Alabama","21","4,877,989","0.43","0.44","574"
"Unintentional","2017","Alaska","--","740,983","--","--","--"
"Unintentional","2017","Arizona","--","7,048,088","--","--","--"
"Unintentional","2017","Arkansas","19**","3,003,855","0.63**","0.68**","651"
"Unintentional","2017","California","38","39,337,785","0.10","0.10","1,174"
"Unintentional","2017","Colorado","--","5,617,421","--","--","--"
"Unintentional","2017","Connecticut","--","3,575,324","--","--","--"
"Unintentional","2017","Florida","20**","20,977,089","0.10**","0.11**","754"
"Unintentional","2017","Georgia","21","10,417,031","0.20","0.19","550"
"Unintentional","2017","Idaho","--","1,719,745","--","--","--"
"Unintentional","2017","Illinois","11**","12,779,893","0.09**","0.09**","351"
"Unintentional","2017","Indiana","13**","6,662,068","0.20**","0.17**","298"
"Unintentional","2017","Iowa","--","3,143,734","--","--","--"
"Unintentional","2017","Kansas","10**","2,910,892","0.34**","0.34**","334"
"Unintentional","2017","Kentucky","15**","4,455,590","0.34**","0.35**","505"
"Unintentional","2017","Louisiana","10**","4,673,673","0.21**","0.21**","302"
"Unintentional","2017","Maine","--","1,335,743","--","--","--"
"Unintentional","2017","Maryland","--","6,028,186","--","--","--"
"Unintentional","2017","Massachusetts","--","6,863,560","--","--","--"
"Unintentional","2017","Michigan","--","9,976,752","--","--","--"
"Unintentional","2017","Minnesota","--","5,569,283","--","--","--"
"Unintentional","2017","Mississippi","15**","2,990,674","0.50**","0.52**","657"
"Unintentional","2017","Missouri","30","6,111,382","0.49","0.51","1,040"
"Unintentional","2017","Montana","--","1,053,862","--","--","--"
"Unintentional","2017","Nebraska","--","1,916,998","--","--","--"
"Unintentional","2017","Nevada","--","2,972,097","--","--","--"
"Unintentional","2017","New Hampshire","--","1,350,395","--","--","--"
"Unintentional","2017","New Jersey","--","8,888,147","--","--","--"
"Unintentional","2017","New Mexico","--","2,092,844","--","--","--"
"Unintentional","2017","New York","--","19,593,849","--","--","--"
"Unintentional","2017","North Carolina","43","10,275,758","0.42","0.42","1,133"
"Unintentional","2017","Ohio","19**","11,665,706","0.16**","0.18**","530"
"Unintentional","2017","Oklahoma","--","3,933,602","--","--","--"
"Unintentional","2017","Oregon","--","4,147,294","--","--","--"
"Unintentional","2017","Pennsylvania","13**","12,794,679","0.10**","0.11**","528"
"Unintentional","2017","South Carolina","15**","5,027,102","0.30**","0.31**","666"
"Unintentional","2017","South Dakota","--","873,732","--","--","--"
"Unintentional","2017","Tennessee","22","6,714,748","0.33","0.33","532"
"Unintentional","2017","Texas","32","28,291,024","0.11","0.12","1,033"
"Unintentional","2017","Utah","--","3,103,540","--","--","--"
"Unintentional","2017","Vermont","--","625,132","--","--","--"
"Unintentional","2017","Virginia","--","8,471,011","--","--","--"
"Unintentional","2017","Washington","--","7,427,951","--","--","--"
"Unintentional","2017","West Virginia","--","1,818,683","--","--","--"
"Unintentional","2017","Wisconsin","--","5,793,147","--","--","--"
"Unintentional","2017","Wyoming","--","579,994","--","--","--"
"Unintentional","2016","Alabama","21","4,866,824","0.43","0.42","669"
"Unintentional","2016","Alaska","--","742,575","--","--","--"
"Unintentional","2016","Arizona","--","6,944,767","--","--","--"
"Unintentional","2016","Arkansas","11**","2,991,815","0.37**","0.37**","316"
"Unintentional","2016","California","36","39,149,186","0.09","0.09","1,220"
"Unintentional","2016","Colorado","11**","5,543,844","0.20**","0.19**","332"
"Unintentional","2016","Connecticut","--","3,579,830","--","--","--"
"Unintentional","2016","Delaware","--","949,989","--","--","--"
"Unintentional","2016","Florida","13**","20,627,237","0.06**","0.07**","385"
"Unintentional","2016","Georgia","21","10,308,442","0.20","0.20","659"
"Unintentional","2016","Hawaii","--","1,428,885","--","--","--"
"Unintentional","2016","Idaho","--","1,684,036","--","--","--"
"Unintentional","2016","Illinois","11**","12,821,709","0.09**","0.09**","401"
"Unintentional","2016","Indiana","20**","6,637,898","0.30**","0.30**","638"
"Unintentional","2016","Iowa","--","3,133,210","--","--","--"
"Unintentional","2016","Kansas","--","2,912,977","--","--","--"
"Unintentional","2016","Kentucky","21","4,440,306","0.47","0.49","688"
"Unintentional","2016","Louisiana","13**","4,681,346","0.28**","0.28**","472"
"Unintentional","2016","Maine","--","1,332,348","--","--","--"
"Unintentional","2016","Maryland","--","6,007,014","--","--","--"
"Unintentional","2016","Massachusetts","--","6,827,280","--","--","--"
"Unintentional","2016","Michigan","14**","9,954,117","0.14**","0.14**","439"
"Unintentional","2016","Minnesota","--","5,525,360","--","--","--"
"Unintentional","2016","Mississippi","21","2,990,595","0.70","0.71","488"
"Unintentional","2016","Missouri","13**","6,091,384","0.21**","0.22**","417"
"Unintentional","2016","Montana","--","1,042,137","--","--","--"
"Unintentional","2016","Nebraska","--","1,906,483","--","--","--"
"Unintentional","2016","Nevada","--","2,919,555","--","--","--"
"Unintentional","2016","New Jersey","--","8,873,584","--","--","--"
"Unintentional","2016","New Mexico","--","2,092,555","--","--","--"
"Unintentional","2016","New York","--","19,636,391","--","--","--"
"Unintentional","2016","North Carolina","27","10,161,802","0.27","0.25","614"
"Unintentional","2016","North Dakota","--","756,114","--","--","--"
"Unintentional","2016","Ohio","12**","11,640,060","0.10**","0.09**","270"
"Unintentional","2016","Oklahoma","--","3,928,143","--","--","--"
"Unintentional","2016","Oregon","--","4,093,271","--","--","--"
"Unintentional","2016","Pennsylvania","16**","12,788,468","0.13**","0.13**","562"
"Unintentional","2016","South Carolina","22","4,963,031","0.44","0.46","764"
"Unintentional","2016","South Dakota","--","863,693","--","--","--"
"Unintentional","2016","Tennessee","19**","6,651,277","0.29**","0.27**","427"
"Unintentional","2016","Texas","47","27,914,064","0.17","0.16","1,502"
"Unintentional","2016","Utah","--","3,044,241","--","--","--"
"Unintentional","2016","Vermont","--","624,366","--","--","--"
"Unintentional","2016","Virginia","--","8,417,651","--","--","--"
"Unintentional","2016","Washington","--","7,299,961","--","--","--"
"Unintentional","2016","West Virginia","--","1,832,435","--","--","--"
"Unintentional","2016","Wisconsin","--","5,775,170","--","--","--"
"Unintentional","2016","Wyoming","--","585,243","--","--","--"
"Unintentional","2015","Alabama","20**","4,854,803","0.41**","0.42**","560"
"Unintentional","2015","Alaska","--","738,430","--","--","--"
"Unintentional","2015","Arizona","--","6,832,810","--","--","--"
"Unintentional","2015","Arkansas","17**","2,979,732","0.57**","0.57**","528"
"Unintentional","2015","California","29","38,904,296","0.08","0.07","824"
"Unintentional","2015","Colorado","--","5,454,328","--","--","--"
"Unintentional","2015","Connecticut","--","3,588,561","--","--","--"
"Unintentional","2015","Florida","30","20,219,111","0.15","0.14","736"
"Unintentional","2015","Georgia","21","10,183,353","0.21","0.20","794"
"Unintentional","2015","Hawaii","--","1,422,999","--","--","--"
"Unintentional","2015","Idaho","--","1,652,495","--","--","--"
"Unintentional","2015","Illinois","15**","12,859,585","0.12**","0.11**","423"
"Unintentional","2015","Indiana","14**","6,611,442","0.21**","0.20**","302"
"Unintentional","2015","Iowa","--","3,122,541","--","--","--"
"Unintentional","2015","Kansas","--","2,910,717","--","--","--"
"Unintentional","2015","Kentucky","--","4,429,126","--","--","--"
"Unintentional","2015","Louisiana","17**","4,666,998","0.36**","0.39**","557"
"Unintentional","2015","Maryland","--","5,988,528","--","--","--"
"Unintentional","2015","Massachusetts","--","6,797,484","--","--","--"
"Unintentional","2015","Michigan","14**","9,934,483","0.14**","0.15**","429"
"Unintentional","2015","Minnesota","--","5,484,002","--","--","--"
"Unintentional","2015","Mississippi","18**","2,990,231","0.60**","0.58**","553"
"Unintentional","2015","Missouri","18**","6,075,411","0.30**","0.29**","588"
"Unintentional","2015","Montana","--","1,031,495","--","--","--"
"Unintentional","2015","Nebraska","--","1,892,059","--","--","--"
"Unintentional","2015","Nevada","--","2,868,531","--","--","--"
"Unintentional","2015","New Jersey","--","8,870,312","--","--","--"
"Unintentional","2015","New Mexico","--","2,090,071","--","--","--"
"Unintentional","2015","New York","--","19,657,321","--","--","--"
"Unintentional","2015","North Carolina","39","10,037,218","0.39","0.39","1,153"
"Unintentional","2015","North Dakota","--","755,537","--","--","--"
"Unintentional","2015","Ohio","15**","11,622,315","0.13**","0.13**","499"
"Unintentional","2015","Oklahoma","--","3,910,518","--","--","--"
"Unintentional","2015","Oregon","--","4,018,542","--","--","--"
"Unintentional","2015","Pennsylvania","16**","12,789,838","0.13**","0.14**","436"
"Unintentional","2015","Rhode Island","--","1,056,886","--","--","--"
"Unintentional","2015","South Carolina","12**","4,896,006","0.25**","0.25**","388"
"Unintentional","2015","South Dakota","--","854,663","--","--","--"
"Unintentional","2015","Tennessee","30","6,595,354","0.46","0.43","656"
"Unintentional","2015","Texas","43","27,468,531","0.16","0.16","1,025"
"Unintentional","2015","Utah","--","2,983,626","--","--","--"
"Unintentional","2015","Virginia","14**","8,367,303","0.17**","0.18**","439"
"Unintentional","2015","Washington","--","7,167,287","--","--","--"
"Unintentional","2015","Wisconsin","--","5,762,927","--","--","--"
"Unintentional","2015","Wyoming","--","586,389","--","--","--"
"Unintentional","2014","Alabama","29","4,843,737","0.60","0.62","834"
"Unintentional","2014","Alaska","--","737,075","--","--","--"
"Unintentional","2014","Arizona","--","6,732,873","--","--","--"
"Unintentional","2014","Arkansas","--","2,968,759","--","--","--"
"Unintentional","2014","California","23","38,586,706","0.06","0.06","709"
"Unintentional","2014","Colorado","--","5,352,637","--","--","--"
"Unintentional","2014","Connecticut","--","3,595,697","--","--","--"
"Unintentional","2014","Florida","29","19,853,880","0.15","0.13","673"
"Unintentional","2014","Georgia","29","10,071,204","0.29","0.29","778"
"Unintentional","2014","Hawaii","--","1,415,335","--","--","--"
"Unintentional","2014","Idaho","--","1,632,248","--","--","--"
"Unintentional","2014","Illinois","--","12,885,092","--","--","--"
"Unintentional","2014","Indiana","15**","6,596,019","0.23**","0.23**","457"
"Unintentional","2014","Iowa","--","3,110,643","--","--","--"
"Unintentional","2014","Kansas","--","2,901,861","--","--","--"
"Unintentional","2014","Kentucky","13**","4,416,992","0.29**","0.31**","308"
"Unintentional","2014","Louisiana","19**","4,645,938","0.41**","0.40**","429"
"Unintentional","2014","Maryland","--","5,960,064","--","--","--"
"Unintentional","2014","Massachusetts","--","6,764,864","--","--","--"
"Unintentional","2014","Michigan","--","9,932,033","--","--","--"
"Unintentional","2014","Minnesota","--","5,452,665","--","--","--"
"Unintentional","2014","Mississippi","17**","2,991,892","0.57**","0.53**","418"
"Unintentional","2014","Missouri","14**","6,059,130","0.23**","0.24**","360"
"Unintentional","2014","Montana","--","1,022,657","--","--","--"
"Unintentional","2014","Nebraska","--","1,879,955","--","--","--"
"Unintentional","2014","Nevada","--","2,818,935","--","--","--"
"Unintentional","2014","New Hampshire","--","1,334,257","--","--","--"
"Unintentional","2014","New Jersey","--","8,867,277","--","--","--"
"Unintentional","2014","New Mexico","--","2,090,236","--","--","--"
"Unintentional","2014","New York","10**","19,653,431","0.05**","0.05**","226"
"Unintentional","2014","North Carolina","39","9,937,295","0.39","0.37","1,045"
"Unintentional","2014","North Dakota","--","738,736","--","--","--"
"Unintentional","2014","Ohio","18**","11,606,573","0.16**","0.15**","523"
"Unintentional","2014","Oklahoma","15**","3,879,187","0.39**","0.36**","559"
"Unintentional","2014","Oregon","--","3,965,447","--","--","--"
"Unintentional","2014","Pennsylvania","14**","12,792,392","0.11**","0.11**","441"
"Unintentional","2014","South Carolina","13**","4,826,858","0.27**","0.26**","416"
"Unintentional","2014","South Dakota","--","849,670","--","--","--"
"Unintentional","2014","Tennessee","10**","6,544,617","0.15**","0.16**","277"
"Unintentional","2014","Texas","40","26,963,092","0.15","0.15","1,092"
"Unintentional","2014","Utah","--","2,938,327","--","--","--"
"Unintentional","2014","Vermont","--","625,693","--","--","--"
"Unintentional","2014","Virginia","12**","8,315,430","0.14**","0.14**","382"
"Unintentional","2014","Washington","--","7,057,531","--","--","--"
"Unintentional","2014","West Virginia","--","1,850,569","--","--","--"
"Unintentional","2014","Wisconsin","--","5,753,199","--","--","--"
"Unintentional","2014","Wyoming","--","583,159","--","--","--"
"Unintentional","2013","Alabama","25","4,831,586","0.52","0.53","712"
"Unintentional","2013","Alaska","--","737,626","--","--","--"
"Unintentional","2013","Arizona","--","6,634,690","--","--","--"
"Unintentional","2013","Arkansas","15**","2,960,459","0.51**","0.47**","445"
"Unintentional","2013","California","35","38,253,768","0.09","0.09","924"
"Unintentional","2013","Colorado","--","5,270,774","--","--","--"
"Unintentional","2013","Florida","22","19,551,678","0.11","0.11","434"
"Unintentional","2013","Georgia","24","9,975,592","0.24","0.25","546"
"Unintentional","2013","Hawaii","--","1,408,822","--","--","--"
"Unintentional","2013","Idaho","--","1,612,053","--","--","--"
"Unintentional","2013","Illinois","18**","12,895,778","0.14**","0.14**","750"
"Unintentional","2013","Indiana","15**","6,570,575","0.23**","0.23**","497"
"Unintentional","2013","Iowa","--","3,093,935","--","--","--"
"Unintentional","2013","Kansas","--","2,894,306","--","--","--"
"Unintentional","2013","Kentucky","21","4,406,906","0.48","0.46","593"
"Unintentional","2013","Louisiana","19**","4,626,040","0.41**","0.44**","675"
"Unintentional","2013","Maine","--","1,328,543","--","--","--"
"Unintentional","2013","Maryland","--","5,925,197","--","--","--"
"Unintentional","2013","Massachusetts","--","6,715,158","--","--","--"
"Unintentional","2013","Michigan","10**","9,914,802","0.10**","0.11**","395"
"Unintentional","2013","Minnesota","--","5,414,722","--","--","--"
"Unintentional","2013","Mississippi","17**","2,989,839","0.57**","0.59**","640"
"Unintentional","2013","Missouri","19**","6,042,989","0.31**","0.29**","388"
"Unintentional","2013","Montana","--","1,014,158","--","--","--"
"Unintentional","2013","Nebraska","--","1,865,813","--","--","--"
"Unintentional","2013","Nevada","--","2,776,956","--","--","--"
"Unintentional","2013","New Hampshire","--","1,327,272","--","--","--"
"Unintentional","2013","New Jersey","--","8,857,821","--","--","--"
"Unintentional","2013","New Mexico","--","2,092,833","--","--","--"
"Unintentional","2013","New York","--","19,626,488","--","--","--"
"Unintentional","2013","North Carolina","18**","9,846,717","0.18**","0.17**","506"
"Unintentional","2013","North Dakota","--","723,149","--","--","--"
"Unintentional","2013","Ohio","21","11,579,692","0.18","0.18","614"
"Unintentional","2013","Oklahoma","15**","3,853,891","0.39**","0.39**","379"
"Unintentional","2013","Oregon","--","3,924,110","--","--","--"
"Unintentional","2013","Pennsylvania","22","12,779,538","0.17","0.17","565"
"Unintentional","2013","Rhode Island","--","1,055,560","--","--","--"
"Unintentional","2013","South Carolina","15**","4,766,469","0.32**","0.30**","298"
"Unintentional","2013","South Dakota","--","842,751","--","--","--"
"Unintentional","2013","Tennessee","19**","6,496,943","0.29**","0.29**","453"
"Unintentional","2013","Texas","38","26,479,646","0.14","0.14","1,272"
"Unintentional","2013","Utah","--","2,898,773","--","--","--"
"Unintentional","2013","Virginia","10**","8,255,861","0.12**","0.12**","265"
"Unintentional","2013","Washington","11**","6,966,252","0.16**","0.16**","448"
"Unintentional","2013","West Virginia","--","1,854,768","--","--","--"
"Unintentional","2013","Wisconsin","10**","5,738,012","0.17**","0.17**","283"
"Unintentional","2013","Wyoming","--","582,620","--","--","--"
"Unintentional","2012","Alabama","14**","4,816,632","0.29**","0.26**","334"
"Unintentional","2012","Alaska","--","730,810","--","--","--"
"Unintentional","2012","Arizona","--","6,556,344","--","--","--"
"Unintentional","2012","Arkansas","10**","2,952,876","0.34**","0.31**","164"
"Unintentional","2012","California","30","37,944,551","0.08","0.08","953"
"Unintentional","2012","Colorado","11**","5,193,660","0.21**","0.23**","301"
