"Intent","Year","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Unintentional","2021","White","Non-Hispanic","310","196,833,431","0.16","0.16","8,435"
"Unintentional","2021","White","Hispanic","59","54,628,180","0.11","0.10","2,182"
"Unintentional","2021","White","Unknown","--","--","--","--","--"
"Unintentional","2021","Black","Non-Hispanic","150","41,858,536","0.36","0.37","6,138"
"Unintentional","2021","Black","Hispanic","--","3,202,321","--","--","--"
"Unintentional","2021","American Indian / Alaska Native","Non-Hispanic","--","2,451,916","--","--","--"
"Unintentional","2021","American Indian / Alaska Native","Hispanic","0**","1,915,624","0.00**","0.00**","--"
"Unintentional","2021","Asian","Non-Hispanic","--","19,685,901","--","--","--"
"Unintentional","2021","Asian","Hispanic","--","664,582","--","--","--"
"Unintentional","2021","HI Native / Pacific Islander","Non-Hispanic","--","626,246","--","--","--"
"Unintentional","2021","More than One Race","Non-Hispanic","--","7,790,671","--","--","--"
"Unintentional","2020","White","Non-Hispanic","317","197,712,124","0.16","0.17","8,654"
"Unintentional","2020","White","Hispanic","60","54,029,829","0.11","0.10","2,354"
"Unintentional","2020","Black","Non-Hispanic","134","41,725,587","0.32","0.32","5,365"
"Unintentional","2020","Black","Hispanic","--","3,136,118","--","--","--"
"Unintentional","2020","American Indian / Alaska Native","Non-Hispanic","12**","2,444,583","0.49**","0.46**","486"
"Unintentional","2020","Asian","Non-Hispanic","--","19,498,796","--","--","--"
"Unintentional","2020","HI Native / Pacific Islander","Non-Hispanic","--","618,447","--","--","--"
"Unintentional","2020","More than One Race","Non-Hispanic","--","7,622,406","--","--","--"
"Unintentional","2019","White","Non-Hispanic","291","197,255,617","0.15","0.15","7,060"
"Unintentional","2019","White","Hispanic","54","52,809,481","0.10","0.10","1,830"
"Unintentional","2019","Black","Non-Hispanic","115","41,192,127","0.28","0.28","4,421"
"Unintentional","2019","Black","Hispanic","--","3,032,229","--","--","--"
"Unintentional","2019","American Indian / Alaska Native","Non-Hispanic","--","2,422,370","--","--","--"
"Unintentional","2019","American Indian / Alaska Native","Hispanic","--","1,821,539","--","--","--"
"Unintentional","2019","Asian","Non-Hispanic","--","19,075,130","--","--","--"
"Unintentional","2019","Asian","Hispanic","--","630,630","--","--","--"
"Unintentional","2019","HI Native / Pacific Islander","Non-Hispanic","--","604,124","--","--","--"
"Unintentional","2019","HI Native / Pacific Islander","Hispanic","0**","224,936","0.00**","0.00**","--"
"Unintentional","2019","More than One Race","Non-Hispanic","--","7,376,098","--","--","--"
"Unintentional","2019","More than One Race","Hispanic","--","1,885,672","--","--","--"
"Unintentional","2018","White","Non-Hispanic","284","197,545,931","0.14","0.14","7,248"
"Unintentional","2018","White","Hispanic","41","52,058,632","0.08","0.08","1,460"
"Unintentional","2018","Black","Non-Hispanic","101","40,898,768","0.25","0.24","4,145"
"Unintentional","2018","Black","Hispanic","--","2,958,593","--","--","--"
"Unintentional","2018","American Indian / Alaska Native","Non-Hispanic","--","2,410,262","--","--","--"
"Unintentional","2018","American Indian / Alaska Native","Hispanic","--","1,781,944","--","--","--"
"Unintentional","2018","Asian","Non-Hispanic","--","18,728,396","--","--","--"
"Unintentional","2018","More than One Race","Non-Hispanic","--","7,192,403","--","--","--"
