"Intent","Year","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Unintentional","2021","Males","482","164,384,742","0.29","0.30","15,634"
"Unintentional","2021","Females","67","167,509,003","0.04","0.04","2,174"
"Unintentional","2020","Males","474","164,214,877","0.29","0.29","15,505"
"Unintentional","2020","Females","61","167,286,203","0.04","0.04","1,814"
"Unintentional","2019","Males","436","161,692,336","0.27","0.27","12,813"
"Unintentional","2019","Females","50","166,637,617","0.03","0.03","1,378"
"Unintentional","2018","Males","413","160,960,513","0.26","0.25","12,638"
"Unintentional","2018","Females","45","165,877,686","0.03","0.03","1,409"
"Unintentional","2017","Males","423","160,113,445","0.26","0.27","13,189"
"Unintentional","2017","Females","63","165,008,683","0.04","0.04","1,851"
"Unintentional","2016","Males","424","159,085,693","0.27","0.26","12,958"
"Unintentional","2016","Females","71","163,986,062","0.04","0.04","2,009"
"Unintentional","2015","Males","418","157,906,843","0.27","0.26","12,071"
"Unintentional","2015","Females","71","162,832,151","0.04","0.04","1,823"
"Unintentional","2014","Males","397","156,695,810","0.25","0.25","10,931"
"Unintentional","2014","Females","64","161,690,519","0.04","0.04","1,888"
"Unintentional","2013","Males","441","155,514,054","0.28","0.28","12,624"
"Unintentional","2013","Females","64","160,545,893","0.04","0.04","1,936"
"Unintentional","2012","Males","475","154,397,027","0.31","0.30","13,083"
"Unintentional","2012","Females","73","159,480,635","0.05","0.05","2,136"
"Unintentional","2011","Males","511","153,212,980","0.33","0.33","14,047"
"Unintentional","2011","Females","80","158,370,501","0.05","0.05","2,662"
"Unintentional","2010","Males","515","151,788,777","0.34","0.34","15,287"
"Unintentional","2010","Females","91","156,969,328","0.06","0.06","2,686"
"Unintentional","2009","Males","497","150,807,454","0.33","0.33","14,136"
"Unintentional","2009","Females","57","155,964,075","0.04","0.04","1,460"
"Unintentional","2008","Males","510","149,489,864","0.34","0.34","14,548"
"Unintentional","2008","Females","82","154,603,927","0.05","0.05","2,274"
"Unintentional","2007","Males","537","148,064,715","0.36","0.36","16,141"
"Unintentional","2007","Females","76","153,166,315","0.05","0.05","2,008"
"Unintentional","2006","Males","567","146,647,158","0.39","0.38","17,299"
"Unintentional","2006","Females","75","151,732,602","0.05","0.05","2,087"
"Unintentional","2005","Males","683","145,196,982","0.47","0.47","20,240"
"Unintentional","2005","Females","106","150,319,506","0.07","0.07","2,881"
"Unintentional","2004","Males","573","143,827,954","0.40","0.40","17,115"
"Unintentional","2004","Females","76","148,977,257","0.05","0.05","2,070"
"Unintentional","2003","Males","656","142,428,853","0.46","0.46","19,397"
"Unintentional","2003","Females","74","147,678,992","0.05","0.05","1,883"
"Unintentional","2002","Males","667","141,230,565","0.47","0.47","20,201"
"Unintentional","2002","Females","95","146,394,561","0.07","0.07","2,742"
"Unintentional","2001","Males","690","139,891,523","0.49","0.49","20,679"
"Unintentional","2001","Females","112","145,077,405","0.08","0.08","2,876"
"Homicide","2021","Males","17,596","164,384,742","10.70","11.04","581,342"
"Homicide","2021","Females","3,362","167,509,003","2.01","2.11","101,694"
"Homicide","2020","Males","16,428","164,214,877","10.00","10.29","549,289"
"Homicide","2020","Females","2,956","167,286,203","1.77","1.85","87,408"
"Homicide","2019","Males","12,127","161,692,336","7.50","7.65","401,395"
"Homicide","2019","Females","2,287","166,637,617","1.37","1.44","65,250"
"Homicide","2018","Males","11,641","160,960,513","7.23","7.34","381,120"
"Homicide","2018","Females","2,317","165,877,686","1.40","1.45","66,563"
"Homicide","2017","Males","12,220","160,113,445","7.63","7.71","404,445"
"Homicide","2017","Females","2,322","165,008,683","1.41","1.45","66,364"
"Homicide","2016","Males","12,213","159,085,693","7.68","7.74","407,368"
"Homicide","2016","Females","2,202","163,986,062","1.34","1.40","64,719"
"Homicide","2015","Males","11,029","157,906,843","6.98","7.00","368,271"
"Homicide","2015","Females","1,950","162,832,151","1.20","1.23","55,133"
"Homicide","2014","Males","9,278","156,695,810","5.92","5.92","311,068"
"Homicide","2014","Females","1,730","161,690,519","1.07","1.10","49,420"
"Homicide","2013","Males","9,445","155,514,054","6.07","6.05","317,038"
"Homicide","2013","Females","1,763","160,545,893","1.10","1.12","48,803"
