"Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","46,728","334,914,895","13.95","13.72","1,108,690"
"2022","48,204","333,271,411","14.46","14.27","1,161,877"
"2021","48,830","332,048,977","14.71","14.61","1,225,115"
"2020","45,222","331,526,933","13.64","13.53","1,131,105"
"2019","39,707","328,329,953","12.09","11.83","925,023"
"2018","39,740","326,838,199","12.16","11.86","919,185"
"2017","39,773","325,122,128","12.23","11.97","939,964"
"2016","38,658","323,071,755","11.97","11.73","916,869"
"2015","36,252","320,738,994","11.30","11.03","842,471"
"2014","33,594","318,386,329","10.55","10.27","759,593"
"2013","33,636","316,059,947","10.64","10.38","767,706"
"2012","33,563","313,877,662","10.69","10.45","779,886"
"2011","32,351","311,583,481","10.38","10.16","757,212"
"2010","31,672","308,758,105","10.26","10.07","749,025"
"2009","31,347","306,771,529","10.22","10.05","744,196"
"2008","31,593","304,093,791","10.39","10.23","771,167"
"2007","31,224","301,231,030","10.37","10.24","782,750"
"2006","30,896","298,379,760","10.36","10.22","787,280"
"2005","30,694","295,516,488","10.39","10.27","774,943"
"2004","29,569","292,805,211","10.10","9.99","743,312"
"2003","30,136","290,107,845","10.39","10.29","766,185"
"2002","30,242","287,625,126","10.51","10.44","768,956"
"2001","29,573","284,968,928","10.38","10.31","756,584"
"Total","823,204","7,186,028,477","11.46","11.26","19,879,094"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2001 to 2023","","","","",""
"Geography: United States","","","","",""
"Intent: All Intents","","","","",""
"Mechanism: Firearm","","","","",""
"Age: All Ages","","","","",""
"Sex: All Sexes","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2001 - 2023 with No Race","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","",""
"--* indicates secondary suppression.","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","",""
"Reports for All Ages include those of unknown age.","","","","",""
"Data sources:","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
