"Year","Intent","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Unintentional","Males","406","165,749,400","0.25","0.25","13,034"
"2023","Unintentional","Females","57","169,165,495","0.03","0.04","2,205"
"2023","Homicide","Males","14,920","165,749,400","9.00","9.31","485,532"
"2023","Homicide","Females","3,007","169,165,495","1.78","1.87","87,069"
"2023","Legal Intervention","Males","577","165,749,400","0.35","0.36","15,417"
"2023","Legal Intervention","Females","27","169,165,495","0.02","0.02","781"
"2023","Suicide","Males","23,707","165,749,400","14.30","13.58","423,049"
"2023","Suicide","Females","3,593","169,165,495","2.12","2.03","68,071"
"2023","Undetermined","Males","321","165,749,400","0.19","0.20","10,447"
"2023","Undetermined","Females","113","169,165,495","0.07","0.07","3,085"
"2022","Unintentional","Males","409","164,963,406","0.25","0.25","13,141"
"2022","Unintentional","Females","54","168,308,005","0.03","0.04","2,014"
"2022","Homicide","Males","16,428","164,963,406","9.96","10.29","537,698"
"2022","Homicide","Females","3,223","168,308,005","1.92","2.02","96,535"
"2022","Legal Intervention","Males","615","164,963,406","0.37","0.38","16,606"
"2022","Legal Intervention","Females","28","168,308,005","0.02","0.02","614"
"2022","Suicide","Males","23,538","164,963,406","14.27","13.58","415,458"
"2022","Suicide","Females","3,494","168,308,005","2.08","1.99","67,504"
"2022","Undetermined","Males","312","164,963,406","0.19","0.19","9,415"
"2022","Undetermined","Females","103","168,308,005","0.06","0.06","2,892"
"2021","Unintentional","Males","482","164,418,227","0.29","0.30","15,634"
"2021","Unintentional","Females","67","167,630,750","0.04","0.04","2,174"
"2021","Homicide","Males","17,596","164,418,227","10.70","11.03","581,342"
"2021","Homicide","Females","3,362","167,630,750","2.01","2.11","101,694"
"2021","Legal Intervention","Males","513","164,418,227","0.31","0.32","14,533"
"2021","Legal Intervention","Females","24","167,630,750","0.01","0.02","686"
"2021","Suicide","Males","22,936","164,418,227","13.95","13.44","427,984"
"2021","Suicide","Females","3,392","167,630,750","2.02","1.95","66,769"
"2021","Undetermined","Males","339","164,418,227","0.21","0.21","10,814"
"2021","Undetermined","Females","119","167,630,750","0.07","0.07","3,485"
"2020","Unintentional","Males","474","164,218,174","0.29","0.29","15,505"
"2020","Unintentional","Females","61","167,308,759","0.04","0.04","1,814"
"2020","Homicide","Males","16,428","164,218,174","10.00","10.29","549,289"
"2020","Homicide","Females","2,956","167,308,759","1.77","1.85","87,408"
"2020","Legal Intervention","Males","587","164,218,174","0.36","0.37","16,008"
"2020","Legal Intervention","Females","24","167,308,759","0.01","0.02","615"
"2020","Suicide","Males","21,180","164,218,174","12.90","12.44","386,484"
"2020","Suicide","Females","3,112","167,308,759","1.86","1.79","61,691"
"2020","Undetermined","Males","312","164,218,174","0.19","0.19","10,052"
"2020","Undetermined","Females","88","167,308,759","0.05","0.05","2,239"
"2019","Unintentional","Males","436","161,692,336","0.27","0.27","12,813"
"2019","Unintentional","Females","50","166,637,617","0.03","0.03","1,378"
"2019","Homicide","Males","12,127","161,692,336","7.50","7.65","401,395"
"2019","Homicide","Females","2,287","166,637,617","1.37","1.44","65,250"
"2019","Legal Intervention","Males","496","161,692,336","0.31","0.32","13,563"
"2019","Legal Intervention","Females","24","166,637,617","0.01","0.02","630"
"2019","Suicide","Males","20,725","161,692,336","12.82","12.23","360,801"
"2019","Suicide","Females","3,216","166,637,617","1.93","1.85","59,070"
"2019","Undetermined","Males","257","161,692,336","0.16","0.16","7,561"
"2019","Undetermined","Females","89","166,637,617","0.05","0.05","2,562"
"2018","Unintentional","Males","413","160,960,513","0.26","0.25","12,638"
"2018","Unintentional","Females","45","165,877,686","0.03","0.03","1,409"
"2018","Homicide","Males","11,641","160,960,513","7.23","7.34","381,120"
"2018","Homicide","Females","2,317","165,877,686","1.40","1.45","66,563"
"2018","Legal Intervention","Males","516","160,960,513","0.32","0.33","14,128"
"2018","Legal Intervention","Females","23","165,877,686","0.01","0.01","605"
"2018","Suicide","Males","21,101","160,960,513","13.11","12.55","369,025"
"2018","Suicide","Females","3,331","165,877,686","2.01","1.92","63,152"
"2018","Undetermined","Males","284","160,960,513","0.18","0.18","8,482"
"2018","Undetermined","Females","69","165,877,686","0.04","0.04","2,063"
"2017","Unintentional","Males","423","160,113,445","0.26","0.27","13,189"
"2017","Unintentional","Females","63","165,008,683","0.04","0.04","1,851"
"2017","Homicide","Males","12,220","160,113,445","7.63","7.71","404,445"
"2017","Homicide","Females","2,322","165,008,683","1.41","1.45","66,364"
"2017","Legal Intervention","Males","526","160,113,445","0.33","0.34","14,938"
"2017","Legal Intervention","Females","27","165,008,683","0.02","0.02","874"
"2017","Suicide","Males","20,615","160,113,445","12.88","12.41","367,477"
"2017","Suicide","Females","3,239","165,008,683","1.96","1.89","61,306"
