"Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","11,229","20,121,104","55.81","53.30","385,616"
"2020","10,616","20,060,279","52.92","50.24","368,654"
"2019","7,657","19,695,050","38.88","36.61","264,787"
"2018","7,103","19,553,766","36.33","34.18","244,053"
"Total","","36,605","79,430,199","46.08","43.64","1,263,110"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2018 to 2021","","","","",""
"Geography: United States","","","","",""
"Intent: Homicide and Legal Intervention","","","","",""
"Mechanism: Firearm","","","","",""
"Age: All Ages","","","","",""
"Sex: Males","","","","",""
"Race: Black","","","","",""
"Ethnicity: Non-Hispanic","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
