"Year","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"2021","--","331,893,745","--","--","--","--","--","--","--"
"2020","--","329,484,123","--","--","--","--","--","--","--"
"2019","--","328,329,953","--","--","--","--","--","--","--"
"2018","--","326,838,199","--","--","--","--","--","--","--"
"2017","--","325,122,128","--","--","--","--","--","--","--"
"2016","--","323,071,755","--","--","--","--","--","--","--"
"2015","84,997","320,738,994","26.50","26.60","2,528","24,674","29.0%","36,636","133,357"
"2014","81,034","318,386,329","25.45","25.52","2,312","23,563","29.1%","34,850","127,219"
"2013","84,258","316,059,947","26.66","26.80","2,305","24,128","28.6%","36,968","131,548"
"2012","81,396","313,877,662","25.93","25.86","2,036","19,872","24.4%","42,446","120,345"
"2011","73,883","311,583,481","23.71","23.64","1,748","18,967","25.7%","36,708","111,058"
"2010","73,505","308,758,105","23.81","23.97","1,733","19,061","25.9%","36,146","110,864"
"2009","66,769","306,771,529","21.76","21.68","1,706","15,558","23.3%","36,275","97,262"
"2008","78,622","304,093,966","25.85","25.77","1,855","20,247","25.8%","38,938","118,306"
"2007","69,863","301,231,207","23.19","23.04","1,791","19,639","28.1%","31,370","108,355"
"2006","71,417","298,379,912","23.93","23.61","1,843","18,938","26.5%","34,299","108,535"
"2005","69,825","295,516,599","23.63","23.43","1,830","18,028","25.8%","34,490","105,160"
"2004","64,389","292,805,298","21.99","21.79","1,694","15,517","24.1%","33,976","94,802"
"2003","65,834","290,107,933","22.69","22.34","1,514","14,139","21.5%","38,122","93,547"
"2002","58,841","287,625,193","20.46","20.16","1,536","12,444","21.1%","34,451","83,231"
"2001","63,012","284,968,955","22.11","21.68","1,478","13,911","22.1%","35,747","90,278"
"Total","1,944,047","6,515,645,013","29.84","--","46,062","--","--","--","--"
"","","","","","","","","",""
"Injury Outcome: Nonfatal All Injuries","","","","","","","","",""
"Data Years: 2001 to 2021","","","","","","","","",""
"Geography: United States","","","","","","","","",""
"Disposition: All Cases","","","","","","","","",""
"Intent: All Intents","","","","","","","","",""
"Mechanism: Firearm","","","","","","","","",""
"Age: All Ages","","","","","","","","",""
"Sex: All Sexes","","","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","","","",""
