"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alabama","84","1,130,840","7.43","--","4,286"
"2023","Alaska","10**","175,507","5.70**","--","524"
"2023","Arizona","65","1,583,034","4.11","--","3,250"
"2023","Arkansas","46","705,608","6.52","--","2,317"
"2023","California","157","8,445,669","1.86","--","7,870"
"2023","Colorado","52","1,214,684","4.28","--","2,597"
"2023","Connecticut","11**","722,986","1.52**","--","561"
"2023","Delaware","--","211,938","--","--","--"
"2023","District of Columbia","20**","126,592","15.80**","--","997"
"2023","Florida","132","4,380,843","3.01","--","6,740"
"2023","Georgia","130","2,538,681","5.12","--","6,580"
"2023","Hawaii","--","293,613","--","--","--"
"2023","Idaho","20**","467,342","4.28**","--","1,014"
"2023","Illinois","124","2,705,522","4.58","--","6,247"
"2023","Indiana","81","1,587,254","5.10","--","4,155"
"2023","Iowa","18**","730,122","2.47**","--","892"
"2023","Kansas","30","694,337","4.32","--","1,537"
"2023","Kentucky","48","1,016,895","4.72","--","2,461"
"2023","Louisiana","94","1,067,149","8.81","--","4,774"
"2023","Maine","--","249,052","--","--","--"
"2023","Maryland","45","1,361,916","3.30","--","2,247"
"2023","Massachusetts","10**","1,341,801","0.75**","--","509"
"2023","Michigan","76","2,111,911","3.60","--","3,835"
"2023","Minnesota","21","1,300,934","1.61","--","1,071"
"2023","Mississippi","66","679,826","9.71","--","3,345"
"2023","Missouri","75","1,374,470","5.46","--","3,744"
"2023","Montana","11**","235,651","4.67**","--","546"
"2023","Nebraska","14**","480,998","2.91**","--","708"
"2023","Nevada","30","685,956","4.37","--","1,496"
"2023","New Hampshire","--","252,050","--","--","--"
"2023","New Jersey","21","2,010,290","1.05","--","1,076"
"2023","New Mexico","33","451,347","7.31","--","1,655"
"2023","New York","44","3,959,908","1.11","--","2,206"
"2023","North Carolina","102","2,336,623","4.37","--","5,165"
"2023","North Dakota","11**","184,734","5.96**","--","547"
"2023","Ohio","119","2,578,254","4.62","--","6,083"
"2023","Oklahoma","55","966,607","5.69","--","2,823"
"2023","Oregon","18**","831,830","2.16**","--","891"
"2023","Pennsylvania","68","2,629,005","2.59","--","3,432"
"2023","Rhode Island","--","203,838","--","--","--"
"2023","South Carolina","56","1,144,201","4.89","--","2,896"
"2023","South Dakota","--","221,898","--","--","--"
"2023","Tennessee","96","1,570,728","6.11","--","4,916"
"2023","Texas","277","7,561,125","3.66","--","13,937"
"2023","Utah","26","933,152","2.79","--","1,312"
"2023","Vermont","--","114,636","--","--","--"
"2023","Virginia","58","1,881,544","3.08","--","2,940"
"2023","Washington","45","1,648,070","2.73","--","2,274"
"2023","West Virginia","--","352,212","--","--","--"
"2023","Wisconsin","43","1,249,129","3.44","--","2,168"
"2023","Wyoming","--","129,549","--","--","--"
"2022","Alabama","71","1,128,550","6.29","--","3,633"
"2022","Alaska","11**","177,337","6.20**","--","584"
