"Year","State","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alabama","White","Non-Hispanic","31","633,919","4.89","--","1,608"
"2023","Alabama","White","Hispanic","--","93,721","--","--","--"
"2023","Alabama","Black","Non-Hispanic","47","320,579","14.66","--","2,381"
"2023","Alabama","Black","Hispanic","0**","7,239","0.00**","--","--"
"2023","Alabama","American Indian / Alaska Native","Non-Hispanic","0**","3,874","0.00**","--","--"
"2023","Alabama","American Indian / Alaska Native","Hispanic","0**","3,897","0.00**","--","--"
"2023","Alabama","Asian","Non-Hispanic","0**","16,414","0.00**","--","--"
"2023","Alabama","Asian","Hispanic","--","1,319","--","--","--"
"2023","Alabama","HI Native / Pacific Islander","Non-Hispanic","0**","705","0.00**","--","--"
"2023","Alabama","HI Native / Pacific Islander","Hispanic","0**","1,070","0.00**","--","--"
"2023","Alabama","More than One Race","Non-Hispanic","--","43,588","--","--","--"
"2023","Alabama","More than One Race","Hispanic","0**","4,515","0.00**","--","--"
"2023","Alaska","White","Non-Hispanic","--","81,612","--","--","--"
"2023","Alaska","White","Hispanic","0**","10,336","0.00**","--","--"
"2023","Alaska","Black","Non-Hispanic","0**","5,045","0.00**","--","--"
"2023","Alaska","Black","Hispanic","0**","1,129","0.00**","--","--"
"2023","Alaska","American Indian / Alaska Native","Non-Hispanic","--","31,733","--","--","--"
"2023","Alaska","American Indian / Alaska Native","Hispanic","0**","3,089","0.00**","--","--"
"2023","Alaska","Asian","Non-Hispanic","--","9,790","--","--","--"
"2023","Alaska","Asian","Hispanic","0**","570","0.00**","--","--"
"2023","Alaska","HI Native / Pacific Islander","Non-Hispanic","0**","4,378","0.00**","--","--"
"2023","Alaska","HI Native / Pacific Islander","Hispanic","0**","240","0.00**","--","--"
"2023","Alaska","More than One Race","Non-Hispanic","--","24,466","--","--","--"
"2023","Alaska","More than One Race","Hispanic","--","3,119","--","--","--"
"2023","Arizona","White","Non-Hispanic","--","602,729","--","--","--"
"2023","Arizona","White","Hispanic","30","592,368","5.06","--","1,479"
"2023","Arizona","Black","Non-Hispanic","13**","88,214","14.74**","--","640"
"2023","Arizona","Black","Hispanic","0**","21,289","0.00**","--","--"
"2023","Arizona","American Indian / Alaska Native","Non-Hispanic","--","70,913","--","--","--"
"2023","Arizona","American Indian / Alaska Native","Hispanic","--","41,835","--","--","--"
