"Date Printed: Wednesday, January 25, 2023 2:36:25 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | 13-24 | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
NA - Not Applicable.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
HIV diagnoses,Alabama,1,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,165,21.7,"760,037"
HIV diagnoses,Alaska,2,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,6,5.2,"115,795"
HIV diagnoses,Arizona,4,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,165,14.1,"1,167,894"
HIV diagnoses,Arkansas,5,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,74,15.5,"477,896"
HIV diagnoses,California,6,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,801,13,"6,184,585"
HIV diagnoses,Colorado,8,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,80,9,"890,609"
HIV diagnoses,Connecticut,9,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,44,7.8,"566,716"
HIV diagnoses,Delaware,10,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,19,13.5,"141,061"
HIV diagnoses,District of Columbia,11,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,44,44.5,"98,810"
HIV diagnoses,Florida,12,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,742,25.2,"2,949,461"
HIV diagnoses,Georgia,13,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,629,36,"1,745,957"
HIV diagnoses,Hawaii,15,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,9,4.6,"195,623"
HIV diagnoses,Idaho,16,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,4,1.4,"295,202"
HIV diagnoses,Illinois,17,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,308,15.6,"1,979,281"
HIV diagnoses,Indiana,18,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,99,8.9,"1,108,911"
HIV diagnoses,Iowa,19,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,23,4.4,"521,525"
HIV diagnoses,Kansas,20,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,32,6.5,"491,798"
HIV diagnoses,Kentucky,21,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,66,9.4,"699,564"
HIV diagnoses,Louisiana,22,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,186,25.8,"720,301"
HIV diagnoses,Maine,23,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,5,2.7,"181,970"
HIV diagnoses,Maryland,24,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,176,19.5,"903,173"
HIV diagnoses,Massachusetts,25,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,71,6.5,"1,093,129"
HIV diagnoses,Michigan,26,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,172,10.9,"1,574,199"
HIV diagnoses,Minnesota,27,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,47,5.4,"864,793"
HIV diagnoses,Mississippi,28,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,126,26,"485,152"
HIV diagnoses,Missouri,29,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,109,11.4,"952,299"
HIV diagnoses,Montana,30,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,4,2.5,"162,278"
HIV diagnoses,Nebraska,31,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,14,4.4,"320,967"
HIV diagnoses,Nevada,32,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,95,21.3,"446,259"
HIV diagnoses,New Hampshire,33,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,1,0.5,"203,040"
HIV diagnoses,New Jersey,34,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,183,13.9,"1,318,020"
HIV diagnoses,New Mexico,35,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,30,8.9,"335,533"
HIV diagnoses,New York,36,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,439,15.2,"2,885,326"
HIV diagnoses,North Carolina,37,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,375,22.6,"1,659,201"
HIV diagnoses,North Dakota,38,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,5,3.9,"129,336"
HIV diagnoses,Ohio,39,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,228,12.6,"1,803,752"
HIV diagnoses,Oklahoma,40,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,80,12.4,"646,056"
HIV diagnoses,Oregon,41,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,21,3.4,"609,207"
