"Date Printed: Wednesday, January 25, 2023 12:27:46 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | 45-54 | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
NA - Not Applicable.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
HIV diagnoses,Alabama,1,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,75,12.2,"616,852"
HIV diagnoses,Alaska,2,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,1,1.2,"85,322"
HIV diagnoses,Arizona,4,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,95,11.2,"851,650"
HIV diagnoses,Arkansas,5,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,41,11.3,"362,004"
HIV diagnoses,California,6,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,612,12.3,"4,968,577"
HIV diagnoses,Colorado,8,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,65,9.2,"705,684"
HIV diagnoses,Connecticut,9,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,39,8.2,"476,519"
HIV diagnoses,Delaware,10,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,14,11.8,"118,993"
HIV diagnoses,District of Columbia,11,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,33,44.1,"74,752"
HIV diagnoses,Florida,12,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,736,27.2,"2,710,819"
HIV diagnoses,Georgia,13,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,261,18.6,"1,400,031"
HIV diagnoses,Hawaii,15,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,11,6.6,"167,649"
HIV diagnoses,Idaho,16,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,6,3,"201,770"
HIV diagnoses,Illinois,17,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,149,9.3,"1,597,657"
HIV diagnoses,Indiana,18,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,54,6.6,"823,737"
HIV diagnoses,Iowa,19,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,8,2.2,"362,561"
HIV diagnoses,Kansas,20,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,19,5.8,"327,857"
HIV diagnoses,Kentucky,21,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,43,7.6,"563,807"
HIV diagnoses,Louisiana,22,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,113,20.6,"549,149"
HIV diagnoses,Maine,23,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,6,3.4,"174,762"
HIV diagnoses,Maryland,24,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,133,16.7,"795,426"
HIV diagnoses,Massachusetts,25,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,78,8.7,"893,302"
HIV diagnoses,Michigan,26,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,73,5.8,"1,254,456"
HIV diagnoses,Minnesota,27,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,36,5.3,"673,286"
HIV diagnoses,Mississippi,28,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,62,17.1,"362,117"
HIV diagnoses,Missouri,29,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,65,8.9,"732,498"
HIV diagnoses,Montana,30,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,3,2.5,"117,917"
HIV diagnoses,Nebraska,31,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,12,5.6,"215,630"
HIV diagnoses,Nevada,32,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,71,18,"395,032"
HIV diagnoses,New Hampshire,33,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,2,1.1,"183,326"
HIV diagnoses,New Jersey,34,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,150,12.5,"1,201,080"
HIV diagnoses,New Mexico,35,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,25,10.6,"235,465"
HIV diagnoses,New York,36,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,341,13.8,"2,472,024"
HIV diagnoses,North Carolina,37,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,151,11.1,"1,364,111"
HIV diagnoses,North Dakota,38,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,5,6.4,"78,210"
HIV diagnoses,Ohio,39,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,122,8.4,"1,448,428"
HIV diagnoses,Oklahoma,40,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,50,11,"453,504"
HIV diagnoses,Oregon,41,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,35,6.9,"510,222"
