Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Race,Race Code,Ethnicity,Ethnicity Code,Deaths,Population,Crude Rate
,1999,1999,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,62,1117398,5.5
,1999,1999,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,301,5342422,5.6
,1999,1999,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,25,709354,3.5
,1999,1999,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5315,16485737,32.2
,1999,1999,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,17,Not Applicable,Not Applicable
,1999,1999,Prostate,28010,White,2106-3,Hispanic,2135-2,1021,16235626,6.3
,1999,1999,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,24935,96422970,25.9
,1999,1999,Prostate,28010,White,2106-3,Unknown or Missing,UNK,48,Not Applicable,Not Applicable
,2000,2000,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,90,1151373,7.8
,2000,2000,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,295,5603358,5.3
,2000,2000,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,32,744860,4.3
,2000,2000,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5292,16730875,31.6
,2000,2000,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,22,Not Applicable,Not Applicable
,2000,2000,Prostate,28010,White,2106-3,Hispanic,2135-2,995,17046167,5.8
,2000,2000,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,24287,96617582,25.1
,2000,2000,Prostate,28010,White,2106-3,Unknown or Missing,UNK,58,Not Applicable,Not Applicable
,2001,2001,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,90,1163016,7.7
,2001,2001,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,291,5839271,5
,2001,2001,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,26,787981,3.3
,2001,2001,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5215,16946270,30.8
,2001,2001,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,24,Not Applicable,Not Applicable
,2001,2001,Prostate,28010,White,2106-3,Hispanic,2135-2,1194,17687556,6.8
,2001,2001,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,23811,96859869,24.6
,2001,2001,Prostate,28010,White,2106-3,Unknown or Missing,UNK,61,Not Applicable,Not Applicable
,2002,2002,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,83,1173608,7.1
,2002,2002,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,293,6066077,4.8
,2002,2002,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,30,830646,3.6
,2002,2002,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5085,17147052,29.7
,2002,2002,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,30,Not Applicable,Not Applicable
,2002,2002,Prostate,28010,White,2106-3,Hispanic,2135-2,1173,18317150,6.4
,2002,2002,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,23690,97028016,24.4
,2002,2002,Prostate,28010,White,2106-3,Unknown or Missing,UNK,55,Not Applicable,Not Applicable
,2003,2003,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,98,1183110,8.3
,2003,2003,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,321,6280233,5.1
,2003,2003,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,27,873568,3.1
,2003,2003,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4845,17320752,28
,2003,2003,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,22,Not Applicable,Not Applicable
,2003,2003,Prostate,28010,White,2106-3,Hispanic,2135-2,1183,18910522,6.3
,2003,2003,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,23015,97128604,23.7
,2003,2003,Prostate,28010,White,2106-3,Unknown or Missing,UNK,34,Not Applicable,Not Applicable
,2004,2004,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,96,1194873,8
,2004,2004,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,350,6494416,5.4
,2004,2004,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,32,924128,3.5
,2004,2004,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4768,17537341,27.2
,2004,2004,Prostate,28010,White,2106-3,Hispanic,2135-2,1191,19508137,6.1
,2004,2004,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,22509,97367647,23.1
,2004,2004,Prostate,28010,White,2106-3,Unknown or Missing,UNK,26,Not Applicable,Not Applicable
,2005,2005,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,112,1205649,9.3
,2005,2005,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,364,6713943,5.4
,2005,2005,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,43,983508,4.4
,2005,2005,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4771,17702589,27
,2005,2005,Prostate,28010,White,2106-3,Hispanic,2135-2,1250,20123008,6.2
,2005,2005,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,22319,97493945,22.9
,2005,2005,Prostate,28010,White,2106-3,Unknown or Missing,UNK,28,Not Applicable,Not Applicable
,2006,2006,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,100,1217864,8.2
,2006,2006,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,362,6939938,5.2
,2006,2006,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,29,1047119,2.8
,2006,2006,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4649,17969520,25.9
,2006,2006,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,20,Not Applicable,Not Applicable
,2006,2006,Prostate,28010,White,2106-3,Hispanic,2135-2,1334,20759367,6.4
,2006,2006,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,21835,97755266,22.3
,2006,2006,Prostate,28010,White,2106-3,Unknown or Missing,UNK,33,Not Applicable,Not Applicable
,2007,2007,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,101,1229652,8.2
,2007,2007,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,408,7155357,5.7
,2007,2007,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,31,1110717,2.8
,2007,2007,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4865,18197963,26.7
,2007,2007,Prostate,28010,White,2106-3,Hispanic,2135-2,1391,21385953,6.5
,2007,2007,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,22259,97939819,22.7
,2007,2007,Prostate,28010,White,2106-3,Unknown or Missing,UNK,16,Not Applicable,Not Applicable
,2008,2008,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,128,1241875,10.3
,2008,2008,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,381,7375181,5.2
,2008,2008,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,38,1175140,3.2
,2008,2008,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4519,18427803,24.5
,2008,2008,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,30,Not Applicable,Not Applicable
,2008,2008,Prostate,28010,White,2106-3,Hispanic,2135-2,1386,22005638,6.3
,2008,2008,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,21951,98124198,22.4
,2008,2008,Prostate,28010,White,2106-3,Unknown or Missing,UNK,25,Not Applicable,Not Applicable
,2009,2009,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,106,1252949,8.5
,2009,2009,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,399,7582384,5.3
,2009,2009,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,43,1239086,3.5
,2009,2009,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4731,18648848,25.4
,2009,2009,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,20,Not Applicable,Not Applicable
,2009,2009,Prostate,28010,White,2106-3,Hispanic,2135-2,1382,22584074,6.1
,2009,2009,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,21368,98261250,21.7
,2009,2009,Prostate,28010,White,2106-3,Unknown or Missing,UNK,27,Not Applicable,Not Applicable
,2010,2010,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,105,1261983,8.3
,2010,2010,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,410,7794719,5.3
,2010,2010,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,37,1300031,2.8
,2010,2010,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4800,18879936,25.4
,2010,2010,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,16,Not Applicable,Not Applicable
,2010,2010,Prostate,28010,White,2106-3,Hispanic,2135-2,1479,23123370,6.4
,2010,2010,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,21657,98449793,22
,2010,2010,Prostate,28010,White,2106-3,Unknown or Missing,UNK,36,Not Applicable,Not Applicable
,2011,2011,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,122,1272699,9.6
,2011,2011,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,447,8058590,5.5
,2011,2011,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,41,1346382,3
,2011,2011,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4598,19129706,24
,2011,2011,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,19,Not Applicable,Not Applicable
,2011,2011,Prostate,28010,White,2106-3,Hispanic,2135-2,1521,23599278,6.4
,2011,2011,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,21176,98737778,21.4
,2011,2011,Prostate,28010,White,2106-3,Unknown or Missing,UNK,31,Not Applicable,Not Applicable
,2012,2012,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,119,1283883,9.3
,2012,2012,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,422,8333398,5.1
,2012,2012,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,22,1395205,1.6
,2012,2012,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4560,19386535,23.5
,2012,2012,Prostate,28010,White,2106-3,Hispanic,2135-2,1555,24060246,6.5
,2012,2012,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,20494,99065232,20.7
,2012,2012,Prostate,28010,White,2106-3,Unknown or Missing,UNK,44,Not Applicable,Not Applicable
