"Date Printed: Wednesday, January 25, 2023 12:58:36 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | Ages 13 years and older | Black/African American | Both sexes | All transmission categories | US Map-County Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
NA - Not Applicable.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
HIV diagnoses,"Autauga County, Alabama",1001,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,54.6,"9,155"
HIV diagnoses,"Baldwin County, Alabama",1003,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,8,50.5,"15,848"
HIV diagnoses,"Barbour County, Alabama",1005,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"9,920"
HIV diagnoses,"Bibb County, Alabama",1007,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,124"
HIV diagnoses,"Blount County, Alabama",1009,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,722
HIV diagnoses,"Bullock County, Alabama",1011,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,921"
HIV diagnoses,"Butler County, Alabama",1013,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,169"
HIV diagnoses,"Calhoun County, Alabama",1015,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,7,34.9,"20,073"
HIV diagnoses,"Chambers County, Alabama",1017,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,11,99.2,"11,087"
HIV diagnoses,"Cherokee County, Alabama",1019,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,946
HIV diagnoses,"Chilton County, Alabama",1021,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,634"
HIV diagnoses,"Choctaw County, Alabama",1023,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"4,473"
HIV diagnoses,"Clarke County, Alabama",1025,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"8,833"
HIV diagnoses,"Clay County, Alabama",1027,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,509"
HIV diagnoses,"Cleburne County, Alabama",1029,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,354
HIV diagnoses,"Coffee County, Alabama",1031,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,479"
HIV diagnoses,"Colbert County, Alabama",1033,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,450"
HIV diagnoses,"Conecuh County, Alabama",1035,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,603"
HIV diagnoses,"Coosa County, Alabama",1037,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,855"
HIV diagnoses,"Covington County, Alabama",1039,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"3,765"
HIV diagnoses,"Crenshaw County, Alabama",1041,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,749"
HIV diagnoses,"Cullman County, Alabama",1043,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,862
HIV diagnoses,"Dale County, Alabama",1045,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,73,"8,223"
HIV diagnoses,"Dallas County, Alabama",1047,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"21,450"
HIV diagnoses,"Dekalb County, Alabama",1049,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,893
HIV diagnoses,"Elmore County, Alabama",1051,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,35.3,"14,149"
HIV diagnoses,"Escambia County, Alabama",1053,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"9,502"
HIV diagnoses,"Etowah County, Alabama",1055,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"13,308"
HIV diagnoses,"Fayette County, Alabama",1057,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,575"
HIV diagnoses,"Franklin County, Alabama",1059,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,002"
HIV diagnoses,"Geneva County, Alabama",1061,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,060"
