Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Count,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,Female,F,81952,140394214,58.4
,1999,1999,Lung and Bronchus,22030,Male,M,109692,135067134,81.2
,2000,2000,Lung and Bronchus,22030,Female,F,83527,141865770,58.9
,2000,2000,Lung and Bronchus,22030,Male,M,109355,136692444,80
,2001,2001,Lung and Bronchus,22030,Female,F,85915,143603977,59.8
,2001,2001,Lung and Bronchus,22030,Male,M,109945,138511984,79.4
,2002,2002,Lung and Bronchus,22030,Female,F,88188,144919222,60.9
,2002,2002,Lung and Bronchus,22030,Male,M,110653,139847290,79.1
,2003,2003,Lung and Bronchus,22030,Female,F,91110,147679036,61.7
,2003,2003,Lung and Bronchus,22030,Male,M,113838,142428897,79.9
,2004,2004,Lung and Bronchus,22030,Female,F,92400,148977286,62
,2004,2004,Lung and Bronchus,22030,Male,M,113785,143828012,79.1
,2005,2005,Lung and Bronchus,22030,Female,F,95665,150213467,63.7
,2005,2005,Lung and Bronchus,22030,Male,M,114979,145099195,79.2
,2006,2006,Lung and Bronchus,22030,Female,F,96931,151732647,63.9
,2006,2006,Lung and Bronchus,22030,Male,M,114801,146647265,78.3
,2007,2007,Lung and Bronchus,22030,Female,F,98032,153166353,64
,2007,2007,Lung and Bronchus,22030,Male,M,115295,148064854,77.9
,2008,2008,Lung and Bronchus,22030,Female,F,100173,154604015,64.8
,2008,2008,Lung and Bronchus,22030,Male,M,116369,149489951,77.8
,2009,2009,Lung and Bronchus,22030,Female,F,101086,155964075,64.8
,2009,2009,Lung and Bronchus,22030,Male,M,116115,150807454,77
,2010,2010,Lung and Bronchus,22030,Female,F,100087,157247406,63.6
,2010,2010,Lung and Bronchus,22030,Male,M,114320,152134841,75.1
,2011,2011,Lung and Bronchus,22030,Female,F,100605,158358565,63.5
,2011,2011,Lung and Bronchus,22030,Male,M,114401,153502059,74.5
,2012,2012,Lung and Bronchus,22030,Female,F,102749,159454409,64.4
,2012,2012,Lung and Bronchus,22030,Male,M,114985,154917037,74.2
,2013,2013,Lung and Bronchus,22030,Female,F,103955,160501695,64.8
,2013,2013,Lung and Bronchus,22030,Male,M,115424,156263353,73.9
,2014,2014,Lung and Bronchus,22030,Female,F,105312,161623478,65.2
,2014,2014,Lung and Bronchus,22030,Male,M,116171,157671238,73.7
,2015,2015,Lung and Bronchus,22030,Female,F,108027,162741254,66.4
,2015,2015,Lung and Bronchus,22030,Male,M,116822,159109267,73.4
,2016,2016,Lung and Bronchus,22030,Female,F,108725,163864557,66.4
,2016,2016,Lung and Bronchus,22030,Male,M,116757,160513350,72.7
,2017,2017,Lung and Bronchus,22030,Female,F,110856,164851027,67.2
,2017,2017,Lung and Bronchus,22030,Male,M,116980,161760158,72.3
,2018,2018,Lung and Bronchus,22030,Female,F,111654,165690421,67.4
,2018,2018,Lung and Bronchus,22030,Male,M,115919,162835512,71.2
,2019,2019,Lung and Bronchus,22030,Female,F,113928,166422836,68.5
,2019,2019,Lung and Bronchus,22030,Male,M,116828,163799172,71.3
,2020,2020,Lung and Bronchus,22030,Female,F,100193,163570448,61.3
,2020,2020,Lung and Bronchus,22030,Male,M,103825,161152265,64.4
,2021,2021,Lung and Bronchus,22030,Female,F,104708,163880835,63.9
,2021,2021,Lung and Bronchus,22030,Male,M,104792,161337187,65
---,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Incidence",,,,,,,,,
Query Parameters:,,,,,,,,,
Leading Cancer Sites: Lung and Bronchus,,,,,,,,,
Group By: Year; Leading Cancer Sites; Sex,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/cancer-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Aug 20, 2024 11:09:34 AM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2023 submission; 2024",,,,,,,,,
"release. Accessed at http://wonder.cdc.gov/cancer-v2021.html on Aug 20, 2024 11:09:34 AM",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data,,,,,,,,,
shown for the United States are diagnoses and populations from included registries only.,,,,,,,,,
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for",,,,,,,,,
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define",,,,,,,,,
standard groupings of primary cancer sites.,,,,,,,,,
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
