AGE_GROUP,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,"Marshall County",1095,.,.,.,0.7692307692
_18-39,Alabama,1,"Mobile County",1097,24,21,45,0.5333333333
_18-39,Alabama,1,"Monroe County",1099,.,0,.,1
_18-39,Alabama,1,"Montgomery County",1101,.,.,.,0.5555555556
_18-39,Alabama,1,"Morgan County",1103,.,.,.,0.7096774194
_18-39,Alabama,1,"Perry County",1105,0,.,.,0
_18-39,Alabama,1,"Pickens County",1107,0,.,.,0
_18-39,Alabama,1,"Pike County",1109,.,.,.,0.4
_18-39,Alabama,1,"Randolph County",1111,.,0,.,1
_18-39,Alabama,1,"Russell County",1113,.,0,.,1
_18-39,Alabama,1,"St. Clair County",1115,0,.,.,0
_18-39,Alabama,1,"Shelby County",1117,.,.,.,0.6923076923
_18-39,Alabama,1,"Sumter County",1119,0,.,.,0
_18-39,Alabama,1,"Talladega County",1121,.,.,.,0.8
_18-39,Alabama,1,"Tallapoosa County",1123,.,0,.,1
_18-39,Alabama,1,"Tuscaloosa County",1125,.,.,.,0.6785714286
_18-39,Alabama,1,"Walker County",1127,.,.,.,0.8571428571
_18-39,Alabama,1,"Washington County",1129,.,0,.,1
_18-39,Alabama,1,"Wilcox County",1131,.,0,.,1
_18-39,Alabama,1,"Winston County",1133,.,.,.,0.6666666667
_18-39,Alabama,1,,1999,0,.,.,0
_18-39,Alaska,2,"Anchorage Borough",2020,37,21,58,0.6379310345
_18-39,Alaska,2,"Bethel Census Area",2050,0,.,.,0
_18-39,Alaska,2,"Dillingham Census Area",2070,0,.,.,0
_18-39,Alaska,2,"Fairbanks North Star Borough",2090,.,.,.,0.6470588235
_18-39,Alaska,2,,2105,.,0,.,1
_18-39,Alaska,2,"Juneau Borough",2110,.,.,.,0.625
_18-39,Alaska,2,"Kenai Peninsula Borough",2122,.,.,.,0.6666666667
_18-39,Alaska,2,"Matanuska-Susitna Borough",2170,.,.,.,0.5833333333
_18-39,Alaska,2,"Nome Census Area",2180,.,.,.,0.5
_18-39,Alaska,2,,2198,.,0,.,1
_18-39,Alaska,2,"Sitka Borough",2220,.,0,.,1
_18-39,Alaska,2,,2275,0,.,.,0
_18-39,Alaska,2,"Yukon-Koyukuk Census Area",2290,0,.,.,0
_18-39,Arizona,4,"Apache County",4001,.,.,.,0.25
_18-39,Arizona,4,"Cochise County",4003,.,.,.,0.7
_18-39,Arizona,4,"Coconino County",4005,.,.,.,0.5714285714
_18-39,Arizona,4,"Gila County",4007,.,.,.,0.6666666667
_18-39,Arizona,4,"Graham County",4009,.,0,.,1
_18-39,Arizona,4,"La Paz County",4012,.,.,.,0.5
_18-39,Arizona,4,"Maricopa County",4013,209,89,298,0.7013422819
_18-39,Arizona,4,"Mohave County",4015,.,.,.,0.6666666667
_18-39,Arizona,4,"Navajo County",4017,.,.,.,0.9166666667
_18-39,Arizona,4,"Pima County",4019,64,35,99,0.6464646465
_18-39,Arizona,4,"Pinal County",4021,.,.,.,0.6
_18-39,Arizona,4,"Santa Cruz County",4023,.,0,.,1
_18-39,Arizona,4,"Yavapai County",4025,.,.,.,0.7647058824
_18-39,Arizona,4,"Yuma County",4027,.,.,.,0.8823529412
_18-39,Arkansas,5,"Arkansas County",5001,.,.,.,0.5555555556
_18-39,Arkansas,5,"Ashley County",5003,.,.,.,0.6666666667
_18-39,Arkansas,5,"Baxter County",5005,.,.,.,0.7272727273
_18-39,Arkansas,5,"Benton County",5007,.,.,.,0.8888888889
_18-39,Arkansas,5,"Boone County",5009,.,.,.,0.4545454545
_18-39,Arkansas,5,"Bradley County",5011,.,.,.,0.3333333333
_18-39,Arkansas,5,"Calhoun County",5013,.,0,.,1
_18-39,Arkansas,5,"Carroll County",5015,.,.,.,0.3333333333
_18-39,Arkansas,5,"Chicot County",5017,.,.,.,0.5
_18-39,Arkansas,5,"Clark County",5019,0,.,.,0
_18-39,Arkansas,5,"Clay County",5021,.,0,.,1
_18-39,Arkansas,5,"Cleburne County",5023,.,0,.,1
_18-39,Arkansas,5,"Cleveland County",5025,.,0,.,1
_18-39,Arkansas,5,"Columbia County",5027,.,0,.,1
_18-39,Arkansas,5,"Conway County",5029,.,.,.,0.8
_18-39,Arkansas,5,"Craighead County",5031,.,.,.,0.5714285714
_18-39,Arkansas,5,"Crawford County",5033,.,.,.,0.8333333333
_18-39,Arkansas,5,"Crittenden County",5035,.,.,.,0.7142857143
_18-39,Arkansas,5,"Cross County",5037,.,.,.,0.5
_18-39,Arkansas,5,"Dallas County",5039,.,0,.,1
_18-39,Arkansas,5,"Desha County",5041,.,.,.,0.8
_18-39,Arkansas,5,"Drew County",5043,.,.,.,0.6666666667
_18-39,Arkansas,5,"Faulkner County",5045,.,.,.,0.7222222222
_18-39,Arkansas,5,"Franklin County",5047,.,0,.,1
_18-39,Arkansas,5,"Fulton County",5049,.,.,.,0.5
_18-39,Arkansas,5,"Garland County",5051,.,.,.,0.75
_18-39,Arkansas,5,"Grant County",5053,.,.,.,0.6666666667
_18-39,Arkansas,5,"Greene County",5055,.,.,.,0.6666666667
_18-39,Arkansas,5,"Hempstead County",5057,.,.,.,0.3333333333
_18-39,Arkansas,5,"Hot Spring County",5059,.,0,.,1
_18-39,Arkansas,5,"Howard County",5061,.,0,.,1
_18-39,Arkansas,5,"Independence County",5063,.,.,.,0.5
_18-39,Arkansas,5,"Izard County",5065,.,.,.,0.8571428571
_18-39,Arkansas,5,"Jackson County",5067,0,.,.,0
_18-39,Arkansas,5,"Jefferson County",5069,.,.,.,0.6923076923
_18-39,Arkansas,5,"Johnson County",5071,.,.,.,0.8
_18-39,Arkansas,5,"Lafayette County",5073,.,.,.,0.5
_18-39,Arkansas,5,"Lawrence County",5075,.,0,.,1
_18-39,Arkansas,5,"Lee County",5077,.,.,.,0.4
_18-39,Arkansas,5,"Lincoln County",5079,.,0,.,1
_18-39,Arkansas,5,"Little River County",5081,.,0,.,1
_18-39,Arkansas,5,"Logan County",5083,.,.,.,0.5
_18-39,Arkansas,5,"Lonoke County",5085,.,.,.,0.6428571429
_18-39,Arkansas,5,"Madison County",5087,.,0,.,1
_18-39,Arkansas,5,"Marion County",5089,.,0,.,1
_18-39,Arkansas,5,"Miller County",5091,.,.,.,0.375
_18-39,Arkansas,5,"Mississippi County",5093,.,.,.,0.5
_18-39,Arkansas,5,"Montgomery County",5097,.,0,.,1
_18-39,Arkansas,5,"Nevada County",5099,.,0,.,1
_18-39,Arkansas,5,"Newton County",5101,.,.,.,0.6666666667
_18-39,Arkansas,5,"Ouachita County",5103,.,.,.,0.5
_18-39,Arkansas,5,"Perry County",5105,.,0,.,1
_18-39,Arkansas,5,"Phillips County",5107,.,.,.,0.7272727273
_18-39,Arkansas,5,"Pike County",5109,0,.,.,0
_18-39,Arkansas,5,"Poinsett County",5111,.,.,.,0.25
_18-39,Arkansas,5,"Polk County",5113,.,.,.,0.6
_18-39,Arkansas,5,"Pope County",5115,.,.,.,0.7857142857
_18-39,Arkansas,5,"Prairie County",5117,0,.,.,0
_18-39,Arkansas,5,"Pulaski County",5119,52,29,81,0.6419753086
_18-39,Arkansas,5,"Randolph County",5121,.,.,.,0.5
_18-39,Arkansas,5,"St. Francis County",5123,.,.,.,0.4545454545
_18-39,Arkansas,5,"Saline County",5125,40,13,53,0.7547169811
_18-39,Arkansas,5,"Scott County",5127,.,0,.,1
_18-39,Arkansas,5,"Searcy County",5129,.,.,.,0.75
_18-39,Arkansas,5,"Sebastian County",5131,19,17,36,0.5277777778
_18-39,Arkansas,5,"Sevier County",5133,.,.,.,0.6666666667
_18-39,Arkansas,5,"Sharp County",5135,.,.,.,0.3333333333
_18-39,Arkansas,5,"Stone County",5137,.,.,.,0.7142857143
_18-39,Arkansas,5,"Union County",5139,.,.,.,0.7142857143
_18-39,Arkansas,5,"Van Buren County",5141,.,.,.,0.6
_18-39,Arkansas,5,"Washington County",5143,.,.,.,0.8888888889
_18-39,Arkansas,5,"White County",5145,.,.,.,0.619047619
_18-39,Arkansas,5,"Woodruff County",5147,.,.,.,0.5
_18-39,Arkansas,5,"Yell County",5149,.,.,.,0.6666666667
_18-39,California,6,"Alameda County",6001,119,64,183,0.650273224
_18-39,California,6,"Amador County",6005,.,.,.,0.8
_18-39,California,6,"Butte County",6007,37,11,48,0.7708333333
_18-39,California,6,"Calaveras County",6009,.,.,.,0.8333333333
_18-39,California,6,"Colusa County",6011,.,0,.,1
_18-39,California,6,"Contra Costa County",6013,104,40,144,0.7222222222
_18-39,California,6,"Del Norte County",6015,.,0,.,1
_18-39,California,6,"El Dorado County",6017,.,.,.,0.875
_18-39,California,6,"Fresno County",6019,64,30,94,0.6808510638
_18-39,California,6,"Glenn County",6021,.,.,.,0.75
_18-39,California,6,"Humboldt County",6023,29,12,41,0.7073170732
_18-39,California,6,"Imperial County",6025,.,.,.,0.95
_18-39,California,6,"Inyo County",6027,.,0,.,1
_18-39,California,6,"Kern County",6029,87,27,114,0.7631578947
_18-39,California,6,"Kings County",6031,.,.,.,0.875
_18-39,California,6,"Lake County",6033,.,0,.,1
_18-39,California,6,"Lassen County",6035,.,0,.,1
_18-39,California,6,"Los Angeles County",6037,618,221,839,0.73659118
_18-39,California,6,"Madera County",6039,.,.,.,0.75
_18-39,California,6,"Marin County",6041,.,.,.,0.7575757576
_18-39,California,6,"Mendocino County",6045,51,25,76,0.6710526316
_18-39,California,6,"Merced County",6047,18,11,29,0.6206896552
_18-39,California,6,"Modoc County",6049,.,0,.,1
_18-39,California,6,"Monterey County",6053,74,27,101,0.7326732673
_18-39,California,6,"Napa County",6055,.,.,.,0.6666666667
_18-39,California,6,"Nevada County",6057,.,.,.,0.76
_18-39,California,6,"Orange County",6059,238,62,300,0.7933333333
_18-39,California,6,"Placer County",6061,.,.,.,0.6666666667
_18-39,California,6,"Riverside County",6065,106,46,152,0.6973684211
_18-39,California,6,"Sacramento County",6067,186,81,267,0.6966292135
_18-39,California,6,"San Benito County",6069,.,0,.,1
_18-39,California,6,"San Bernardino County",6071,137,41,178,0.7696629213
_18-39,California,6,"San Diego County",6073,277,83,360,0.7694444444
_18-39,California,6,"San Francisco County",6075,47,29,76,0.6184210526
_18-39,California,6,"San Joaquin County",6077,80,43,123,0.6504065041
_18-39,California,6,"San Luis Obispo County",6079,26,16,42,0.619047619
_18-39,California,6,"San Mateo County",6081,33,15,48,0.6875
_18-39,California,6,"Santa Barbara County",6083,27,15,42,0.6428571429
_18-39,California,6,"Santa Clara County",6085,101,35,136,0.7426470588
_18-39,California,6,"Santa Cruz County",6087,53,13,66,0.803030303
_18-39,California,6,"Shasta County",6089,18,12,30,0.6
_18-39,California,6,"Siskiyou County",6093,.,.,.,0.5454545455
_18-39,California,6,"Solano County",6095,51,15,66,0.7727272727
_18-39,California,6,"Sonoma County",6097,40,18,58,0.6896551724
_18-39,California,6,"Stanislaus County",6099,63,17,80,0.7875
_18-39,California,6,"Sutter County",6101,.,.,.,0.8181818182
_18-39,California,6,"Tehama County",6103,.,.,.,0.8571428571
_18-39,California,6,"Trinity County",6105,.,.,.,0.5
_18-39,California,6,"Tulare County",6107,.,.,.,0.8245614035
_18-39,California,6,"Tuolumne County",6109,.,.,.,0.75
_18-39,California,6,"Ventura County",6111,33,15,48,0.6875
_18-39,California,6,"Yolo County",6113,.,.,.,0.7058823529
_18-39,California,6,"Yuba County",6115,.,.,.,0.6666666667
_18-39,California,6,,6999,.,.,.,0.8
_18-39,Colorado,8,"Adams County",8001,36,12,48,0.75
_18-39,Colorado,8,"Alamosa County",8003,.,0,.,1
_18-39,Colorado,8,"Arapahoe County",8005,71,22,93,0.7634408602
_18-39,Colorado,8,"Boulder County",8013,.,.,.,0.8333333333
_18-39,Colorado,8,,8014,.,.,.,0.6666666667
_18-39,Colorado,8,"Chaffee County",8015,.,0,.,1
_18-39,Colorado,8,"Conejos County",8021,.,.,.,0.3333333333
_18-39,Colorado,8,"Crowley County",8025,.,.,.,0.75
_18-39,Colorado,8,"Custer County",8027,.,0,.,1
_18-39,Colorado,8,"Delta County",8029,.,.,.,0.5
_18-39,Colorado,8,"Denver County",8031,44,31,75,0.5866666667
_18-39,Colorado,8,"Douglas County",8035,.,.,.,0.6875
_18-39,Colorado,8,"Eagle County",8037,.,.,.,0.5
_18-39,Colorado,8,"Elbert County",8039,.,0,.,1
_18-39,Colorado,8,"El Paso County",8041,61,19,80,0.7625
_18-39,Colorado,8,"Fremont County",8043,.,.,.,0.8333333333
_18-39,Colorado,8,"Garfield County",8045,.,.,.,0.8
_18-39,Colorado,8,"Gilpin County",8047,.,0,.,1
_18-39,Colorado,8,"Grand County",8049,.,0,.,1
_18-39,Colorado,8,"Gunnison County",8051,0,.,.,0
_18-39,Colorado,8,"Huerfano County",8055,.,0,.,1
_18-39,Colorado,8,"Jefferson County",8059,52,12,64,0.8125
_18-39,Colorado,8,"La Plata County",8067,.,.,.,0.5
_18-39,Colorado,8,"Larimer County",8069,.,.,.,0.7878787879
_18-39,Colorado,8,"Las Animas County",8071,.,.,.,0.3333333333
_18-39,Colorado,8,"Logan County",8075,.,0,.,1
_18-39,Colorado,8,"Mesa County",8077,.,.,.,0.724137931
_18-39,Colorado,8,"Moffat County",8081,.,0,.,1
_18-39,Colorado,8,"Montezuma County",8083,.,0,.,1
_18-39,Colorado,8,"Montrose County",8085,.,.,.,0.7142857143
_18-39,Colorado,8,"Morgan County",8087,0,.,.,0
_18-39,Colorado,8,"Otero County",8089,.,0,.,1
_18-39,Colorado,8,"Park County",8093,0,.,.,0
_18-39,Colorado,8,"Prowers County",8099,.,0,.,1
_18-39,Colorado,8,"Pueblo County",8101,.,.,.,0.7435897436
_18-39,Colorado,8,"Rio Grande County",8105,0,.,.,0
_18-39,Colorado,8,"Routt County",8107,0,.,.,0
_18-39,Colorado,8,"Saguache County",8109,.,0,.,1
_18-39,Colorado,8,"Summit County",8117,.,.,.,0.3333333333
_18-39,Colorado,8,"Weld County",8123,25,13,38,0.6578947368
_18-39,Colorado,8,"Yuma County",8125,.,0,.,1
_18-39,Colorado,8,,8999,.,0,.,1
_18-39,Connecticut,9,"Fairfield County",9001,98,28,126,0.7777777778
_18-39,Connecticut,9,"Hartford County",9003,134,37,171,0.783625731
_18-39,Connecticut,9,"Litchfield County",9005,.,.,.,0.9047619048
_18-39,Connecticut,9,"Middlesex County",9007,.,.,.,0.9259259259
_18-39,Connecticut,9,"New Haven County",9009,112,31,143,0.7832167832
_18-39,Connecticut,9,"New London County",9011,.,.,.,0.8245614035
_18-39,Connecticut,9,"Tolland County",9013,.,.,.,0.7272727273
_18-39,Connecticut,9,"Windham County",9015,.,.,.,0.7567567568
_18-39,Connecticut,9,,9999,.,0,.,1
_18-39,Delaware,10,"Kent County",10001,.,.,.,0.8085106383
_18-39,Delaware,10,"New Castle County",10003,50,15,65,0.7692307692
_18-39,Delaware,10,"Sussex County",10005,.,.,.,0.9090909091
_18-39,"District of Columbia",11,"District of Columbia",11001,48,46,94,0.5106382979
_18-39,Florida,12,"Alachua County",12001,15,11,26,0.5769230769
_18-39,Florida,12,"Baker County",12003,.,.,.,0.3333333333
_18-39,Florida,12,"Bay County",12005,.,.,.,0.6875
_18-39,Florida,12,"Bradford County",12007,.,.,.,0.5
_18-39,Florida,12,"Brevard County",12009,53,21,74,0.7162162162
_18-39,Florida,12,"Broward County",12011,133,63,196,0.6785714286
_18-39,Florida,12,"Calhoun County",12013,.,0,.,1
_18-39,Florida,12,"Charlotte County",12015,.,.,.,0.5909090909
_18-39,Florida,12,"Citrus County",12017,.,.,.,0.5384615385
_18-39,Florida,12,"Clay County",12019,.,.,.,0.8636363636
_18-39,Florida,12,"Collier County",12021,.,.,.,0.7727272727
_18-39,Florida,12,"Columbia County",12023,.,.,.,0.8
_18-39,Florida,12,"DeSoto County",12027,.,.,.,0.75
_18-39,Florida,12,"Dixie County",12029,.,.,.,0.5
_18-39,Florida,12,"Duval County",12031,65,41,106,0.6132075472
_18-39,Florida,12,"Escambia County",12033,31,16,47,0.6595744681
_18-39,Florida,12,"Flagler County",12035,.,.,.,0.8
_18-39,Florida,12,"Franklin County",12037,.,0,.,1
_18-39,Florida,12,"Gadsden County",12039,.,.,.,0.3333333333
_18-39,Florida,12,"Gilchrist County",12041,.,0,.,1
_18-39,Florida,12,"Glades County",12043,0,.,.,0
_18-39,Florida,12,"Gulf County",12045,.,.,.,0.6666666667
_18-39,Florida,12,"Hamilton County",12047,.,.,.,0.6666666667
_18-39,Florida,12,"Hardee County",12049,0,.,.,0
_18-39,Florida,12,"Hendry County",12051,.,.,.,0.5
_18-39,Florida,12,"Hernando County",12053,.,.,.,0.7692307692
_18-39,Florida,12,"Highlands County",12055,.,.,.,0.75
_18-39,Florida,12,"Hillsborough County",12057,81,30,111,0.7297297297
_18-39,Florida,12,"Holmes County",12059,.,0,.,1
_18-39,Florida,12,"Indian River County",12061,29,17,46,0.6304347826
_18-39,Florida,12,"Jackson County",12063,.,.,.,0.6666666667
_18-39,Florida,12,"Jefferson County",12065,.,.,.,0.6666666667
_18-39,Florida,12,"Lake County",12069,23,11,34,0.6764705882
_18-39,Florida,12,"Lee County",12071,49,24,73,0.6712328767
_18-39,Florida,12,"Leon County",12073,24,12,36,0.6666666667
_18-39,Florida,12,"Levy County",12075,.,.,.,0.8
_18-39,Florida,12,"Liberty County",12077,.,0,.,1
_18-39,Florida,12,"Madison County",12079,.,.,.,0.25
_18-39,Florida,12,"Manatee County",12081,.,.,.,0.7435897436
_18-39,Florida,12,"Marion County",12083,25,11,36,0.6944444444
_18-39,Florida,12,"Martin County",12085,.,.,.,0.7
_18-39,Florida,12,,12086,156,66,222,0.7027027027
_18-39,Florida,12,"Monroe County",12087,.,0,.,1
_18-39,Florida,12,"Nassau County",12089,.,.,.,0.7333333333
_18-39,Florida,12,"Okaloosa County",12091,.,.,.,0.625
_18-39,Florida,12,"Okeechobee County",12093,.,.,.,0.75
_18-39,Florida,12,"Orange County",12095,70,23,93,0.752688172
_18-39,Florida,12,"Osceola County",12097,.,.,.,0.6818181818
_18-39,Florida,12,"Palm Beach County",12099,95,34,129,0.7364341085
_18-39,Florida,12,"Pasco County",12101,24,15,39,0.6153846154
_18-39,Florida,12,"Pinellas County",12103,105,48,153,0.6862745098
_18-39,Florida,12,"Polk County",12105,38,14,52,0.7307692308
_18-39,Florida,12,"Putnam County",12107,.,.,.,0.75
_18-39,Florida,12,"St. Johns County",12109,.,.,.,0.5882352941
_18-39,Florida,12,"St. Lucie County",12111,39,13,52,0.75
_18-39,Florida,12,"Santa Rosa County",12113,.,.,.,0.8
_18-39,Florida,12,"Sarasota County",12115,.,.,.,0.71875
_18-39,Florida,12,"Seminole County",12117,.,.,.,0.75
_18-39,Florida,12,"Sumter County",12119,.,.,.,0.8
_18-39,Florida,12,"Suwannee County",12121,.,.,.,0.25
_18-39,Florida,12,"Taylor County",12123,0,.,.,0
_18-39,Florida,12,"Union County",12125,.,0,.,1
_18-39,Florida,12,"Volusia County",12127,47,11,58,0.8103448276
_18-39,Florida,12,"Wakulla County",12129,.,.,.,0.8
_18-39,Florida,12,"Walton County",12131,.,.,.,0.75
_18-39,Florida,12,"Washington County",12133,.,.,.,0.8333333333
_18-39,Florida,12,,12999,.,.,.,0.5
_18-39,Georgia,13,"Appling County",13001,.,.,.,0.5
_18-39,Georgia,13,"Bacon County",13005,.,0,.,1
_18-39,Georgia,13,"Baldwin County",13009,.,0,.,1
_18-39,Georgia,13,"Banks County",13011,0,.,.,0
_18-39,Georgia,13,"Barrow County",13013,.,.,.,0.75
_18-39,Georgia,13,"Bartow County",13015,.,.,.,0.6666666667
_18-39,Georgia,13,"Ben Hill County",13017,.,.,.,0.3333333333
_18-39,Georgia,13,"Berrien County",13019,.,.,.,0.5
_18-39,Georgia,13,"Bibb County",13021,13,13,26,0.5
_18-39,Georgia,13,"Bleckley County",13023,.,0,.,1
_18-39,Georgia,13,"Brantley County",13025,.,.,.,0.6666666667
_18-39,Georgia,13,"Brooks County",13027,.,.,.,0.6666666667
_18-39,Georgia,13,"Bryan County",13029,.,0,.,1
_18-39,Georgia,13,"Bulloch County",13031,.,.,.,0.7
_18-39,Georgia,13,"Burke County",13033,.,.,.,0.75
_18-39,Georgia,13,"Butts County",13035,.,0,.,1
_18-39,Georgia,13,"Camden County",13039,.,0,.,1
_18-39,Georgia,13,"Candler County",13043,.,0,.,1
_18-39,Georgia,13,"Carroll County",13045,.,.,.,0.6
_18-39,Georgia,13,"Catoosa County",13047,.,.,.,0.7142857143
_18-39,Georgia,13,"Charlton County",13049,0,.,.,0
_18-39,Georgia,13,"Chatham County",13051,.,.,.,0.7297297297
_18-39,Georgia,13,"Chattooga County",13055,.,.,.,0.3333333333
_18-39,Georgia,13,"Cherokee County",13057,.,.,.,0.9
_18-39,Georgia,13,"Clarke County",13059,.,.,.,0.4545454545
_18-39,Georgia,13,"Clay County",13061,0,.,.,0
_18-39,Georgia,13,"Clayton County",13063,16,11,27,0.5925925926
_18-39,Georgia,13,"Clinch County",13065,.,0,.,1
_18-39,Georgia,13,"Cobb County",13067,39,12,51,0.7647058824
_18-39,Georgia,13,"Coffee County",13069,.,.,.,0.8
_18-39,Georgia,13,"Colquitt County",13071,.,.,.,0.8333333333
_18-39,Georgia,13,"Columbia County",13073,.,.,.,0.8823529412
_18-39,Georgia,13,"Cook County",13075,.,.,.,0.5
_18-39,Georgia,13,"Coweta County",13077,.,.,.,0.8461538462
_18-39,Georgia,13,"Dade County",13083,.,.,.,0.5
_18-39,Georgia,13,"Dawson County",13085,.,0,.,1
_18-39,Georgia,13,"Decatur County",13087,.,.,.,0.8333333333
_18-39,Georgia,13,"DeKalb County",13089,67,23,90,0.7444444444
_18-39,Georgia,13,"Dodge County",13091,0,.,.,0
_18-39,Georgia,13,"Dougherty County",13095,.,.,.,0.7777777778
_18-39,Georgia,13,"Douglas County",13097,.,.,.,0.7272727273
_18-39,Georgia,13,"Effingham County",13103,.,.,.,0.6666666667
_18-39,Georgia,13,"Emanuel County",13107,.,.,.,0.6
_18-39,Georgia,13,"Evans County",13109,.,0,.,1
_18-39,Georgia,13,"Fannin County",13111,0,.,.,0
_18-39,Georgia,13,"Fayette County",13113,.,.,.,0.5
_18-39,Georgia,13,"Floyd County",13115,.,.,.,0.6875
_18-39,Georgia,13,"Forsyth County",13117,.,.,.,0.7692307692
_18-39,Georgia,13,"Franklin County",13119,.,.,.,0.8
_18-39,Georgia,13,"Fulton County",13121,73,34,107,0.6822429907
_18-39,Georgia,13,"Gilmer County",13123,.,0,.,1
_18-39,Georgia,13,"Glynn County",13127,.,.,.,0.75
_18-39,Georgia,13,"Gordon County",13129,.,.,.,0.5714285714
_18-39,Georgia,13,"Grady County",13131,.,.,.,0.6
_18-39,Georgia,13,"Greene County",13133,.,.,.,0.5
_18-39,Georgia,13,"Gwinnett County",13135,60,26,86,0.6976744186
_18-39,Georgia,13,"Hall County",13139,.,.,.,0.9444444444
_18-39,Georgia,13,"Hancock County",13141,.,.,.,0.6666666667
_18-39,Georgia,13,"Haralson County",13143,.,0,.,1
_18-39,Georgia,13,"Harris County",13145,.,.,.,0.4
_18-39,Georgia,13,"Hart County",13147,.,.,.,0.75
_18-39,Georgia,13,"Heard County",13149,0,.,.,0
_18-39,Georgia,13,"Henry County",13151,.,.,.,0.72
_18-39,Georgia,13,"Houston County",13153,.,.,.,0.5454545455
_18-39,Georgia,13,"Jackson County",13157,.,.,.,0.8571428571
_18-39,Georgia,13,"Jasper County",13159,.,0,.,1
_18-39,Georgia,13,"Jefferson County",13163,.,0,.,1
_18-39,Georgia,13,"Jenkins County",13165,.,0,.,1
_18-39,Georgia,13,"Jones County",13169,.,.,.,0.5
_18-39,Georgia,13,"Lamar County",13171,.,0,.,1
_18-39,Georgia,13,"Lanier County",13173,.,0,.,1
_18-39,Georgia,13,"Laurens County",13175,.,.,.,0.875
_18-39,Georgia,13,"Lee County",13177,0,.,.,0
_18-39,Georgia,13,"Liberty County",13179,.,.,.,0.8
_18-39,Georgia,13,"Long County",13183,0,.,.,0
_18-39,Georgia,13,"Lowndes County",13185,15,12,27,0.5555555556
_18-39,Georgia,13,"Lumpkin County",13187,.,.,.,0.6666666667
_18-39,Georgia,13,"McDuffie County",13189,.,0,.,1
_18-39,Georgia,13,"McIntosh County",13191,0,.,.,0
_18-39,Georgia,13,"Macon County",13193,0,.,.,0
_18-39,Georgia,13,"Madison County",13195,.,.,.,0.5
_18-39,Georgia,13,"Marion County",13197,.,0,.,1
_18-39,Georgia,13,"Meriwether County",13199,.,0,.,1
_18-39,Georgia,13,"Mitchell County",13205,0,.,.,0
_18-39,Georgia,13,"Monroe County",13207,.,0,.,1
_18-39,Georgia,13,"Montgomery County",13209,0,.,.,0
_18-39,Georgia,13,"Murray County",13213,.,.,.,0.5
_18-39,Georgia,13,"Muscogee County",13215,24,11,35,0.6857142857
