ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Disabled,"New York",36,66350,18592,84942,0.7811212357
Disabled,"North Carolina",37,49451,14855,64306,0.7689951171
Disabled,"North Dakota",38,2349,483,2832,0.8294491525
Disabled,Ohio,39,53970,15138,69108,0.7809515541
Disabled,Oklahoma,40,16739,5694,22433,0.7461775064
Disabled,Oregon,41,11749,3059,14808,0.7934224743
Disabled,Pennsylvania,42,55538,13759,69297,0.8014488362
Disabled,"Rhode Island",44,5230,1180,6410,0.8159126365
Disabled,"South Carolina",45,24704,8013,32717,0.7550814561
Disabled,"South Dakota",46,2767,618,3385,0.8174298375
Disabled,Tennessee,47,32378,9872,42250,0.7663431953
Disabled,Texas,48,68039,22658,90697,0.750179168
Disabled,Utah,49,4566,1170,5736,0.7960251046
Disabled,Vermont,50,3464,658,4122,0.840368753
Disabled,Virginia,51,28550,8189,36739,0.7771033507
Disabled,Washington,53,20168,5059,25227,0.7994608951
Disabled,"West Virginia",54,15189,4464,19653,0.7728591055
Disabled,Wisconsin,55,24448,4797,29245,0.835971961
Disabled,Wyoming,56,1684,416,2100,0.8019047619
ESRD,Alabama,1,.,.,.,0.9333333333
ESRD,Alaska,2,.,.,.,0.6666666667
ESRD,Arizona,4,30,12,42,0.7142857143
ESRD,Arkansas,5,.,.,.,0.8
ESRD,California,6,275,79,354,0.7768361582
ESRD,Colorado,8,.,.,.,0.76
ESRD,Connecticut,9,.,.,.,0.8888888889
ESRD,Delaware,10,.,.,.,0.8571428571
ESRD,"District of Columbia",11,.,.,.,0.6666666667
ESRD,Florida,12,106,28,134,0.7910447761
ESRD,Georgia,13,.,.,.,0.7826086957
ESRD,Hawaii,15,.,.,.,0.8333333333
ESRD,Idaho,16,.,.,.,0.7142857143
ESRD,Illinois,17,88,17,105,0.8380952381
ESRD,Indiana,18,.,.,.,0.8
ESRD,Iowa,19,.,.,.,0.7619047619
ESRD,Kansas,20,.,0,.,1
ESRD,Kentucky,21,.,.,.,0.7407407407
ESRD,Louisiana,22,.,.,.,0.68
ESRD,Maine,23,.,0,.,1
ESRD,Maryland,24,.,.,.,0.9090909091
ESRD,Massachusetts,25,.,.,.,0.8431372549
ESRD,Michigan,26,71,23,94,0.7553191489
ESRD,Minnesota,27,.,.,.,0.7272727273
ESRD,Mississippi,28,.,.,.,0.7857142857
ESRD,Missouri,29,.,.,.,0.7941176471
ESRD,Nebraska,31,.,.,.,0.8461538462
ESRD,Nevada,32,.,.,.,0.8181818182
ESRD,"New Hampshire",33,.,0,.,1
ESRD,"New Jersey",34,70,17,87,0.8045977011
ESRD,"New Mexico",35,.,.,.,0.3
ESRD,"New York",36,131,24,155,0.8451612903
ESRD,"North Carolina",37,.,.,.,0.8545454545
ESRD,"North Dakota",38,.,0,.,1
ESRD,Ohio,39,102,38,140,0.7285714286
ESRD,Oklahoma,40,.,.,.,0.8518518519
ESRD,Oregon,41,.,.,.,0.5
ESRD,Pennsylvania,42,66,20,86,0.7674418605
ESRD,"Rhode Island",44,.,.,.,0.8333333333
ESRD,"South Carolina",45,.,.,.,0.9411764706
ESRD,"South Dakota",46,.,0,.,1
ESRD,Tennessee,47,34,13,47,0.7234042553
ESRD,Texas,48,247,85,332,0.7439759036
ESRD,Utah,49,.,.,.,0.7333333333
ESRD,Vermont,50,.,0,.,1
ESRD,Virginia,51,.,.,.,0.8372093023
ESRD,Washington,53,.,.,.,0.8571428571
ESRD,"West Virginia",54,.,0,.,1
ESRD,Wisconsin,55,.,.,.,0.7619047619
ESRD,Wyoming,56,.,0,.,1
"Disabled and ESRD",Alabama,1,48,28,76,0.6315789474
"Disabled and ESRD",Alaska,2,.,0,.,1
"Disabled and ESRD",Arizona,4,.,.,.,0.7222222222
"Disabled and ESRD",Arkansas,5,.,.,.,0.8965517241
"Disabled and ESRD",California,6,70,20,90,0.7777777778
"Disabled and ESRD",Colorado,8,.,.,.,0.4285714286
"Disabled and ESRD",Connecticut,9,.,.,.,0.8
"Disabled and ESRD",Delaware,10,.,.,.,0.5
"Disabled and ESRD",Florida,12,63,24,87,0.724137931
"Disabled and ESRD",Georgia,13,63,28,91,0.6923076923
"Disabled and ESRD",Hawaii,15,.,.,.,0.8333333333
"Disabled and ESRD",Idaho,16,12,0,12,1
"Disabled and ESRD",Illinois,17,.,.,.,0.8484848485
"Disabled and ESRD",Indiana,18,.,.,.,0.75
"Disabled and ESRD",Iowa,19,.,.,.,0.9583333333
"Disabled and ESRD",Kansas,20,.,.,.,0.6666666667
"Disabled and ESRD",Kentucky,21,23,17,40,0.575
"Disabled and ESRD",Louisiana,22,35,13,48,0.7291666667
"Disabled and ESRD",Maine,23,.,.,.,0.6666666667
"Disabled and ESRD",Maryland,24,.,.,.,0.7142857143
"Disabled and ESRD",Massachusetts,25,.,.,.,0.8125
"Disabled and ESRD",Michigan,26,.,.,.,0.8039215686
"Disabled and ESRD",Minnesota,27,.,.,.,0.9411764706
"Disabled and ESRD",Mississippi,28,.,.,.,0.7692307692
"Disabled and ESRD",Missouri,29,39,23,62,0.6290322581
"Disabled and ESRD",Montana,30,.,0,.,1
"Disabled and ESRD",Nebraska,31,.,.,.,0.6428571429
"Disabled and ESRD",Nevada,32,0,.,.,0
"Disabled and ESRD","New Jersey",34,.,.,.,0.8285714286
"Disabled and ESRD","New Mexico",35,.,.,.,0.6363636364
"Disabled and ESRD","New York",36,37,12,49,0.7551020408
"Disabled and ESRD","North Carolina",37,63,25,88,0.7159090909
"Disabled and ESRD","North Dakota",38,.,0,.,1
"Disabled and ESRD",Ohio,39,96,38,134,0.7164179104
"Disabled and ESRD",Oklahoma,40,.,.,.,0.7692307692
"Disabled and ESRD",Oregon,41,.,.,.,0.7
"Disabled and ESRD",Pennsylvania,42,68,23,91,0.7472527473
"Disabled and ESRD","Rhode Island",44,.,.,.,0.7142857143
"Disabled and ESRD","South Carolina",45,54,21,75,0.72
"Disabled and ESRD","South Dakota",46,.,.,.,0.5
"Disabled and ESRD",Tennessee,47,55,29,84,0.6547619048
"Disabled and ESRD",Texas,48,87,57,144,0.6041666667
"Disabled and ESRD",Utah,49,.,.,.,0.75
"Disabled and ESRD",Vermont,50,.,0,.,1
"Disabled and ESRD",Virginia,51,33,12,45,0.7333333333
"Disabled and ESRD",Washington,53,.,.,.,0.8095238095
"Disabled and ESRD","West Virginia",54,.,.,.,0.8125
"Disabled and ESRD",Wisconsin,55,.,.,.,0.6923076923
