Data Year,Measure,UnitTypeDescription,MeasureDefinition,StateCode,Value,LowerCI,UpperCI,Rank,Number,Source,MissingReason,CaseShare,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,AK,9,7.9,10.1,11,49500,"CDC, Behavioral Risk Factor Surveillance System",NA,0.2,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,AL,10.1,8.8,11.3,29,394200,"CDC, Behavioral Risk Factor Surveillance System",NA,1.7,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,ALL,9.8,NA,NA,NA,23634100,"CDC, Behavioral Risk Factor Surveillance System",NA,100,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,AR,9,7.8,10.2,11,207900,"CDC, Behavioral Risk Factor Surveillance System",NA,0.9,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,AZ,9.4,8.6,10.1,16,519700,"CDC, Behavioral Risk Factor Surveillance System",NA,2.2,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,CA,8.8,7.9,9.7,8,2694400,"CDC, Behavioral Risk Factor Surveillance System",NA,11.4,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,CO,10.4,9.7,11.1,33,476900,"CDC, Behavioral Risk Factor Surveillance System",NA,2,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,CT,10.5,9.6,11.4,35,300900,"CDC, Behavioral Risk Factor Surveillance System",NA,1.3,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,DC,11.6,10,13.2,NA,64300,"CDC, Behavioral Risk Factor Surveillance System",NA,0.3,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,DE,9.8,8.5,11.2,24,77700,"CDC, Behavioral Risk Factor Surveillance System",NA,0.3,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,FL,NA,NA,NA,NA,NA,"CDC, Behavioral Risk Factor Surveillance System",Results are suppressed due to inadequate sample size and/or to protect identity,NA,,
