Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"Linkage to HIV medical care","2025","United States","NA","Ages 13 years and older","All races/ethnicities","Female","1,462","81.7","1,790"
"Linkage to HIV medical care","2025","United States","NA","Ages 13 years and older","All races/ethnicities","Male","6,024","84.6","7,124"
"Linkage to HIV medical care","2024","United States","NA","Ages 13 years and older","All races/ethnicities","Female","6,441","81.8","7,875"
"Linkage to HIV medical care","2024","United States","NA","Ages 13 years and older","All races/ethnicities","Male","25,644","83.6","30,658"
"Linkage to HIV medical care","2023","United States","NA","Ages 13 years and older","All races/ethnicities","Female","5,970","81.6","7,319"
"Linkage to HIV medical care","2023","United States","NA","Ages 13 years and older","All races/ethnicities","Male","26,134","83.0","31,474"
"Linkage to HIV medical care","2022","United States","NA","Ages 13 years and older","All races/ethnicities","Female","5,432","80.2","6,775"
"Linkage to HIV medical care","2022","United States","NA","Ages 13 years and older","All races/ethnicities","Male","24,321","81.9","29,695"
"Linkage to HIV medical care","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Female","5,015","81.8","6,129"
"Linkage to HIV medical care","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Male","22,520","82.0","27,477"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Female","4,181","82.3","5,080"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Male","19,238","82.4","23,342"
"Linkage to HIV medical care","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Female","5,110","80.2","6,371"
"Linkage to HIV medical care","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Male","22,369","81.6","27,424"
"Linkage to HIV medical care","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Female","5,061","79.8","6,341"
"Linkage to HIV medical care","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Male","21,797","80.3","27,159"
"Linkage to HIV medical care","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Female","5,059","78.2","6,466"
"Linkage to HIV medical care","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Male","21,458","77.7","27,612"
