insurance_status,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Have some form of insurance",Arkansas,5,211,274,485,43.2482300029341,37.9692523244625,48.5272076814057,40.4087761379345,32.0443827259238,48.7731695499452
"Do not have some form of health insurance",Arkansas,5,2,20,22,.,.,.,.,.,.
"Don´t know, refused or missing insurance
response",Arkansas,5,6,17,23,15.002788914493,9.41550236993997,20.5900754590461,18.806679744959,9.63704379324281,27.9763156966753
"Have some form of insurance",Delaware,10,171,226,397,45.7855677787342,39.0483203289676,52.5228152285008,48.6411021095238,37.5313387113578,59.7508655076897
"Do not have some form of health insurance",Delaware,10,0,8,8,.,.,.,.,.,.
"Don´t know, refused or missing insurance
response",Delaware,10,1,6,7,2.01965311467443,0,8.60064286091317,.,.,.
"Have some form of insurance",Massachusetts,25,120,176,296,36.1774118752881,29.2235368767921,43.1312868737841,38.2364044113878,26.8561022837622,49.6167065390134
"Do not have some form of health insurance",Massachusetts,25,2,3,5,.,.,.,.,.,.
"Don´t know, refused or missing insurance
response",Massachusetts,25,1,4,5,.,.,.,.,.,.
"Have some form of insurance",Mississippi,28,163,218,381,38.974820603604,32.908169152711,45.0414720544969,41.0780704703594,30.8088533124664,51.3472876282523
"Do not have some form of health insurance",Mississippi,28,1,30,31,.,.,.,.,.,.
"Don´t know, refused or missing insurance
response",Mississippi,28,5,7,12,35.3291737141666,0.12909315669704,70.5292542716362,.,.,.
"Have some form of insurance","New Jersey",34,124,150,274,37.0697741242243,28.9895490776851,45.1499991707634,39.7101055903662,27.7975790558372,51.6226321248951
"Do not have some form of health insurance","New Jersey",34,1,16,17,.,.,.,.,.,.
"Don´t know, refused or missing insurance
response","New Jersey",34,3,6,9,52.7290392554675,32.7906196825921,72.6674588283429,51.7272933818589,36.6627118738307,66.791874889887
"Have some form of insurance","South
Carolina",45,446,532,978,43.2346781451418,39.3948299996051,47.0745262906785,44.2292350607565,37.3744616387929,51.0840084827201
"Do not have some form of health insurance","South
Carolina",45,8,53,61,.,.,.,.,.,.
"Don´t know, refused or missing insurance
response","South
Carolina",45,17,31,48,41.8388089842884,27.6409230271285,56.0366949414483,.,.,.
