income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Less than $15,000",Arkansas,5,5,37,42,.,.,.,.,.,.
"$15,000 to < $25,000",Arkansas,5,21,46,67,27.8322749046388,15.8662859105257,39.798263898752,.,.,.
"$25,000 to < $35,000",Arkansas,5,20,44,64,29.8719011602123,16.7409274836119,43.0028748368127,.,.,.
"$35,000 to < $50,000",Arkansas,5,21,39,60,37.9471194780433,22.955361737442,52.9388772186447,34.8338914477457,18.5441280910256,51.1236548044658
"$50,000 to < $75,000",Arkansas,5,40,35,75,53.6805239569514,39.5188649693738,67.842182944529,53.0685231740491,32.9444355069894,73.1926108411089
"$75,000 to < $100,000",Arkansas,5,35,18,53,69.5780714261947,56.7558454697498,82.4002973826396,65.098177430565,41.4898824546992,88.7064724064308
"$100,000 to < $200,000",Arkansas,5,36,45,81,46.4176310030129,34.0801207289314,58.7551412770944,44.1049069279773,21.447920120726,66.7618937352286
"$200,000 or more",Arkansas,5,12,4,16,64.13834144362,26.9288266451332,100,57.0160374571088,39.5628389194639,74.4692359947537
"Don’t know/Not sure/Missing",Arkansas,5,29,43,72,29.8625037192545,17.7093916909349,42.0156157475741,25.4167695943198,11.8314416335257,39.0020975551138
"Less than $15,000",Delaware,10,5,14,19,.,.,.,.,.,.
"$15,000 to < $25,000",Delaware,10,9,19,28,.,.,.,.,.,.
"$25,000 to < $35,000",Delaware,10,16,20,36,48.5357236432679,25.6821133254269,71.3893339611089,.,.,.
"$35,000 to < $50,000",Delaware,10,11,28,39,39.2826652800531,16.105962778034,62.4593677820722,.,.,.
"$50,000 to < $75,000",Delaware,10,26,41,67,45.1066318384547,26.368598108531,63.8446655683784,54.6285327008543,31.2078494809884,78.0492159207201
"$75,000 to < $100,000",Delaware,10,27,28,55,42.5611499300441,23.7979151998586,61.3243846602296,.,.,.
"$100,000 to < $200,000",Delaware,10,39,41,80,49.893073031679,37.0761573269042,62.7099887364538,59.2255304064628,42.0989969508047,76.3520638621209
"$200,000 or more",Delaware,10,14,17,31,37.7283961287043,18.2278377925145,57.2289544648942,.,.,.
"Don’t know/Not sure/Missing",Delaware,10,25,32,57,39.8969553501251,22.9536882206652,56.840222479585,46.0238732387358,22.1588603711305,69.8888861063412
"Less than $15,000",Massachusetts,25,5,9,14,.,.,.,.,.,.
"$15,000 to < $25,000",Massachusetts,25,0,16,16,.,.,.,.,.,.
"$25,000 to < $35,000",Massachusetts,25,7,11,18,42.6740202941727,25.0163761915213,60.3316643968242,.,.,.
"$35,000 to < $50,000",Massachusetts,25,10,15,25,32.8398076669417,14.182043588883,51.4975717450003,41.2734341427046,26.311558230996,56.2353100544132
"$50,000 to < $75,000",Massachusetts,25,8,17,25,34.5026689636883,15.4734269901322,53.5319109372443,46.9867130717486,22.5311577049466,71.4422684385506
"$75,000 to < $100,000",Massachusetts,25,7,14,21,33.3920367161067,12.0038320420053,54.780241390208,41.7219619423445,28.6278039554154,54.8161199292736
"$100,000 to < $200,000",Massachusetts,25,37,45,82,36.3733840240607,21.7564782286001,50.9902898195213,44.9209529984568,23.5068235395382,66.3350824573753
"$200,000 or more",Massachusetts,25,21,22,43,51.3966474619918,33.7898835529593,69.0034113710244,55.6386600495263,39.2293812260543,72.0479388729984
"Don’t know/Not sure/Missing",Massachusetts,25,28,34,62,34.6704927941937,20.9621778833553,48.378807705032,.,.,.
"Less than $15,000",Mississippi,28,5,28,33,.,.,.,.,.,.
"$15,000 to < $25,000",Mississippi,28,14,32,46,34.5396306756581,16.8807063114197,52.1985550398966,35.5454130682011,14.8109230294576,56.2799031069447
"$25,000 to < $35,000",Mississippi,28,19,36,55,37.3561706857139,21.7737669600237,52.938574411404,38.3252569722209,24.4325160047665,52.2179979396753
"$35,000 to < $50,000",Mississippi,28,16,33,49,29.3234760013679,15.5710901172967,43.0758618854392,33.0088000222616,14.0687571716205,51.9488428729027
"$50,000 to < $75,000",Mississippi,28,19,30,49,31.1360804233896,15.4827633479623,46.789397498817,38.9021002440446,22.8019337707585,55.0022667173307
"$75,000 to < $100,000",Mississippi,28,21,18,39,47.6060030293863,32.1661068306964,63.0458992280762,50.8769795238184,37.7447725699736,64.0091864776631
"$100,000 to < $200,000",Mississippi,28,41,35,76,49.9868565040048,37.3622891392159,62.6114238687937,62.344994182197,44.549639264083,80.1403491003111
"$200,000 or more",Mississippi,28,13,8,21,55.3734135940504,30.6969935919655,80.0498335961354,.,.,.
"Don’t know/Not sure/Missing",Mississippi,28,21,35,56,37.3697911709328,23.1477319385615,51.5918504033042,39.660032174432,16.4814862380471,62.838578110817
"Less than $15,000","New Jersey",34,5,9,14,.,.,.,.,.,.
"$15,000 to < $25,000","New Jersey",34,5,11,16,.,.,.,.,.,.
"$25,000 to < $35,000","New Jersey",34,7,8,15,66.4144156813695,38.8787981761267,93.9500331866122,53.9326141478739,30.4917011235216,77.3735271722262
"$35,000 to < $50,000","New Jersey",34,3,9,12,.,.,.,.,.,.
"$50,000 to < $75,000","New Jersey",34,11,19,30,.,.,.,.,.,.
"$75,000 to < $100,000","New Jersey",34,20,17,37,46.6010815138819,23.9537864497647,69.2483765779992,.,.,.
"$100,000 to < $200,000","New Jersey",34,36,40,76,45.5389484443395,32.7976783527088,58.2802185359702,41.6544840282341,22.3400669015178,60.9689011549504
"$200,000 or more","New Jersey",34,26,30,56,42.7288080579037,26.0799039188154,59.377712196992,50.03880756518,25.4908569221687,74.5867582081913
"Don’t know/Not sure/Missing","New Jersey",34,15,29,44,25.0760373691511,15.0846985306252,35.067376207677,.,.,.
"Less than $15,000","South Carolina",45,9,49,58,.,.,.,.,.,.
"$15,000 to < $25,000","South Carolina",45,32,72,104,33.6314620032517,24.3011914108836,42.9617325956198,34.9147141652592,19.3906548173622,50.4387735131563
"$25,000 to < $35,000","South Carolina",45,35,61,96,34.7519020366019,23.2971365155651,46.2066675576386,38.0104751008597,18.4383724844666,57.5825777172527
"$35,000 to < $50,000","South Carolina",45,49,60,109,39.992552889787,28.4495988632379,51.5355069163361,37.263190028981,19.9186495301796,54.6077305277824
"$50,000 to < $75,000","South Carolina",45,79,70,149,47.9304535550045,38.6799053239696,57.1810017860395,50.2883044768114,37.8382821318358,62.738326821787
"$75,000 to < $100,000","South Carolina",45,61,86,147,40.5808472499386,30.7142786440835,50.4474158557938,39.4293866145753,26.3477209693679,52.5110522597827
"$100,000 to < $200,000","South Carolina",45,97,98,195,49.3839398650034,41.4705029044979,57.2973768255089,55.48177135957,40.9809468689585,69.9825958501815
"$200,000 or more","South Carolina",45,28,29,57,48.5181053118082,33.6799181468548,63.3562924767615,47.4149519287865,21.2248821226097,73.6050217349634
"Don’t know/Not sure/Missing","South Carolina",45,81,91,172,44.8069159673393,35.6402972580817,53.9735346765968,46.5030553051728,33.7719490717076,59.234161538638
