Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,45-49 years,45-49,1599,19654207,8.1
,1999,1999,Colon and Rectum,21041-21052,50-54 years,50-54,2409,16923612,14.2
,1999,1999,Colon and Rectum,21041-21052,55-59 years,55-59,3294,13084821,25.2
,1999,1999,Colon and Rectum,21041-21052,60-64 years ,60-64,4651,10693205,43.5
,1999,1999,Colon and Rectum,21041-21052,65-69 years,65-69,6100,9541498,63.9
,1999,1999,Colon and Rectum,21041-21052,70-74 years,70-74,8165,8877411,92
,2000,2000,Colon and Rectum,21041-21052,45-49 years,45-49,1629,20219527,8.1
,2000,2000,Colon and Rectum,21041-21052,50-54 years,50-54,2545,17779447,14.3
,2000,2000,Colon and Rectum,21041-21052,55-59 years,55-59,3379,13565937,24.9
,2000,2000,Colon and Rectum,21041-21052,60-64 years ,60-64,4526,10863129,41.7
,2000,2000,Colon and Rectum,21041-21052,65-69 years,65-69,5903,9523909,62
,2000,2000,Colon and Rectum,21041-21052,70-74 years,70-74,8191,8860028,92.4
,2001,2001,Colon and Rectum,21041-21052,45-49 years,45-49,1717,20698983,8.3
,2001,2001,Colon and Rectum,21041-21052,50-54 years,50-54,2762,18687285,14.8
,2001,2001,Colon and Rectum,21041-21052,55-59 years,55-59,3582,13968975,25.6
,2001,2001,Colon and Rectum,21041-21052,60-64 years ,60-64,4362,11136320,39.2
,2001,2001,Colon and Rectum,21041-21052,65-69 years,65-69,5983,9562233,62.6
,2001,2001,Colon and Rectum,21041-21052,70-74 years,70-74,7805,8821946,88.5
,2002,2002,Colon and Rectum,21041-21052,45-49 years,45-49,1717,21252288,8.1
,2002,2002,Colon and Rectum,21041-21052,50-54 years,50-54,2775,18739906,14.8
,2002,2002,Colon and Rectum,21041-21052,55-59 years,55-59,3661,15143067,24.2
,2002,2002,Colon and Rectum,21041-21052,60-64 years ,60-64,4686,11560265,40.5
,2002,2002,Colon and Rectum,21041-21052,65-69 years,65-69,5876,9638481,61
,2002,2002,Colon and Rectum,21041-21052,70-74 years,70-74,7486,8750054,85.6
,2003,2003,Colon and Rectum,21041-21052,45-49 years,45-49,1690,21722676,7.8
,2003,2003,Colon and Rectum,21041-21052,50-54 years,50-54,2681,19097278,14
,2003,2003,Colon and Rectum,21041-21052,55-59 years,55-59,3588,15814557,22.7
,2003,2003,Colon and Rectum,21041-21052,60-64 years ,60-64,4635,12194388,38
,2003,2003,Colon and Rectum,21041-21052,65-69 years,65-69,5772,9830796,58.7
,2003,2003,Colon and Rectum,21041-21052,70-74 years,70-74,7157,8670119,82.5
,2004,2004,Colon and Rectum,21041-21052,45-49 years,45-49,1595,22065262,7.2
,2004,2004,Colon and Rectum,21041-21052,50-54 years,50-54,2587,19564668,13.2
,2004,2004,Colon and Rectum,21041-21052,55-59 years,55-59,3645,16607176,21.9
,2004,2004,Colon and Rectum,21041-21052,60-64 years ,60-64,4489,12698128,35.4
,2004,2004,Colon and Rectum,21041-21052,65-69 years,65-69,5279,10073429,52.4
,2004,2004,Colon and Rectum,21041-21052,70-74 years,70-74,6646,8594104,77.3
,2005,2005,Colon and Rectum,21041-21052,45-49 years,45-49,1645,22647967,7.3
,2005,2005,Colon and Rectum,21041-21052,50-54 years,50-54,2652,20296389,13.1
,2005,2005,Colon and Rectum,21041-21052,55-59 years,55-59,3705,17720854,20.9
,2005,2005,Colon and Rectum,21041-21052,60-64 years ,60-64,4482,13316528,33.7
,2005,2005,Colon and Rectum,21041-21052,65-69 years,65-69,5388,10426990,51.7
,2005,2005,Colon and Rectum,21041-21052,70-74 years,70-74,6524,8720225,74.8
,2006,2006,Colon and Rectum,21041-21052,45-49 years,45-49,1715,22961022,7.5
,2006,2006,Colon and Rectum,21041-21052,50-54 years,50-54,2759,20802296,13.3
,2006,2006,Colon and Rectum,21041-21052,55-59 years,55-59,3962,18622104,21.3
,2006,2006,Colon and Rectum,21041-21052,60-64 years ,60-64,4667,13727378,34
,2006,2006,Colon and Rectum,21041-21052,65-69 years,65-69,5440,10709581,50.8
,2006,2006,Colon and Rectum,21041-21052,70-74 years,70-74,6361,8774951,72.5
,2007,2007,Colon and Rectum,21041-21052,45-49 years,45-49,1790,23045059,7.8
,2007,2007,Colon and Rectum,21041-21052,50-54 years,50-54,2942,21374729,13.8
,2007,2007,Colon and Rectum,21041-21052,55-59 years,55-59,4086,18678382,21.9
,2007,2007,Colon and Rectum,21041-21052,60-64 years ,60-64,4995,14875832,33.6
,2007,2007,Colon and Rectum,21041-21052,65-69 years,65-69,5456,11130918,49
,2007,2007,Colon and Rectum,21041-21052,70-74 years,70-74,6253,8856410,70.6
,2008,2008,Colon and Rectum,21041-21052,45-49 years,45-49,1810,23067249,7.8
,2008,2008,Colon and Rectum,21041-21052,50-54 years,50-54,2911,21876287,13.3
,2008,2008,Colon and Rectum,21041-21052,55-59 years,55-59,4054,19037202,21.3
,2008,2008,Colon and Rectum,21041-21052,60-64 years ,60-64,4999,15551146,32.1
,2008,2008,Colon and Rectum,21041-21052,65-69 years,65-69,5592,11760073,47.6
,2008,2008,Colon and Rectum,21041-21052,70-74 years,70-74,6252,9042434,69.1
,2009,2009,Colon and Rectum,21041-21052,45-49 years,45-49,1838,23110119,8
,2009,2009,Colon and Rectum,21041-21052,50-54 years,50-54,2939,22243298,13.2
,2009,2009,Colon and Rectum,21041-21052,55-59 years,55-59,4097,19503576,21
,2009,2009,Colon and Rectum,21041-21052,60-64 years ,60-64,5157,16339105,31.6
,2009,2009,Colon and Rectum,21041-21052,65-69 years,65-69,5496,12263229,44.8
,2009,2009,Colon and Rectum,21041-21052,70-74 years,70-74,6121,9275381,66
,2010,2010,Colon and Rectum,21041-21052,45-49 years,45-49,1835,22891330,8
,2010,2010,Colon and Rectum,21041-21052,50-54 years,50-54,3123,22599564,13.8
,2010,2010,Colon and Rectum,21041-21052,55-59 years,55-59,4108,20024271,20.5
,2010,2010,Colon and Rectum,21041-21052,60-64 years ,60-64,5306,17208628,30.8
,2010,2010,Colon and Rectum,21041-21052,65-69 years,65-69,5578,12697864,43.9
,2010,2010,Colon and Rectum,21041-21052,70-74 years,70-74,5960,9469382,62.9
,2011,2011,Colon and Rectum,21041-21052,45-49 years,45-49,1721,22450117,7.7
,2011,2011,Colon and Rectum,21041-21052,50-54 years,50-54,3196,22844331,14
,2011,2011,Colon and Rectum,21041-21052,55-59 years,55-59,4310,20514950,21
,2011,2011,Colon and Rectum,21041-21052,60-64 years ,60-64,5521,18035633,30.6
,2011,2011,Colon and Rectum,21041-21052,65-69 years,65-69,5447,13062581,41.7
,2011,2011,Colon and Rectum,21041-21052,70-74 years,70-74,6051,9730434,62.2
,2012,2012,Colon and Rectum,21041-21052,45-49 years,45-49,1794,22001886,8.2
,2012,2012,Colon and Rectum,21041-21052,50-54 years,50-54,3169,22884279,13.8
,2012,2012,Colon and Rectum,21041-21052,55-59 years,55-59,4221,21054500,20
,2012,2012,Colon and Rectum,21041-21052,60-64 years ,60-64,5334,18036056,29.6
,2012,2012,Colon and Rectum,21041-21052,65-69 years,65-69,5859,14167268,41.4
,2012,2012,Colon and Rectum,21041-21052,70-74 years,70-74,6021,10123795,59.5
,2013,2013,Colon and Rectum,21041-21052,45-49 years,45-49,1733,21546718,8
,2013,2013,Colon and Rectum,21041-21052,50-54 years,50-54,3246,22893105,14.2
,2013,2013,Colon and Rectum,21041-21052,55-59 years,55-59,4251,21490925,19.8
