Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,45-49 years,45-49,29,309892,9.4
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,50-54 years,50-54,37,275759,13.4
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,55-59 years,55-59,60,220728,27.2
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,60-64 years ,60-64,74,189814,39
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,65-69 years,65-69,93,167363,55.6
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,70-74 years,70-74,97,148565,65.3
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,45-49 years,45-49,28,322567,8.7
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,50-54 years,50-54,24,282200,8.5
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,55-59 years,55-59,59,229310,25.7
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,60-64 years ,60-64,69,198437,34.8
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,65-69 years,65-69,90,188248,47.8
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,70-74 years,70-74,148,174466,84.8
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,45-49 years,45-49,18,178341,10.1
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,50-54 years,50-54,29,161702,17.9
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,55-59 years,55-59,42,135264,31.1
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,60-64 years ,60-64,53,115753,45.8
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,65-69 years,65-69,68,104761,64.9
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,70-74 years,70-74,70,93175,75.1
,1999,1999,Colon and Rectum,21041-21052,California,06,45-49 years,45-49,151,2269009,6.7
,1999,1999,Colon and Rectum,21041-21052,California,06,50-54 years,50-54,228,1920301,11.9
,1999,1999,Colon and Rectum,21041-21052,California,06,55-59 years,55-59,305,1415902,21.5
,1999,1999,Colon and Rectum,21041-21052,California,06,60-64 years ,60-64,431,1127145,38.2
,1999,1999,Colon and Rectum,21041-21052,California,06,65-69 years,65-69,513,985605,52
,1999,1999,Colon and Rectum,21041-21052,California,06,70-74 years,70-74,727,902399,80.6
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,45-49 years,45-49,18,327225,5.5
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,50-54 years,50-54,33,265834,12.4
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,55-59 years,55-59,51,186839,27.3
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,60-64 years ,60-64,39,142207,27.4
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,65-69 years,65-69,66,120041,55
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,70-74 years,70-74,109,104378,104.4
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,45-49 years,45-49,17,246896,6.9
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,50-54 years,50-54,27,222424,12.1
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,55-59 years,55-59,38,171572,22.1
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,60-64 years ,60-64,47,130887,35.9
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,65-69 years,65-69,68,118365,57.4
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,70-74 years,70-74,113,114972,98.3
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,65-69 years,65-69,24,29791,80.6
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,70-74 years,70-74,31,26404,117.4
,1999,1999,Colon and Rectum,21041-21052,District of Columbia,11,65-69 years,65-69,16,18882,84.7
