Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,State,State Code,Race,Race Code,Ethnicity,Ethnicity Code,Deaths,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,Black or African American,2054-5,Non-Hispanic,2186-5,237,1156898,20.5
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,White,2106-3,Non-Hispanic,2186-5,610,3152975,19.3
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,18,103680,17.4
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,White,2106-3,Non-Hispanic,2186-5,40,442591,9
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,Black or African American,2054-5,Non-Hispanic,2186-5,24,159387,15.1
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,White,2106-3,Hispanic,2135-2,63,1174427,5.4
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,White,2106-3,Non-Hispanic,2186-5,763,3286155,23.2
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,Black or African American,2054-5,Non-Hispanic,2186-5,97,422065,23
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,White,2106-3,Non-Hispanic,2186-5,519,2116895,24.5
,1999,1999,Colon and Rectum,21041-21052,California,06,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,372,3892494,9.6
,1999,1999,Colon and Rectum,21041-21052,California,06,Black or African American,2054-5,Non-Hispanic,2186-5,408,2312110,17.6
,1999,1999,Colon and Rectum,21041-21052,California,06,White,2106-3,Hispanic,2135-2,502,10102320,5
,1999,1999,Colon and Rectum,21041-21052,California,06,White,2106-3,Non-Hispanic,2186-5,3838,16390114,23.4
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,Black or African American,2054-5,Non-Hispanic,2186-5,24,169812,14.1
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,White,2106-3,Hispanic,2135-2,48,662859,7.2
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,White,2106-3,Non-Hispanic,2186-5,523,3220042,16.2
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,Black or African American,2054-5,Non-Hispanic,2186-5,40,310206,12.9
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,White,2106-3,Non-Hispanic,2186-5,729,2673837,27.3
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,Black or African American,2054-5,Non-Hispanic,2186-5,32,149503,21.4
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,White,2106-3,Non-Hispanic,2186-5,145,571402,25.4
,1999,1999,Colon and Rectum,21041-21052,District of Columbia,11,Black or African American,2054-5,Non-Hispanic,2186-5,104,346580,30
,1999,1999,Colon and Rectum,21041-21052,District of Columbia,11,White,2106-3,Non-Hispanic,2186-5,32,161711,19.8
,1999,1999,Colon and Rectum,21041-21052,Florida,12,Black or African American,2054-5,Non-Hispanic,2186-5,394,2312918,17
,1999,1999,Colon and Rectum,21041-21052,Florida,12,White,2106-3,Hispanic,2135-2,343,2426217,14.1
,1999,1999,Colon and Rectum,21041-21052,Florida,12,White,2106-3,Non-Hispanic,2186-5,3194,10552506,30.3
,1999,1999,Colon and Rectum,21041-21052,Georgia,13,Black or African American,2054-5,Non-Hispanic,2186-5,361,2317980,15.6
,1999,1999,Colon and Rectum,21041-21052,Georgia,13,White,2106-3,Non-Hispanic,2186-5,806,5156629,15.6
,1999,1999,Colon and Rectum,21041-21052,Hawaii,15,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,120,829495,14.5
,1999,1999,Colon and Rectum,21041-21052,Hawaii,15,White,2106-3,Non-Hispanic,2186-5,42,265478,15.8
,1999,1999,Colon and Rectum,21041-21052,Idaho,16,White,2106-3,Non-Hispanic,2186-5,220,1143570,19.2
