Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,50-54 years,50-54,7514,16923612,44.4
,1999,1999,Lung and Bronchus,22030,55-59 years,55-59,12157,13084821,92.9
,1999,1999,Lung and Bronchus,22030,60-64 years ,60-64,17168,10693205,160.6
,1999,1999,Lung and Bronchus,22030,65-69 years,65-69,23219,9541498,243.3
,1999,1999,Lung and Bronchus,22030,70-74 years,70-74,28592,8877411,322.1
,1999,1999,Lung and Bronchus,22030,75-79 years,75-79,26544,7342606,361.5
,2000,2000,Lung and Bronchus,22030,50-54 years,50-54,7689,17779447,43.2
,2000,2000,Lung and Bronchus,22030,55-59 years,55-59,12447,13565937,91.8
,2000,2000,Lung and Bronchus,22030,60-64 years ,60-64,17263,10863129,158.9
,2000,2000,Lung and Bronchus,22030,65-69 years,65-69,23424,9523909,245.9
,2000,2000,Lung and Bronchus,22030,70-74 years,70-74,28803,8860028,325.1
,2000,2000,Lung and Bronchus,22030,75-79 years,75-79,27291,7438619,366.9
,2001,2001,Lung and Bronchus,22030,50-54 years,50-54,7783,18687285,41.6
,2001,2001,Lung and Bronchus,22030,55-59 years,55-59,12586,13968975,90.1
,2001,2001,Lung and Bronchus,22030,60-64 years ,60-64,17173,11136320,154.2
,2001,2001,Lung and Bronchus,22030,65-69 years,65-69,22837,9562233,238.8
,2001,2001,Lung and Bronchus,22030,70-74 years,70-74,28363,8821946,321.5
,2001,2001,Lung and Bronchus,22030,75-79 years,75-79,27707,7455413,371.6
,2002,2002,Lung and Bronchus,22030,50-54 years,50-54,7802,18739906,41.6
,2002,2002,Lung and Bronchus,22030,55-59 years,55-59,12923,15143067,85.3
,2002,2002,Lung and Bronchus,22030,60-64 years ,60-64,17742,11560265,153.5
,2002,2002,Lung and Bronchus,22030,65-69 years,65-69,22346,9638481,231.8
,2002,2002,Lung and Bronchus,22030,70-74 years,70-74,27891,8750054,318.8
,2002,2002,Lung and Bronchus,22030,75-79 years,75-79,27960,7470461,374.3
,2003,2003,Lung and Bronchus,22030,50-54 years,50-54,7752,19097278,40.6
,2003,2003,Lung and Bronchus,22030,55-59 years,55-59,12913,15814557,81.7
,2003,2003,Lung and Bronchus,22030,60-64 years ,60-64,18021,12194388,147.8
,2003,2003,Lung and Bronchus,22030,65-69 years,65-69,22401,9830796,227.9
,2003,2003,Lung and Bronchus,22030,70-74 years,70-74,26962,8670119,311
,2003,2003,Lung and Bronchus,22030,75-79 years,75-79,28019,7497842,373.7
,2004,2004,Lung and Bronchus,22030,50-54 years,50-54,7879,19564668,40.3
,2004,2004,Lung and Bronchus,22030,55-59 years,55-59,12837,16607176,77.3
,2004,2004,Lung and Bronchus,22030,60-64 years ,60-64,18234,12698128,143.6
,2004,2004,Lung and Bronchus,22030,65-69 years,65-69,22543,10073429,223.8
,2004,2004,Lung and Bronchus,22030,70-74 years,70-74,26466,8594104,308
,2004,2004,Lung and Bronchus,22030,75-79 years,75-79,27599,7461399,369.9
,2005,2005,Lung and Bronchus,22030,50-54 years,50-54,8042,20296389,39.6
,2005,2005,Lung and Bronchus,22030,55-59 years,55-59,12840,17720854,72.5
,2005,2005,Lung and Bronchus,22030,60-64 years ,60-64,18605,13316528,139.7
,2005,2005,Lung and Bronchus,22030,65-69 years,65-69,22228,10426990,213.2
,2005,2005,Lung and Bronchus,22030,70-74 years,70-74,26325,8720225,301.9
,2005,2005,Lung and Bronchus,22030,75-79 years,75-79,27694,7548747,366.9
,2006,2006,Lung and Bronchus,22030,50-54 years,50-54,8087,20802296,38.9
,2006,2006,Lung and Bronchus,22030,55-59 years,55-59,13133,18622104,70.5
,2006,2006,Lung and Bronchus,22030,60-64 years ,60-64,18309,13727378,133.4
,2006,2006,Lung and Bronchus,22030,65-69 years,65-69,22577,10709581,210.8
,2006,2006,Lung and Bronchus,22030,70-74 years,70-74,25456,8774951,290.1
,2006,2006,Lung and Bronchus,22030,75-79 years,75-79,27164,7539017,360.3
,2007,2007,Lung and Bronchus,22030,50-54 years,50-54,8143,21374729,38.1
,2007,2007,Lung and Bronchus,22030,55-59 years,55-59,12677,18678382,67.9
,2007,2007,Lung and Bronchus,22030,60-64 years ,60-64,18652,14875832,125.4
,2007,2007,Lung and Bronchus,22030,65-69 years,65-69,23066,11130918,207.2
,2007,2007,Lung and Bronchus,22030,70-74 years,70-74,25258,8856410,285.2
,2007,2007,Lung and Bronchus,22030,75-79 years,75-79,26692,7494328,356.2
,2008,2008,Lung and Bronchus,22030,50-54 years,50-54,8314,21876287,38
,2008,2008,Lung and Bronchus,22030,55-59 years,55-59,12447,19037202,65.4
,2008,2008,Lung and Bronchus,22030,60-64 years ,60-64,18441,15551146,118.6
,2008,2008,Lung and Bronchus,22030,65-69 years,65-69,23402,11760073,199
,2008,2008,Lung and Bronchus,22030,70-74 years,70-74,25065,9042434,277.2
,2008,2008,Lung and Bronchus,22030,75-79 years,75-79,25964,7441634,348.9
,2009,2009,Lung and Bronchus,22030,50-54 years,50-54,8395,22243298,37.7
,2009,2009,Lung and Bronchus,22030,55-59 years,55-59,12536,19503576,64.3
,2009,2009,Lung and Bronchus,22030,60-64 years ,60-64,18521,16339105,113.4
,2009,2009,Lung and Bronchus,22030,65-69 years,65-69,23647,12263229,192.8
,2009,2009,Lung and Bronchus,22030,70-74 years,70-74,25068,9275381,270.3
,2009,2009,Lung and Bronchus,22030,75-79 years,75-79,25175,7392567,340.5
,2010,2010,Lung and Bronchus,22030,50-54 years,50-54,8410,22599564,37.2
,2010,2010,Lung and Bronchus,22030,55-59 years,55-59,12694,20024271,63.4
,2010,2010,Lung and Bronchus,22030,60-64 years ,60-64,18546,17208628,107.8
,2010,2010,Lung and Bronchus,22030,65-69 years,65-69,23767,12697864,187.2
,2010,2010,Lung and Bronchus,22030,70-74 years,70-74,24996,9469382,264
,2010,2010,Lung and Bronchus,22030,75-79 years,75-79,24827,7415733,334.8
,2011,2011,Lung and Bronchus,22030,50-54 years,50-54,8082,22844331,35.4
,2011,2011,Lung and Bronchus,22030,55-59 years,55-59,12962,20514950,63.2
,2011,2011,Lung and Bronchus,22030,60-64 years ,60-64,18925,18035633,104.9
,2011,2011,Lung and Bronchus,22030,65-69 years,65-69,23273,13062581,178.2
,2011,2011,Lung and Bronchus,22030,70-74 years,70-74,25071,9730434,257.7
,2011,2011,Lung and Bronchus,22030,75-79 years,75-79,24316,7464859,325.7
,2012,2012,Lung and Bronchus,22030,50-54 years,50-54,7998,22884279,34.9
,2012,2012,Lung and Bronchus,22030,55-59 years,55-59,13248,21054500,62.9
