Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,Alabama,01,Female,F,994,2293259,43.3
,1999,1999,Lung and Bronchus,22030,Alabama,01,Male,M,1858,2136882,86.9
,1999,1999,Lung and Bronchus,22030,Alaska,02,Female,F,72,301266,23.9
,1999,1999,Lung and Bronchus,22030,Alaska,02,Male,M,107,323513,33.1
,1999,1999,Lung and Bronchus,22030,Arizona,04,Female,F,1072,2518299,42.6
,1999,1999,Lung and Bronchus,22030,Arizona,04,Male,M,1441,2505524,57.5
,1999,1999,Lung and Bronchus,22030,Arkansas,05,Female,F,697,1359445,51.3
,1999,1999,Lung and Bronchus,22030,Arkansas,05,Male,M,1255,1292415,97.1
,1999,1999,Lung and Bronchus,22030,California,06,Female,F,6186,16800161,36.8
,1999,1999,Lung and Bronchus,22030,California,06,Male,M,7554,16699043,45.2
,1999,1999,Lung and Bronchus,22030,Colorado,08,Female,F,595,2101358,28.3
,1999,1999,Lung and Bronchus,22030,Colorado,08,Male,M,773,2124660,36.4
,1999,1999,Lung and Bronchus,22030,Connecticut,09,Female,F,826,1747148,47.3
,1999,1999,Lung and Bronchus,22030,Connecticut,09,Male,M,962,1639253,58.7
,1999,1999,Lung and Bronchus,22030,Delaware,10,Female,F,220,398732,55.2
,1999,1999,Lung and Bronchus,22030,Delaware,10,Male,M,319,376258,84.8
,1999,1999,Lung and Bronchus,22030,District of Columbia,11,Female,F,128,301797,42.4
,1999,1999,Lung and Bronchus,22030,District of Columbia,11,Male,M,171,268416,63.7
,1999,1999,Lung and Bronchus,22030,Florida,12,Female,F,4660,8073847,57.7
,1999,1999,Lung and Bronchus,22030,Florida,12,Male,M,6823,7685574,88.8
,1999,1999,Lung and Bronchus,22030,Georgia,13,Female,F,1410,4096031,34.4
,1999,1999,Lung and Bronchus,22030,Georgia,13,Male,M,2525,3949934,63.9
,1999,1999,Lung and Bronchus,22030,Hawaii,15,Female,F,170,601830,28.2
,1999,1999,Lung and Bronchus,22030,Hawaii,15,Male,M,284,608470,46.7
,1999,1999,Lung and Bronchus,22030,Idaho,16,Female,F,203,636798,31.9
,1999,1999,Lung and Bronchus,22030,Idaho,16,Male,M,294,638876,46
,1999,1999,Lung and Bronchus,22030,Illinois,17,Female,F,2777,6313350,44
,1999,1999,Lung and Bronchus,22030,Illinois,17,Male,M,3936,6045670,65.1
,1999,1999,Lung and Bronchus,22030,Indiana,18,Female,F,1566,3083351,50.8
,1999,1999,Lung and Bronchus,22030,Indiana,18,Male,M,2331,2961618,78.7
,1999,1999,Lung and Bronchus,22030,Iowa,19,Female,F,646,1488223,43.4
,1999,1999,Lung and Bronchus,22030,Iowa,19,Male,M,1029,1429411,72
,1999,1999,Lung and Bronchus,22030,Kansas,20,Female,F,575,1356044,42.4
,1999,1999,Lung and Bronchus,22030,Kansas,20,Male,M,895,1322294,67.7
,1999,1999,Lung and Bronchus,22030,Kentucky,21,Female,F,1139,2056401,55.4
,1999,1999,Lung and Bronchus,22030,Kentucky,21,Male,M,1830,1961652,93.3
,1999,1999,Lung and Bronchus,22030,Louisiana,22,Female,F,1000,2302744,43.4
,1999,1999,Lung and Bronchus,22030,Louisiana,22,Male,M,1690,2158067,78.3
,1999,1999,Lung and Bronchus,22030,Maine,23,Female,F,358,650598,55
,1999,1999,Lung and Bronchus,22030,Maine,23,Male,M,464,616210,75.3
,1999,1999,Lung and Bronchus,22030,Maryland,24,Female,F,1216,2716928,44.8
,1999,1999,Lung and Bronchus,22030,Maryland,24,Male,M,1631,2537581,64.3
,1999,1999,Lung and Bronchus,22030,Massachusetts,25,Female,F,1583,3274830,48.3
,1999,1999,Lung and Bronchus,22030,Massachusetts,25,Male,M,2010,3042515,66.1
,1999,1999,Lung and Bronchus,22030,Michigan,26,Female,F,2289,5047770,45.3
,1999,1999,Lung and Bronchus,22030,Michigan,26,Male,M,3149,4849346,64.9
,1999,1999,Lung and Bronchus,22030,Minnesota,27,Female,F,908,2462931,36.9
,1999,1999,Lung and Bronchus,22030,Minnesota,27,Male,M,1297,2410550,53.8
,1999,1999,Lung and Bronchus,22030,Mississippi,28,Female,F,680,1464581,46.4
,1999,1999,Lung and Bronchus,22030,Mississippi,28,Male,M,1226,1363827,89.9
,1999,1999,Lung and Bronchus,22030,Missouri,29,Female,F,1502,2860166,52.5
,1999,1999,Lung and Bronchus,22030,Missouri,29,Male,M,2118,2701782,78.4
,1999,1999,Lung and Bronchus,22030,Montana,30,Female,F,218,450543,48.4
,1999,1999,Lung and Bronchus,22030,Montana,30,Male,M,289,446964,64.7
,1999,1999,Lung and Bronchus,22030,Nebraska,31,Female,F,360,865531,41.6
,1999,1999,Lung and Bronchus,22030,Nebraska,31,Male,M,549,839233,65.4
,1999,1999,Lung and Bronchus,22030,Nevada,32,Female,F,489,949422,51.5
,1999,1999,Lung and Bronchus,22030,Nevada,32,Male,M,642,985296,65.2
,1999,1999,Lung and Bronchus,22030,New Hampshire,33,Female,F,287,621409,46.2
,1999,1999,Lung and Bronchus,22030,New Hampshire,33,Male,M,378,600605,62.9
,1999,1999,Lung and Bronchus,22030,New Jersey,34,Female,F,2002,4304271,46.5
,1999,1999,Lung and Bronchus,22030,New Jersey,34,Male,M,2601,4055321,64.1
,1999,1999,Lung and Bronchus,22030,New Mexico,35,Female,F,266,918661,29
,1999,1999,Lung and Bronchus,22030,New Mexico,35,Male,M,361,889421,40.6
,1999,1999,Lung and Bronchus,22030,New York,36,Female,F,4278,9777654,43.8
,1999,1999,Lung and Bronchus,22030,New York,36,Male,M,5272,9105071,57.9
,1999,1999,Lung and Bronchus,22030,North Carolina,37,Female,F,1769,4062710,43.5
,1999,1999,Lung and Bronchus,22030,North Carolina,37,Male,M,2915,3886651,75
,1999,1999,Lung and Bronchus,22030,North Dakota,38,Female,F,120,322617,37.2
,1999,1999,Lung and Bronchus,22030,North Dakota,38,Male,M,178,321642,55.3
,1999,1999,Lung and Bronchus,22030,Ohio,39,Female,F,2979,5835017,51.1
,1999,1999,Lung and Bronchus,22030,Ohio,39,Male,M,4193,5500437,76.2
,1999,1999,Lung and Bronchus,22030,Oklahoma,40,Female,F,870,1748783,49.7
,1999,1999,Lung and Bronchus,22030,Oklahoma,40,Male,M,1351,1688364,80
,1999,1999,Lung and Bronchus,22030,Oregon,41,Female,F,852,1712226,49.8
,1999,1999,Lung and Bronchus,22030,Oregon,41,Male,M,1035,1681715,61.5
,1999,1999,Lung and Bronchus,22030,Pennsylvania,42,Female,F,3339,6347064,52.6
,1999,1999,Lung and Bronchus,22030,Pennsylvania,42,Male,M,4579,5916741,77.4
,1999,1999,Lung and Bronchus,22030,Rhode Island,44,Female,F,301,540724,55.7
,1999,1999,Lung and Bronchus,22030,Rhode Island,44,Male,M,397,499678,79.5
,1999,1999,Lung and Bronchus,22030,South Carolina,45,Female,F,862,2045606,42.1
,1999,1999,Lung and Bronchus,22030,South Carolina,45,Male,M,1475,1929076,76.5
,1999,1999,Lung and Bronchus,22030,South Dakota,46,Female,F,141,378500,37.3
,1999,1999,Lung and Bronchus,22030,South Dakota,46,Male,M,263,371912,70.7
,1999,1999,Lung and Bronchus,22030,Tennessee,47,Female,F,1341,2897466,46.3
,1999,1999,Lung and Bronchus,22030,Tennessee,47,Male,M,2449,2741240,89.3
,1999,1999,Lung and Bronchus,22030,Texas,48,Female,F,3711,10360202,35.8
,1999,1999,Lung and Bronchus,22030,Texas,48,Male,M,5475,10198018,53.7
,1999,1999,Lung and Bronchus,22030,Utah,49,Female,F,158,1100167,14.4
,1999,1999,Lung and Bronchus,22030,Utah,49,Male,M,244,1103315,22.1
,1999,1999,Lung and Bronchus,22030,Vermont,50,Female,F,128,308398,41.5
,1999,1999,Lung and Bronchus,22030,Vermont,50,Male,M,210,296285,70.9
,1999,1999,Lung and Bronchus,22030,Virginia,51,Female,F,1509,3569683,42.3
,1999,1999,Lung and Bronchus,22030,Virginia,51,Male,M,2268,3430491,66.1
,1999,1999,Lung and Bronchus,22030,Washington,53,Female,F,1369,2934901,46.6
,1999,1999,Lung and Bronchus,22030,Washington,53,Male,M,1686,2907663,58
,1999,1999,Lung and Bronchus,22030,West Virginia,54,Female,F,641,931809,68.8
,1999,1999,Lung and Bronchus,22030,West Virginia,54,Male,M,928,879990,105.5
,1999,1999,Lung and Bronchus,22030,Wisconsin,55,Female,F,1091,2701525,40.4
,1999,1999,Lung and Bronchus,22030,Wisconsin,55,Male,M,1558,2631141,59.2
,1999,1999,Lung and Bronchus,22030,Wyoming,56,Female,F,109,244518,44.6
,1999,1999,Lung and Bronchus,22030,Wyoming,56,Male,M,131,247262,53
,2000,2000,Lung and Bronchus,22030,Alabama,01,Female,F,1041,2302835,45.2
,2000,2000,Lung and Bronchus,22030,Alabama,01,Male,M,1923,2149338,89.5
,2000,2000,Lung and Bronchus,22030,Alaska,02,Female,F,94,303213,31
,2000,2000,Lung and Bronchus,22030,Alaska,02,Male,M,109,324750,33.6
,2000,2000,Lung and Bronchus,22030,Arizona,04,Female,F,1079,2584579,41.7
,2000,2000,Lung and Bronchus,22030,Arizona,04,Male,M,1441,2576007,55.9
,2000,2000,Lung and Bronchus,22030,Arkansas,05,Female,F,752,1371015,54.8
,2000,2000,Lung and Bronchus,22030,Arkansas,05,Male,M,1236,1307573,94.5
,2000,2000,Lung and Bronchus,22030,California,06,Female,F,6231,17050415,36.5
,2000,2000,Lung and Bronchus,22030,California,06,Male,M,7459,16937562,44
,2000,2000,Lung and Bronchus,22030,Colorado,08,Female,F,653,2147742,30.4
,2000,2000,Lung and Bronchus,22030,Colorado,08,Male,M,779,2179179,35.7
,2000,2000,Lung and Bronchus,22030,Connecticut,09,Female,F,843,1759318,47.9
,2000,2000,Lung and Bronchus,22030,Connecticut,09,Male,M,1024,1652459,62
,2000,2000,Lung and Bronchus,22030,Delaware,10,Female,F,206,404447,50.9
,2000,2000,Lung and Bronchus,22030,Delaware,10,Male,M,272,381926,71.2
,2000,2000,Lung and Bronchus,22030,District of Columbia,11,Female,F,148,302643,48.9
