Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,Alabama,01,50-54 years,50-54,160,275759,58
,1999,1999,Lung and Bronchus,22030,Alabama,01,55-59 years,55-59,273,220728,123.7
,1999,1999,Lung and Bronchus,22030,Alabama,01,60-64 years ,60-64,336,189814,177
,1999,1999,Lung and Bronchus,22030,Alabama,01,65-69 years,65-69,480,167363,286.8
,1999,1999,Lung and Bronchus,22030,Alabama,01,70-74 years,70-74,545,148565,366.8
,1999,1999,Lung and Bronchus,22030,Alabama,01,75-79 years,75-79,473,117897,401.2
,1999,1999,Lung and Bronchus,22030,Alaska,02,50-54 years,50-54,16,39580,40.4
,1999,1999,Lung and Bronchus,22030,Alaska,02,55-59 years,55-59,20,26381,75.8
,1999,1999,Lung and Bronchus,22030,Alaska,02,60-64 years ,60-64,25,16960,147.4
,1999,1999,Lung and Bronchus,22030,Alaska,02,65-69 years,65-69,35,12219,286.4
,1999,1999,Lung and Bronchus,22030,Alaska,02,70-74 years,70-74,31,9512,325.9
,1999,1999,Lung and Bronchus,22030,Arizona,04,50-54 years,50-54,99,282200,35.1
,1999,1999,Lung and Bronchus,22030,Arizona,04,55-59 years,55-59,168,229310,73.3
,1999,1999,Lung and Bronchus,22030,Arizona,04,60-64 years ,60-64,272,198437,137.1
,1999,1999,Lung and Bronchus,22030,Arizona,04,65-69 years,65-69,382,188248,202.9
,1999,1999,Lung and Bronchus,22030,Arizona,04,70-74 years,70-74,474,174466,271.7
,1999,1999,Lung and Bronchus,22030,Arizona,04,75-79 years,75-79,486,141816,342.7
,1999,1999,Lung and Bronchus,22030,Arkansas,05,50-54 years,50-54,101,161702,62.5
,1999,1999,Lung and Bronchus,22030,Arkansas,05,55-59 years,55-59,163,135264,120.5
,1999,1999,Lung and Bronchus,22030,Arkansas,05,60-64 years ,60-64,244,115753,210.8
,1999,1999,Lung and Bronchus,22030,Arkansas,05,65-69 years,65-69,305,104761,291.1
