state_fips,state_name,population,population_pct,sex,time_period
00,United States,305401642.0,100.0,All,2009
00,United States,307727594.0,100.0,All,2010
00,United States,312855438.0,100.0,All,2012
00,United States,310346358.0,100.0,All,2011
00,United States,317746049.0,100.0,All,2014
00,United States,324473370.0,100.0,All,2017
00,United States,329824950.0,100.0,All,2020
00,United States,328016242.0,100.0,All,2019
00,United States,326289971.0,100.0,All,2018
00,United States,322087547.0,100.0,All,2016
00,United States,315219560.0,100.0,All,2013
00,United States,320098094.0,100.0,All,2015
00,United States,333036755.0,100.0,All,2021
00,United States,334369975.0,100.0,All,2022
00,United States,164778476.0,49.5,Male,2021
00,United States,150427097.0,49.3,Male,2009
00,United States,153799504.0,49.2,Male,2012
00,United States,156258063.0,49.2,Male,2014
00,United States,159672750.0,49.2,Male,2017
00,United States,162365120.0,49.2,Male,2020
00,United States,161465237.0,49.2,Male,2019
00,United States,160597055.0,49.2,Male,2018
00,United States,158451109.0,49.2,Male,2016
00,United States,155010703.0,49.2,Male,2013
00,United States,157448140.0,49.2,Male,2015
00,United States,151202642.0,49.1,Male,2010
00,United States,152533769.0,49.1,Male,2011
00,United States,165751966.0,49.6,Male,2022
00,United States,168258279.0,50.5,Female,2021
00,United States,168618009.0,50.4,Female,2022
00,United States,156524952.0,50.9,Female,2010
00,United States,157812589.0,50.9,Female,2011
00,United States,159055934.0,50.8,Female,2012
00,United States,161487986.0,50.8,Female,2014
00,United States,164800620.0,50.8,Female,2017
00,United States,167459830.0,50.8,Female,2020
00,United States,166551005.0,50.8,Female,2019
00,United States,165692916.0,50.8,Female,2018
00,United States,163636438.0,50.8,Female,2016
00,United States,160208857.0,50.8,Female,2013
00,United States,162649954.0,50.8,Female,2015
00,United States,154974545.0,50.7,Female,2009
