state_fips,state_name,population,population_pct,race_category_id,race_and_ethnicity
00,United States,2791497.0,0.8,AIAN,Indigenous
00,United States,22535913.0,6.7,AIAN_API,"American Indian, Alaska Native, Asian & Pacific Islander"
00,United States,1826398.0,0.5,AIAN_NH,Indigenous (NH)
00,United States,334369975.0,100.0,ALL,All
00,United States,19437529.0,5.8,API_NH,"Asian, Native Hawaiian, and Pacific Islander (NH)"
00,United States,19119274.0,5.7,ASIAN,Asian
00,United States,18875968.0,5.6,ASIAN_NH,Asian (NH)
00,United States,41574960.0,12.4,BLACK,Black or African American
00,United States,40150435.0,12.0,BLACK_NH,Black or African American (NH)
00,United States,64987193.0,19.4,HISP,Hispanic or Latino
00,United States,29905388.0,8.9,MULTI,Two or more races
00,United States,11632025.0,3.5,MULTI_NH,Two or more races (NH)
00,United States,50710247.0,15.2,MULTI_OR_OTHER_STANDARD,Two or more races & Unrepresented race
00,United States,13054766.0,3.9,MULTI_OR_OTHER_STANDARD_NH,Two or more races & Unrepresented race (NH)
00,United States,269382782.0,80.6,NH,Not Hispanic or Latino
00,United States,625142.0,0.2,NHPI,Native Hawaiian and Pacific Islander
00,United States,561561.0,0.2,NHPI_NH,Native Hawaiian and Pacific Islander (NH)
00,United States,20804859.0,6.2,OTHER_STANDARD,Unrepresented race
00,United States,1422741.0,0.4,OTHER_STANDARD_NH,Unrepresented race (NH)
00,United States,219548855.0,65.7,WHITE,White
00,United States,194913654.0,58.3,WHITE_NH,White (NH)
