state_fips,state_name,population,population_pct,age
00,United States,6603722.0,2.0,85+
00,United States,9864596.0,3.0,75-79
00,United States,21755039.0,6.5,55-59
00,United States,45107821.0,13.5,30-39
00,United States,334369975.0,100.0,All
00,United States,12954497.0,3.9,80+
00,United States,16215371.0,4.8,75-84
00,United States,21009103.0,6.3,40-44
00,United States,21056198.0,6.3,50-54
00,United States,22896149.0,6.8,25-29
00,United States,24444045.0,7.3,70-79
00,United States,43700460.0,13.1,10-19
00,United States,45357101.0,13.6,20-29
00,United States,60824969.0,18.2,0-14
00,United States,273545006.0,81.8,15+
00,United States,20452744.0,6.1,45-49
00,United States,22194899.0,6.6,35-39
00,United States,39207178.0,11.7,0-9
00,United States,45809071.0,13.7,25-34
00,United States,6350775.0,1.9,80-84
00,United States,73779881.0,22.1,0-17
00,United States,260590094.0,77.9,18+
00,United States,9127757.0,2.7,18-19
00,United States,14579449.0,4.4,70-74
00,United States,18062040.0,5.4,65-69
00,United States,21263749.0,6.4,60-64
00,United States,22912922.0,6.9,30-34
00,United States,32641489.0,9.8,65-74
00,United States,39325789.0,11.8,60-69
00,United States,42811237.0,12.8,50-59
00,United States,44543621.0,13.3,15-24
00,United States,55460582.0,16.6,65+
00,United States,105536833.0,31.6,40-64
00,United States,120601782.0,36.1,18-44
00,United States,84527730.0,25.3,45-64
00,United States,22460952.0,6.7,20-24
00,United States,31588709.0,9.4,18-24
00,United States,41461847.0,12.4,40-49
00,United States,41508942.0,12.4,45-54
00,United States,43204002.0,12.9,35-44
00,United States,43018788.0,12.9,55-64
00,United States,99592679.0,29.8,18-39
