Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,200069,275461348,72.6
,2000,2000,Breast,26000,200158,278558214,71.9
,2001,2001,Breast,26000,202773,282115961,71.9
,2002,2002,Breast,26000,202050,284766512,71
,2003,2003,Breast,26000,197085,290107933,67.9
,2004,2004,Breast,26000,198246,292805298,67.7
,2005,2005,Breast,26000,201343,295312662,68.2
,2006,2006,Breast,26000,206030,298379912,69
,2007,2007,Breast,26000,212551,301231207,70.6
,2008,2008,Breast,26000,218551,304093966,71.9
,2009,2009,Breast,26000,224171,306771529,73.1
,2010,2010,Breast,26000,221138,309382247,71.5
,2011,2011,Breast,26000,229301,311860624,73.5
,2012,2012,Breast,26000,232985,314371446,74.1
,2013,2013,Breast,26000,239894,316765048,75.7
,2014,2014,Breast,26000,244296,319294716,76.5
,2015,2015,Breast,26000,250711,321850521,77.9
,2016,2016,Breast,26000,253286,324377907,78.1
,2017,2017,Breast,26000,258409,326611185,79.1
,2018,2018,Breast,26000,264595,328525933,80.5
,2019,2019,Breast,26000,274345,330222008,83.1
,2020,2020,Breast,26000,247226,324722713,76.1
,2021,2021,Breast,26000,274803,325218022,84.5
---,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Incidence",,,,,,,
Query Parameters:,,,,,,,
Leading Cancer Sites: Breast,,,,,,,
Group By: Year; Leading Cancer Sites,,,,,,,
Show Totals: Disabled,,,,,,,
Show Zero Values: False,,,,,,,
Show Suppressed: False,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,
---,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/cancer-v2021.html for more information.,,,,,,,
---,,,,,,,
"Query Date: Aug 19, 2024 12:59:35 PM",,,,,,,
---,,,,,,,
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2023 submission; 2024",,,,,,,
"release. Accessed at http://wonder.cdc.gov/cancer-v2021.html on Aug 19, 2024 12:59:35 PM",,,,,,,
---,,,,,,,
Footnotes:,,,,,,,
"1. Data for in situ breast cancers are listed separately and are not included in the ""All Invasive Cancer Sites Combined"" or",,,,,,,
"""Male and Female Breast"" cancer categories.",,,,,,,
---,,,,,,,
Caveats:,,,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,
misleading.,,,,,,,
2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data,,,,,,,
shown for the United States are diagnoses and populations from included registries only.,,,,,,,
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for",,,,,,,
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define",,,,,,,
standard groupings of primary cancer sites.,,,,,,,
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,
