Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Rate LCI,Rate UCI,Population
"HIV Stigma","2022","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.5","24.3","28.7","NA"
"HIV Stigma","2022","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.5","22.6","30.3","NA"
"HIV Stigma","2022","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.6","25.1","32.2","NA"
"HIV Stigma","2022","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.1","23.7","28.4","NA"
"HIV Stigma","2022","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.7","24.4","31.0","NA"
"HIV Stigma","2022","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.6","19.8","35.5","NA"
"HIV Stigma","2022","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","34.3","28.9","39.6","NA"
"HIV Stigma","2022","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","32.9","30.1","35.7","NA"
"HIV Stigma","2022","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.9","23.6","30.2","NA"
"HIV Stigma","2022","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.4","28.1","34.7","NA"
"HIV Stigma","2022","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.8","24.0","33.6","NA"
"HIV Stigma","2022","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.2","27.5","34.9","NA"
"HIV Stigma","2022","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.0","25.7","36.3","NA"
"HIV Stigma","2022","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.0","25.9","32.0","NA"
"HIV Stigma","2022","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
