Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","Asian","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","Multiracial","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","Other","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","White","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","United States","NA","Ages 13 years and older","Black/African American","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","Other","Both sexes","All transmission categories","15,710","12.0","131,180"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","234,504","78.0","300,650"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","63,938","20.4","312,820"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","51,766","11.0","468,540"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Other","Both sexes","All transmission categories","12,788","9.7","131,180"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","193,174","64.3","300,650"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","51,259","16.4","312,820"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","43,288","9.2","468,540"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","Other","Both sexes","All transmission categories","12,234","9.3","131,180"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","180,024","59.9","300,650"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","45,379","14.5","312,820"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","37,286","8.0","468,540"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","Other","Both sexes","All transmission categories","9,946","7.6","131,180"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","145,653","48.4","300,650"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","35,340","11.3","312,820"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","29,014","6.2","468,540"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data not available","Data not available","NA"
