Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2022","Alabama","01","45-54","All races/ethnicities","Both sexes","441","31.5","1,400"
"PrEP coverage and number of persons prescribed","2022","Alabama","01","35-44","All races/ethnicities","Both sexes","671","40.2","1,670"
"PrEP coverage and number of persons prescribed","2022","Alabama","01","25-34","All races/ethnicities","Both sexes","1,301","34.8","3,740"
"PrEP coverage and number of persons prescribed","2022","Alabama","01","13-24","All races/ethnicities","Both sexes","673","19.9","3,380"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","45-54","All races/ethnicities","Both sexes","42","13.5","310"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","35-44","All races/ethnicities","Both sexes","118","51.3","230"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","25-34","All races/ethnicities","Both sexes","156","22.3","700"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","390"
"PrEP coverage and number of persons prescribed","2022","American Samoa","60","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","American Samoa","60","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","American Samoa","60","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","American Samoa","60","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","45-54","All races/ethnicities","Both sexes","1,039","31.2","3,330"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","35-44","All races/ethnicities","Both sexes","2,080","40.0","5,200"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","25-34","All races/ethnicities","Both sexes","3,140","32.4","9,680"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","13-24","All races/ethnicities","Both sexes","1,063","20.6","5,160"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","45-54","All races/ethnicities","Both sexes","201","31.4","640"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","35-44","All races/ethnicities","Both sexes","405","46.0","880"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","25-34","All races/ethnicities","Both sexes","650","35.3","1,840"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","13-24","All races/ethnicities","Both sexes","265","18.7","1,420"
"PrEP coverage and number of persons prescribed","2022","California","06","45-54","All races/ethnicities","Both sexes","7,569","32.6","23,190"
"PrEP coverage and number of persons prescribed","2022","California","06","35-44","All races/ethnicities","Both sexes","16,243","49.2","32,990"
"PrEP coverage and number of persons prescribed","2022","California","06","25-34","All races/ethnicities","Both sexes","24,316","39.8","61,120"
"PrEP coverage and number of persons prescribed","2022","California","06","13-24","All races/ethnicities","Both sexes","6,895","21.6","31,980"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","45-54","All races/ethnicities","Both sexes","823","36.3","2,270"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","35-44","All races/ethnicities","Both sexes","1,963","38.0","5,160"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","25-34","All races/ethnicities","Both sexes","3,283","31.4","10,450"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","13-24","All races/ethnicities","Both sexes","942","18.5","5,100"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","45-54","All races/ethnicities","Both sexes","465","25.1","1,850"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","35-44","All races/ethnicities","Both sexes","887","49.8","1,780"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","25-34","All races/ethnicities","Both sexes","1,534","54.4","2,820"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","13-24","All races/ethnicities","Both sexes","640","36.8","1,740"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","45-54","All races/ethnicities","Both sexes","115","14.9","770"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","35-44","All races/ethnicities","Both sexes","211","29.3","720"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","25-34","All races/ethnicities","Both sexes","247","18.4","1,340"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","13-24","All races/ethnicities","Both sexes","113","16.9","670"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","45-54","All races/ethnicities","Both sexes","864","49.7","1,740"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","35-44","All races/ethnicities","Both sexes","2,370","100.9","2,350"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","25-34","All races/ethnicities","Both sexes","3,289","71.3","4,610"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","13-24","All races/ethnicities","Both sexes","614","22.5","2,730"
"PrEP coverage and number of persons prescribed","2022","Florida","12","45-54","All races/ethnicities","Both sexes","7,253","35.4","20,500"
"PrEP coverage and number of persons prescribed","2022","Florida","12","35-44","All races/ethnicities","Both sexes","11,116","45.3","24,530"
"PrEP coverage and number of persons prescribed","2022","Florida","12","25-34","All races/ethnicities","Both sexes","14,826","34.6","42,840"
"PrEP coverage and number of persons prescribed","2022","Florida","12","13-24","All races/ethnicities","Both sexes","5,406","24.9","21,710"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","45-54","All races/ethnicities","Both sexes","1,992","41.8","4,760"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","35-44","All races/ethnicities","Both sexes","3,436","51.9","6,620"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","25-34","All races/ethnicities","Both sexes","5,179","35.8","14,450"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","13-24","All races/ethnicities","Both sexes","1,742","18.3","9,500"
"PrEP coverage and number of persons prescribed","2022","Guam","66","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Guam","66","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Guam","66","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
