Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2021","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","36,739","29.8","123,350"
"PrEP coverage and number of persons prescribed","2021","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","46,253","26.7","173,420"
"PrEP coverage and number of persons prescribed","2021","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","88,542","37.1","238,470"
"PrEP coverage and number of persons prescribed","2021","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","145,805","33.5","434,680"
"PrEP coverage and number of persons prescribed","2021","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","48,581","19.7","246,290"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","30,192","24.5","123,350"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","40,468","23.3","173,420"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","71,857","30.1","238,470"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","120,256","27.7","434,680"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","37,736","15.3","246,290"
"PrEP coverage and number of persons prescribed","2019","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","24,141","19.6","123,350"
"PrEP coverage and number of persons prescribed","2019","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","37,412","21.6","173,420"
"PrEP coverage and number of persons prescribed","2019","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","64,063","26.9","238,470"
"PrEP coverage and number of persons prescribed","2019","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","111,700","25.7","434,680"
"PrEP coverage and number of persons prescribed","2019","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","37,607","15.3","246,290"
"PrEP coverage and number of persons prescribed","2018","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","17,703","14.4","123,350"
"PrEP coverage and number of persons prescribed","2018","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","31,503","18.2","173,420"
"PrEP coverage and number of persons prescribed","2018","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","50,740","21.3","238,470"
"PrEP coverage and number of persons prescribed","2018","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","90,692","20.9","434,680"
"PrEP coverage and number of persons prescribed","2018","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","29,316","11.9","246,290"
"PrEP coverage and number of persons prescribed","2017","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","12,291","10.1","121,830"
"PrEP coverage and number of persons prescribed","2017","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","23,768","13.1","180,870"
"PrEP coverage and number of persons prescribed","2017","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","36,496","15.6","233,560"
"PrEP coverage and number of persons prescribed","2017","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","62,383","14.7","425,690"
"PrEP coverage and number of persons prescribed","2017","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","20,094","7.8","259,130"
