insurance_status,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Have some form of insurance",Alabama,1,963,224,1187,77.7121699569535,74.4680146309561,80.9563252829508,78.0364341408192,72.9646620583818,83.1082062232566
"Do not have some form of health
insurance",Alabama,1,26,26,52,47.2272754986982,33.8444216757675,60.6101293216289,51.5517144103485,39.084314232793,64.019114587904
"Don´t know, refused or missing
insurance response",Alabama,1,18,4,22,85.2237028744627,65.5938680932781,100,66.5488461467824,58.1553555963319,74.9423366972329
"Have some form of insurance",Alaska,2,828,373,1201,71.4855038859959,68.1264244713281,74.8445833006638,71.0536446785706,65.5304928261483,76.5767965309928
"Do not have some form of health
insurance",Alaska,2,13,43,56,11.7772518361652,4.67371771339263,18.8807859589378,.,.,.
"Don´t know, refused or missing
insurance response",Alaska,2,32,12,44,86.7673978163686,79.6884328648922,93.846362767845,82.9474212039333,76.1871411870189,89.7077012208476
"Have some form of insurance",Arizona,4,1632,632,2264,76.5856807219031,73.916823744691,79.2545376991152,76.3657427743666,71.9979587911574,80.7335267575759
"Do not have some form of health
insurance",Arizona,4,36,59,95,45.3222327668736,27.9524691364845,62.6919963972626,38.2271799066817,23.5866942275961,52.8676655857672
"Don´t know, refused or missing
insurance response",Arizona,4,24,13,37,58.1570652038428,30.7131712137646,85.6009591939211,55.4312887839391,25.3790775056162,85.483500062262
"Have some form of insurance",Arkansas,5,885,312,1197,75.8157572147759,72.8856206757145,78.7458937538373,75.6201028516622,70.8296087637995,80.4105969395249
"Do not have some form of health
insurance",Arkansas,5,11,19,30,33.499145019788,16.7186537738641,50.2796362657119,67.1188365960311,51.8308296315687,82.4068435604936
"Don´t know, refused or missing
insurance response",Arkansas,5,46,13,59,78.8809467284177,67.6021666066164,90.1597268502191,77.9495856081883,59.0990676534938,96.8001035628827
"Have some form of insurance",California,6,1416,377,1793,77.7419865816301,74.6809334080342,80.8030397552261,78.0543341338232,73.2749273948472,82.8337408727993
"Do not have some form of health
insurance",California,6,21,29,50,37.6636395287034,22.6951106455895,52.6321684118174,37.4204750384676,16.7862464642995,58.0547036126358
