time_period,state_fips,total_state_leg_count
2026,02,60
2025,02,60
2024,02,60
2023,02,60
2022,02,60
2021,02,60
2020,02,60
2019,02,60
2018,02,60
2017,02,60
2016,02,60
2015,02,60
2014,02,60
2013,02,60
2012,02,60
2011,02,60
2010,02,60
2009,02,60
2008,02,60
2007,02,60
2006,02,60
2005,02,60
2004,02,60
2003,02,60
2002,02,60
2001,02,60
2000,02,60
1999,02,60
1998,02,60
1997,02,60
1996,02,60
1995,02,60
1994,02,60
1993,02,60
1992,02,60
1991,02,60
1990,02,60
1989,02,60
1988,02,60
1987,02,60
1986,02,60
1985,02,60
1984,02,60
1983,02,60
1982,02,60
1981,02,60
1980,02,60
1979,02,60
1978,02,60
1977,02,60
1976,02,60
1975,02,60
