Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cj0519stt07.csv,,,,,,,,,,,,,,,,
"Table 7. Percent of confined inmates in local jails, by race or ethnicity and state, midyear 2019",,,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 7. Percent of confined inmates in local jails, by race or ethnicity and state, midyear 2019",,,,,,,,,,,,,,,,
State/a,,Total inmates in custody/b,White/c,,Black/c,,Hispanic,,American Indian/Alaska Native/c,,Asian/c,,Native Hawaiian/Other Pacific Islander/c,,Two or more races/c,
,U.S. total,"734,470",49.4,%,33.6,%,14.6,%,1.4,%,0.6,%,0.1,%,0.3,%
Northeast,,"73,570",43.8,%,37.9,%,17.1,%,0.2,%,0.8,%,^,,0.1,%
,Maine,"1,620",84.2,,11.1,,3.1,,1.1,,0.4,,^,,0.1,
,Massachusetts,"9,260",43.1,,25.8,,28.9,,0.3,,1.6,,^,,0.4,
,New Hampshire,"1,400",72.5,,13.4,,12.2,,0.5,,1.3,,0.1,%,^,
,New Jersey,"9,550",24.6,,46.5,,27.6,,0.1,,0.9,,0.1,,0.2,
,New York,"20,450",35.3,,45.6,,17.7,,0.5,,0.9,,^,,^,
,Pennsylvania,"31,300",52.3,,36.1,,11,,0.1,,0.5,,^,,0.1,
Midwest ,,"125,330",58.4,%,31.2,%,7,%,2.6,%,0.6,%,^,,0.3,%
,Illinois,"16,490",33.8,,51,,14.4,,0.1,,0.4,,^,,0.2,
,Indiana,"20,430",77.2,,17.6,,4.6,,0.1,,0.3,,^,,0.2,
,Iowa,"5,020",63.6,,24.7,,8.6,,1.8,,0.9,,0.3,%,0.1,
,Kansas,"8,080",61.3,,25.2,,11.9,,1,,0.4,,0.1,,0.2,
,Michigan,"15,880",57.2,,35.9,,4.9,,0.9,,0.3,,^,,0.8,
,Minnesota,"6,840",51.2,,27.6,,9.8,,8.6,,2.5,,0.1,,0.3,
,Missouri,"11,580",62.6,,33.1,,3.5,,0.1,,0.4,,^,,0.3,
,Nebraska,"4,200",56.2,,22.9,,15,,4.5,,0.8,,^,,0.6,
,North Dakota,"1,470",53.5,,12.3,,4.2,,28.6,,0.1,,0.1,,1.2,
,Ohio,"20,580",62.6,,34,,3,,^,,0.2,,^,,0.2,
,South Dakota,"2,010",41.9,,6.9,,3.6,,47,,0.6,,^,,^,
,Wisconsin,"12,750",56.9,,30.7,,5.7,,5.1,,1.4,,0.1,,^,
South ,,"386,770",49.7,%,40,%,9.3,%,0.5,%,0.3,%,^,,0.1,%
,Alabama,"16,450",53.8,,43.2,,2.7,,0.1,,0.1,,^,,^,
,Arkansas,"9,400",61,,34.2,,4,,0.3,,0.1,,0.1,%,0.2,
,District of Columbia,"1,820",4.6,,89.4,,5.7,,^,,0.3,,^,,^,
,Florida,"56,660",49.3,,40.8,,9.7,,0.1,,0.2,,^,,^,
,Georgia,"44,810",43.8,,51.2,,4.4,,^,,0.5,,^,,0.1,
,Kentucky,"26,190",78.9,,18.3,,2.3,,0.1,,0.1,,^,,0.4,
,Louisiana,"32,560",37.8,,57.4,,3.6,,0.1,,1,,^,,0.1,
,Maryland,"8,590",35,,59.2,,5.2,,0.1,,0.4,,0.1,,^,
,Mississippi,"14,340",37,,49.4,,11.8,,1.4,,0.2,,0.1,,0.1,
,North Carolina,"20,360",46.8,,46.6,,5,,1.3,,0.3,,^,,0.1,
,Oklahoma,"10,630",55,,22.8,,9.6,,11.5,,0.5,,0.1,,0.6,
,South Carolina,"11,470",48.5,,48.4,,2.8,,0.1,,0.1,,^,,0.1,
,Tennessee,"31,240",66.1,,31.7,,2,,^,,0.1,,^,,^,
,Texas,"68,770",40,,28.2,,31.1,,0.1,,0.4,,0.1,,0.1,
,Virginia,"28,380",51.2,,45.1,,3.1,,0.1,,0.4,,^,,^,
,West Virginia,"5,110",85.5,,12.8,,0.9,,0.1,,0.1,,^,,0.5,
West ,,"148,800",43.8,%,16.9,%,33.5,%,3.4,%,1.4,%,0.4,%,0.7,%
,Alaska,50,48.9,,^,,2.2,,48.9,,^,,^,,^,
,Arizona,"13,540",55.2,,15.6,,20.4,,8.1,,0.5,,^,,0.2,
,California,"75,060",28.7,,20.6,,46.6,,0.8,,1.8,,0.5,,1,
,Colorado,"13,000",57.3,,16.3,,23.7,,1.8,,0.7,,0.1,,0.2,
,Idaho,"4,250",74.7,,3.2,,17.5,,3.8,,0.7,,0.1,,^,
,Montana,"2,510",69.1,,3.1,,2.5,,24.8,,0.2,,0.3,,0.1,
,Nevada,"7,220",46,,32.3,,17.6,,1.8,,1.8,,0.3,,0.1,
,New Mexico,"6,550",36.2,,4.9,,45.3,,11.6,,0.2,,^,,1.8,
,Oregon,"6,040",74.9,,9.5,,11.5,,2.8,,1,,0.2,,0.1,
,Utah,"7,300",64.6,,6.1,,22.4,,4,,1.3,,1.6,,^,
,Washington,"11,710",67.2,,12.8,,12,,5.3,,2.3,,0.4,,0.1,
,Wyoming,"1,570",74.4,,5.3,,7,,12,,0.5,,0.6,,0.3,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse. See Methodology. Details may not sum to totals due to rounding. ",,,,,,,,,,,,,,,,
^Less than 0.05%.,,,,,,,,,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf ,,,,,,,,,,,,,,,,
b/Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology.,,,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,,,,,,,,,
