Period,ST_NAME,NAME,Intent,Count,Rate,TTM_Date_Range,GEOID
TTM,Alabama,Autauga County,FA_Suicide,1-9,12.1,"January, 2024 to December, 2024",01001
TTM,Alabama,Baldwin County,FA_Suicide,32,12.6,"January, 2024 to December, 2024",01003
TTM,Alabama,Barbour County,FA_Suicide,1-9,11,"January, 2024 to December, 2024",01005
TTM,Alabama,Bibb County,FA_Suicide,1-9,11.5,"January, 2024 to December, 2024",01007
TTM,Alabama,Blount County,FA_Suicide,14,23.4,"January, 2024 to December, 2024",01009
TTM,Alabama,Bullock County,FA_Suicide,1-9,11.2,"January, 2024 to December, 2024",01011
TTM,Alabama,Butler County,FA_Suicide,1-9,14.6,"January, 2024 to December, 2024",01013
TTM,Alabama,Calhoun County,FA_Suicide,27,23.2,"January, 2024 to December, 2024",01015
TTM,Alabama,Chambers County,FA_Suicide,1-9,15.8,"January, 2024 to December, 2024",01017
TTM,Alabama,Cherokee County,FA_Suicide,1-9,13.8,"January, 2024 to December, 2024",01019
TTM,Alabama,Chilton County,FA_Suicide,1-9,11.3,"January, 2024 to December, 2024",01021
TTM,Alabama,Choctaw County,FA_Suicide,0,0,"January, 2024 to December, 2024",01023
TTM,Alabama,Clarke County,FA_Suicide,1-9,10.1,"January, 2024 to December, 2024",01025
TTM,Alabama,Clay County,FA_Suicide,1-9,13.3,"January, 2024 to December, 2024",01027
TTM,Alabama,Cleburne County,FA_Suicide,1-9,14.4,"January, 2024 to December, 2024",01029
TTM,Alabama,Coffee County,FA_Suicide,1-9,12,"January, 2024 to December, 2024",01031
TTM,Alabama,Colbert County,FA_Suicide,10,17.1,"January, 2024 to December, 2024",01033
TTM,Alabama,Conecuh County,FA_Suicide,1-9,16.4,"January, 2024 to December, 2024",01035
TTM,Alabama,Coosa County,FA_Suicide,1-9,14,"January, 2024 to December, 2024",01037
TTM,Alabama,Covington County,FA_Suicide,1-9,16.2,"January, 2024 to December, 2024",01039
TTM,Alabama,Crenshaw County,FA_Suicide,1-9,13,"January, 2024 to December, 2024",01041
TTM,Alabama,Cullman County,FA_Suicide,13,14.1,"January, 2024 to December, 2024",01043
TTM,Alabama,Dale County,FA_Suicide,1-9,9.699999999999999,"January, 2024 to December, 2024",01045
TTM,Alabama,Dallas County,FA_Suicide,1-9,12.8,"January, 2024 to December, 2024",01047
TTM,Alabama,DeKalb County,FA_Suicide,1-9,-999,"January, 2024 to December, 2024",01049
TTM,Alabama,Elmore County,FA_Suicide,1-9,10.7,"January, 2024 to December, 2024",01051
TTM,Alabama,Escambia County,FA_Suicide,1-9,16.4,"January, 2024 to December, 2024",01053
TTM,Alabama,Etowah County,FA_Suicide,18,17.4,"January, 2024 to December, 2024",01055
TTM,Alabama,Fayette County,FA_Suicide,1-9,9.699999999999999,"January, 2024 to December, 2024",01057
TTM,Alabama,Franklin County,FA_Suicide,1-9,10.9,"January, 2024 to December, 2024",01059
TTM,Alabama,Geneva County,FA_Suicide,1-9,15.1,"January, 2024 to December, 2024",01061
TTM,Alabama,Greene County,FA_Suicide,1-9,10,"January, 2024 to December, 2024",01063
TTM,Alabama,Hale County,FA_Suicide,1-9,11.1,"January, 2024 to December, 2024",01065
TTM,Alabama,Henry County,FA_Suicide,1-9,10.6,"January, 2024 to December, 2024",01067
TTM,Alabama,Houston County,FA_Suicide,1-9,10.3,"January, 2024 to December, 2024",01069
TTM,Alabama,Jackson County,FA_Suicide,11,20.6,"January, 2024 to December, 2024",01071
