time_period,state_name,state_fips,sex,hiv_diagnoses,hiv_diagnoses_per_100k,population
2008,Alabama,01,Both sexes,701,18.1,3870996.0
2009,Alabama,01,Both sexes,686,17.6,3898688.0
2010,Alabama,01,Both sexes,685,17.2,3980691.0
2011,Alabama,01,Both sexes,672,16.8,3998191.0
2012,Alabama,01,Both sexes,662,16.5,4020179.0
2013,Alabama,01,Both sexes,627,15.5,4042695.0
2014,Alabama,01,Both sexes,660,16.3,4060083.0
2015,Alabama,01,Both sexes,665,16.3,4071935.0
2016,Alabama,01,Both sexes,653,16.0,4084113.0
2017,Alabama,01,Both sexes,647,15.8,4096426.0
2018,Alabama,01,Both sexes,604,14.7,4110461.0
2019,Alabama,01,Both sexes,635,15.4,4128511.0
2020 (COVID-19 Pandemic),Alabama,01,Both sexes,585,14.1,4145188.0
2021,Alabama,01,Both sexes,507,Data not available,
2022,Alabama,01,Both sexes,248,Data not available,
2008,Alabama,01,Female,213,10.6,2017863.0
2009,Alabama,01,Female,165,8.1,2030630.0
2010,Alabama,01,Female,186,9.0,2068103.0
2011,Alabama,01,Female,157,7.6,2078342.0
2012,Alabama,01,Female,137,6.6,2090090.0
2013,Alabama,01,Female,142,6.8,2101610.0
2014,Alabama,01,Female,131,6.2,2111378.0
2015,Alabama,01,Female,141,6.7,2118054.0
2016,Alabama,01,Female,144,6.8,2125663.0
2017,Alabama,01,Female,136,6.4,2134107.0
2018,Alabama,01,Female,118,5.5,2143059.0
2019,Alabama,01,Female,135,6.3,2153898.0
2020 (COVID-19 Pandemic),Alabama,01,Female,137,6.3,2163805.0
2021,Alabama,01,Female,104,Data not available,
2022,Alabama,01,Female,Data not available,Data not available,
2008,Alabama,01,Male,488,26.3,1853133.0
2009,Alabama,01,Male,521,27.9,1868058.0
2010,Alabama,01,Male,499,26.1,1912588.0
2011,Alabama,01,Male,515,26.8,1919849.0
2012,Alabama,01,Male,525,27.2,1930089.0
2013,Alabama,01,Male,485,25.0,1941085.0
2014,Alabama,01,Male,529,27.1,1948705.0
2015,Alabama,01,Male,524,26.8,1953881.0
2016,Alabama,01,Male,509,26.0,1958450.0
2017,Alabama,01,Male,511,26.0,1962319.0
2018,Alabama,01,Male,486,24.7,1967402.0
2019,Alabama,01,Male,500,25.3,1974613.0
2020 (COVID-19 Pandemic),Alabama,01,Male,448,22.6,1981383.0
2021,Alabama,01,Male,403,Data not available,
2022,Alabama,01,Male,Data not available,Data not available,
2008,Alaska,02,Both sexes,39,7.0,559346.0
2009,Alaska,02,Both sexes,21,3.7,565800.0
2010,Alaska,02,Both sexes,36,6.2,577805.0
2011,Alaska,02,Both sexes,23,3.9,584807.0
2012,Alaska,02,Both sexes,28,4.7,593060.0
2013,Alaska,02,Both sexes,23,3.8,599774.0
2014,Alaska,02,Both sexes,37,6.2,600001.0
2015,Alaska,02,Both sexes,25,4.2,601517.0
2016,Alaska,02,Both sexes,37,6.1,604820.0
2017,Alaska,02,Both sexes,30,5.0,604084.0
2018,Alaska,02,Both sexes,23,3.8,601566.0
2019,Alaska,02,Both sexes,27,4.5,600561.0
2020 (COVID-19 Pandemic),Alaska,02,Both sexes,29,4.8,599919.0
2021,Alaska,02,Both sexes,30,Data not available,
2022,Alaska,02,Both sexes,16,Data not available,
2008,Alaska,02,Female,8,3.0,265960.0
2009,Alaska,02,Female,9,3.3,271828.0
2010,Alaska,02,Female,11,4.0,276141.0
2011,Alaska,02,Female,6,2.1,279675.0
2012,Alaska,02,Female,9,3.2,282845.0
2013,Alaska,02,Female,6,2.1,284746.0
2014,Alaska,02,Female,7,2.5,284550.0
2015,Alaska,02,Female,5,1.8,285167.0
2016,Alaska,02,Female,8,2.8,287018.0
2017,Alaska,02,Female,8,2.8,287369.0
2018,Alaska,02,Female,3,1.0,286689.0
2019,Alaska,02,Female,7,2.4,286133.0
2020 (COVID-19 Pandemic),Alaska,02,Female,4,1.4,285838.0
2021,Alaska,02,Female,5,Data not available,
2022,Alaska,02,Female,Data not available,Data not available,
2008,Alaska,02,Male,31,10.6,293386.0
2009,Alaska,02,Male,12,4.1,293972.0
2010,Alaska,02,Male,25,8.3,301664.0
2011,Alaska,02,Male,17,5.6,305132.0
2012,Alaska,02,Male,19,6.1,310215.0
2013,Alaska,02,Male,17,5.4,315028.0
2014,Alaska,02,Male,30,9.5,315451.0
2015,Alaska,02,Male,20,6.3,316350.0
2016,Alaska,02,Male,29,9.1,317802.0
2017,Alaska,02,Male,22,6.9,316715.0
2018,Alaska,02,Male,20,6.4,314877.0
2019,Alaska,02,Male,20,6.4,314428.0
2020 (COVID-19 Pandemic),Alaska,02,Male,25,8.0,314081.0
2021,Alaska,02,Male,25,Data not available,
2022,Alaska,02,Male,Data not available,Data not available,
2008,Arizona,04,Both sexes,681,13.0,5235123.0
2009,Arizona,04,Both sexes,639,12.0,5316387.0
2010,Arizona,04,Both sexes,615,11.8,5229397.0
2011,Arizona,04,Both sexes,564,10.6,5304335.0
2012,Arizona,04,Both sexes,618,11.5,5387734.0
2013,Arizona,04,Both sexes,681,12.5,5468331.0
2014,Arizona,04,Both sexes,736,13.2,5565668.0
2015,Arizona,04,Both sexes,690,12.2,5662609.0
2016,Arizona,04,Both sexes,714,12.4,5770176.0
2017,Arizona,04,Both sexes,720,12.3,5874541.0
2018,Arizona,04,Both sexes,752,12.5,5992915.0
2019,Arizona,04,Both sexes,747,12.2,6121860.0
2020 (COVID-19 Pandemic),Arizona,04,Both sexes,662,10.6,6254434.0
2021,Arizona,04,Both sexes,785,Data not available,
2022,Arizona,04,Both sexes,608,Data not available,
2008,Arizona,04,Female,82,3.1,2622204.0
2009,Arizona,04,Female,78,2.9,2662635.0
2010,Arizona,04,Female,70,2.6,2646064.0
2011,Arizona,04,Female,73,2.7,2681950.0
2012,Arizona,04,Female,90,3.3,2723846.0
2013,Arizona,04,Female,85,3.1,2765324.0
2014,Arizona,04,Female,109,3.9,2813757.0
2015,Arizona,04,Female,96,3.4,2862281.0
2016,Arizona,04,Female,102,3.5,2917104.0
2017,Arizona,04,Female,101,3.4,2970162.0
2018,Arizona,04,Female,96,3.2,3029701.0
2019,Arizona,04,Female,114,3.7,3095672.0
2020 (COVID-19 Pandemic),Arizona,04,Female,88,2.8,3163754.0
2021,Arizona,04,Female,96,Data not available,
2022,Arizona,04,Female,Data not available,Data not available,
2008,Arizona,04,Male,599,22.9,2612919.0
2009,Arizona,04,Male,561,21.1,2653752.0
2010,Arizona,04,Male,545,21.1,2583333.0
2011,Arizona,04,Male,491,18.7,2622385.0
2012,Arizona,04,Male,528,19.8,2663888.0
2013,Arizona,04,Male,596,22.0,2703007.0
2014,Arizona,04,Male,627,22.8,2751911.0
2015,Arizona,04,Male,594,21.2,2800328.0
2016,Arizona,04,Male,612,21.5,2853072.0
2017,Arizona,04,Male,619,21.3,2904379.0
2018,Arizona,04,Male,656,22.1,2963214.0
2019,Arizona,04,Male,633,20.9,3026188.0
2020 (COVID-19 Pandemic),Arizona,04,Male,574,18.6,3090680.0
2021,Arizona,04,Male,689,Data not available,
2022,Arizona,04,Male,Data not available,Data not available,
2008,Arkansas,05,Both sexes,232,9.8,2357363.0
2009,Arkansas,05,Both sexes,275,11.6,2374089.0
2010,Arkansas,05,Both sexes,230,9.6,2407981.0
2011,Arkansas,05,Both sexes,237,9.8,2427114.0
2012,Arkansas,05,Both sexes,248,10.2,2439317.0
2013,Arkansas,05,Both sexes,261,10.7,2450279.0
2014,Arkansas,05,Both sexes,309,12.6,2460710.0
2015,Arkansas,05,Both sexes,271,11.0,2471839.0
2016,Arkansas,05,Both sexes,314,12.6,2484157.0
2017,Arkansas,05,Both sexes,287,11.5,2496702.0
2018,Arkansas,05,Both sexes,286,11.4,2506992.0
2019,Arkansas,05,Both sexes,289,11.5,2518616.0
2020 (COVID-19 Pandemic),Arkansas,05,Both sexes,242,9.6,2532057.0
2021,Arkansas,05,Both sexes,341,Data not available,
2022,Arkansas,05,Both sexes,238,Data not available,
2008,Arkansas,05,Female,43,3.5,1213470.0
2009,Arkansas,05,Female,60,4.9,1221849.0
2010,Arkansas,05,Female,36,2.9,1236131.0
2011,Arkansas,05,Female,49,3.9,1245339.0
2012,Arkansas,05,Female,43,3.4,1251718.0
2013,Arkansas,05,Female,58,4.6,1257556.0
2014,Arkansas,05,Female,46,3.6,1262708.0
2015,Arkansas,05,Female,52,4.1,1268087.0
2016,Arkansas,05,Female,47,3.7,1274227.0
2017,Arkansas,05,Female,47,3.7,1280713.0
2018,Arkansas,05,Female,55,4.3,1286629.0
2019,Arkansas,05,Female,65,5.0,1293130.0
2020 (COVID-19 Pandemic),Arkansas,05,Female,45,3.5,1300570.0
2021,Arkansas,05,Female,66,Data not available,
2022,Arkansas,05,Female,Data not available,Data not available,
2008,Arkansas,05,Male,189,16.5,1143893.0
2009,Arkansas,05,Male,215,18.7,1152240.0
2010,Arkansas,05,Male,194,16.6,1171850.0
2011,Arkansas,05,Male,188,15.9,1181775.0
2012,Arkansas,05,Male,205,17.3,1187599.0
2013,Arkansas,05,Male,203,17.0,1192723.0
2014,Arkansas,05,Male,263,22.0,1198002.0
2015,Arkansas,05,Male,219,18.2,1203752.0
2016,Arkansas,05,Male,267,22.1,1209930.0
2017,Arkansas,05,Male,240,19.7,1215989.0
2018,Arkansas,05,Male,231,18.9,1220363.0
2019,Arkansas,05,Male,224,18.3,1225486.0
2020 (COVID-19 Pandemic),Arkansas,05,Male,197,16.0,1231487.0
2021,Arkansas,05,Male,275,Data not available,
2022,Arkansas,05,Male,Data not available,Data not available,
2008,California,06,Both sexes,5708,19.1,29836645.0
2009,California,06,Both sexes,5408,17.9,30167113.0
2010,California,06,Both sexes,5260,17.1,30752337.0
2011,California,06,Both sexes,5022,16.2,31062135.0
2012,California,06,Both sexes,5031,16.0,31375726.0
2013,California,06,Both sexes,4677,14.8,31693840.0
2014,California,06,Both sexes,5112,16.0,32028983.0
2015,California,06,Both sexes,5041,15.6,32338787.0
2016,California,06,Both sexes,5092,15.6,32601590.0
2017,California,06,Both sexes,4839,14.7,32823118.0
2018,California,06,Both sexes,4749,14.4,32985129.0
2019,California,06,Both sexes,4454,13.5,33070892.0
2020 (COVID-19 Pandemic),California,06,Both sexes,3924,11.9,33099665.0
2021,California,06,Both sexes,4246,Data not available,
2022,California,06,Both sexes,2408,Data not available,
2008,California,06,Female,720,4.8,14984211.0
2009,California,06,Female,666,4.4,15140307.0
2010,California,06,Female,631,4.1,15562029.0
2011,California,06,Female,556,3.5,15726529.0
2012,California,06,Female,534,3.4,15884453.0
2013,California,06,Female,499,3.1,16047027.0
2014,California,06,Female,582,3.6,16213216.0
2015,California,06,Female,524,3.2,16364955.0
2016,California,06,Female,600,3.6,16495477.0
2017,California,06,Female,546,3.3,16601046.0
2018,California,06,Female,575,3.4,16678033.0
2019,California,06,Female,548,3.3,16718454.0
2020 (COVID-19 Pandemic),California,06,Female,492,2.9,16727449.0
2021,California,06,Female,542,Data not available,
2022,California,06,Female,Data not available,Data not available,
2008,California,06,Male,"4,988",33.6,14852434.0
2009,California,06,Male,"4,742",31.6,15026806.0
2010,California,06,Male,"4,629",30.5,15190308.0
2011,California,06,Male,"4,466",29.1,15335606.0
2012,California,06,Male,"4,497",29.0,15491273.0
2013,California,06,Male,"4,178",26.7,15646813.0
2014,California,06,Male,"4,530",28.6,15815767.0
2015,California,06,Male,"4,517",28.3,15973832.0
2016,California,06,Male,"4,492",27.9,16106113.0
2017,California,06,Male,"4,293",26.5,16222072.0
2018,California,06,Male,"4,174",25.6,16307096.0
2019,California,06,Male,"3,906",23.9,16352438.0
2020 (COVID-19 Pandemic),California,06,Male,"3,432",21.0,16372216.0
2021,California,06,Male,"3,704",Data not available,
2022,California,06,Male,Data not available,Data not available,
