Indicator,time_period,state_name,state_fips,age,race_category_id,sex,Transmission Category,hiv_diagnoses,hiv_diagnoses_per_100k,population
HIV diagnoses,2019,Alabama,01,55+,ALL,All,All transmission categories,58,3.8,1509328.0
HIV diagnoses,2019,Alabama,01,45-54,ALL,All,All transmission categories,75,12.2,616852.0
HIV diagnoses,2019,Alabama,01,35-44,ALL,All,All transmission categories,118,19.9,593775.0
HIV diagnoses,2019,Alabama,01,25-34,ALL,All,All transmission categories,219,33.8,648519.0
HIV diagnoses,2019,Alabama,01,13-24,ALL,All,All transmission categories,165,21.7,760037.0
HIV diagnoses,2018,Alabama,01,55+,ALL,All,All transmission categories,46,3.1,1482043.0
HIV diagnoses,2018,Alabama,01,45-54,ALL,All,All transmission categories,76,12.1,627240.0
HIV diagnoses,2018,Alabama,01,35-44,ALL,All,All transmission categories,91,15.4,591929.0
HIV diagnoses,2018,Alabama,01,25-34,ALL,All,All transmission categories,206,32.0,644587.0
HIV diagnoses,2018,Alabama,01,13-24,ALL,All,All transmission categories,185,24.2,764662.0
HIV diagnoses,2017,Alabama,01,55+,ALL,All,All transmission categories,52,3.6,1456189.0
HIV diagnoses,2017,Alabama,01,45-54,ALL,All,All transmission categories,86,13.5,636509.0
HIV diagnoses,2017,Alabama,01,35-44,ALL,All,All transmission categories,109,18.4,591780.0
HIV diagnoses,2017,Alabama,01,25-34,ALL,All,All transmission categories,212,33.1,641387.0
HIV diagnoses,2017,Alabama,01,13-24,ALL,All,All transmission categories,188,24.4,770561.0
HIV diagnoses,2016,Alabama,01,55+,ALL,All,All transmission categories,61,4.3,1429062.0
HIV diagnoses,2016,Alabama,01,45-54,ALL,All,All transmission categories,98,15.2,643990.0
HIV diagnoses,2016,Alabama,01,35-44,ALL,All,All transmission categories,108,18.2,594314.0
HIV diagnoses,2016,Alabama,01,25-34,ALL,All,All transmission categories,211,33.1,636899.0
HIV diagnoses,2016,Alabama,01,13-24,ALL,All,All transmission categories,175,22.4,779848.0
HIV diagnoses,2015,Alabama,01,55+,ALL,All,All transmission categories,66,4.7,1399867.0
HIV diagnoses,2015,Alabama,01,45-54,ALL,All,All transmission categories,85,13.1,649178.0
HIV diagnoses,2015,Alabama,01,35-44,ALL,All,All transmission categories,113,18.8,600519.0
HIV diagnoses,2015,Alabama,01,25-34,ALL,All,All transmission categories,202,32.1,630170.0
HIV diagnoses,2015,Alabama,01,13-24,ALL,All,All transmission categories,199,25.1,792201.0
HIV diagnoses,2014,Alabama,01,55+,ALL,All,All transmission categories,53,3.9,1370865.0
HIV diagnoses,2014,Alabama,01,45-54,ALL,All,All transmission categories,75,11.4,656513.0
HIV diagnoses,2014,Alabama,01,35-44,ALL,All,All transmission categories,113,18.7,604393.0
HIV diagnoses,2014,Alabama,01,25-34,ALL,All,All transmission categories,216,34.6,624852.0
HIV diagnoses,2014,Alabama,01,13-24,ALL,All,All transmission categories,203,25.3,803460.0
HIV diagnoses,2013,Alabama,01,55+,ALL,All,All transmission categories,57,4.2,1341926.0
HIV diagnoses,2013,Alabama,01,45-54,ALL,All,All transmission categories,99,14.9,665030.0
HIV diagnoses,2013,Alabama,01,35-44,ALL,All,All transmission categories,108,17.8,607428.0
