Indicator,time_period,state_name,state_fips,age,race_category_id,sex,Transmission Category,hiv_diagnoses,hiv_diagnoses_per_100k,population
HIV diagnoses,2019,Alabama,01,All,ALL,Female,All transmission categories,135,6.3,2153898.0
HIV diagnoses,2019,Alabama,01,All,ALL,Male,All transmission categories,500,25.3,1974613.0
HIV diagnoses,2018,Alabama,01,All,ALL,Female,All transmission categories,118,5.5,2143059.0
HIV diagnoses,2018,Alabama,01,All,ALL,Male,All transmission categories,486,24.7,1967402.0
HIV diagnoses,2017,Alabama,01,All,ALL,Female,All transmission categories,136,6.4,2134107.0
HIV diagnoses,2017,Alabama,01,All,ALL,Male,All transmission categories,511,26.0,1962319.0
HIV diagnoses,2016,Alabama,01,All,ALL,Female,All transmission categories,144,6.8,2125663.0
HIV diagnoses,2016,Alabama,01,All,ALL,Male,All transmission categories,509,26.0,1958450.0
HIV diagnoses,2015,Alabama,01,All,ALL,Female,All transmission categories,141,6.7,2118054.0
HIV diagnoses,2015,Alabama,01,All,ALL,Male,All transmission categories,524,26.8,1953881.0
HIV diagnoses,2014,Alabama,01,All,ALL,Female,All transmission categories,131,6.2,2111378.0
HIV diagnoses,2014,Alabama,01,All,ALL,Male,All transmission categories,529,27.1,1948705.0
HIV diagnoses,2013,Alabama,01,All,ALL,Female,All transmission categories,142,6.8,2101610.0
HIV diagnoses,2013,Alabama,01,All,ALL,Male,All transmission categories,485,25.0,1941085.0
HIV diagnoses,2012,Alabama,01,All,ALL,Female,All transmission categories,137,6.6,2090090.0
HIV diagnoses,2012,Alabama,01,All,ALL,Male,All transmission categories,525,27.2,1930089.0
HIV diagnoses,2011,Alabama,01,All,ALL,Female,All transmission categories,157,7.6,2078342.0
HIV diagnoses,2011,Alabama,01,All,ALL,Male,All transmission categories,515,26.8,1919849.0
HIV diagnoses,2010,Alabama,01,All,ALL,Female,All transmission categories,186,9.0,2068103.0
HIV diagnoses,2010,Alabama,01,All,ALL,Male,All transmission categories,499,26.1,1912588.0
HIV diagnoses,2009,Alabama,01,All,ALL,Female,All transmission categories,165,8.1,2030630.0
