insurance_status,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Have some form of insurance",Alabama,1,1722,570,2292,70.7285756720681,68.0635891038024,73.3935622403337,61.2130224384576,55.5656203623357,66.8604245145796
"Do not have some form of health
insurance",Alabama,1,35,79,114,21.9567078430398,13.9914702743951,29.9219454116845,14.0853178284879,7.97297911318678,20.197656543789
"Don´t know, refused or missing
insurance response",Alabama,1,25,20,45,55.8864952397569,38.2836468706639,73.48934360885,50.9623933200858,29.2400611017179,72.6847255384537
"Have some form of insurance",Alaska,2,1850,919,2769,64.9497326872662,62.4742913618149,67.4251740127175,57.0165564966246,51.5590518166292,62.47406117662
"Do not have some form of health
insurance",Alaska,2,44,111,155,24.6174156237573,15.9101453663356,33.324685881179,31.3530211908244,18.4187794387596,44.2872629428892
"Don´t know, refused or missing
insurance response",Alaska,2,55,33,88,57.3989003762921,40.8070239194629,73.9907768331213,63.9337911366499,49.2661831403771,78.6013991329226
"Have some form of insurance",Arizona,4,3190,1605,4795,64.4608141223545,62.1892687624754,66.7323594822336,55.0826513601656,50.1508626176635,60.0144401026677
"Do not have some form of health
insurance",Arizona,4,50,188,238,19.1667626070409,12.5682531289927,25.765272085089,.,.,.
"Don´t know, refused or missing
insurance response",Arizona,4,59,38,97,65.8219861875968,51.627578606017,80.0163937691766,61.6230893443804,30.1617928273492,93.0843858614117
"Have some form of insurance",Arkansas,5,1682,754,2436,66.1460725345096,63.8166826245525,68.4754624444667,58.0707120659182,52.8326212050098,63.3088029268266
"Do not have some form of health
insurance",Arkansas,5,28,62,90,30.2754771904615,18.2235219509622,42.3274324299607,.,.,.
"Don´t know, refused or missing
insurance response",Arkansas,5,81,47,128,53.8645144948826,43.2448570744664,64.4841719152989,49.3508955474738,29.5491361590072,69.1526549359403
"Have some form of insurance",California,6,2773,1429,4202,63.31410262943,61.0619174950657,65.5662877637942,55.6280394294481,50.9871758937228,60.2689029651734
"Do not have some form of health
insurance",California,6,52,134,186,26.4508517035411,18.7886762756147,34.1130271314675,31.8067211812279,15.055865440882,48.5575769215738
"Don´t know, refused or missing
insurance response",California,6,65,42,107,58.1018245372548,44.2490173936938,71.9546316808159,44.2774393205801,28.2832205305283,60.271658110632
"Have some form of insurance",Colorado,8,2833,1276,4109,67.5528164405806,65.6846660187718,69.4209668623895,58.2952007642267,54.7835081439572,61.8068933844963
"Do not have some form of health
insurance",Colorado,8,45,153,198,23.4212852252545,16.4507580449978,30.3918124055112,.,.,.
"Don´t know, refused or missing
insurance response",Colorado,8,67,36,103,68.7561622739797,58.6456926335098,78.8666319144496,48.8158625255926,36.4352770965856,61.1964479545995
"Have some form of insurance",Connecticut,9,3577,1015,4592,76.9718442592439,75.0915235555356,78.8521649629522,67.5434243956231,63.002327991849,72.0845207993971
"Do not have some form of health
insurance",Connecticut,9,50,98,148,37.9401479871242,27.6805153171023,48.199780657146,33.782212543726,13.968119069705,53.5963060177469
"Don´t know, refused or missing
insurance response",Connecticut,9,98,33,131,66.033691174772,51.379747890084,80.68763445946,64.83171244459,43.0375595779826,86.6258653111974
"Have some form of insurance",Delaware,10,1458,539,1997,72.4369924869768,69.7314737303893,75.1425112435644,61.7561701585675,54.9471206564327,68.5652196607023
"Do not have some form of health
insurance",Delaware,10,11,48,59,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Delaware,10,25,17,42,42.6999272990554,23.2551034260975,62.1447511720133,36.6753935562805,24.682929356304,48.6678577562569
"Have some form of insurance","District of
Columbia",11,980,349,1329,70.7276921121266,67.4954679176939,73.9599163065592,62.5274560836278,56.0854997037859,68.9694124634697
"Do not have some form of health
insurance","District of
Columbia",11,8,10,18,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response","District of
Columbia",11,25,5,30,88.6066027064017,77.5480512319445,99.665154180859,97.8714136984036,92.2383280135682,100
"Have some form of insurance",Florida,12,4562,1527,6089,70.8629351098569,68.3164660560891,73.4094041636246,60.8760281944372,54.5689256643513,67.1831307245231
"Do not have some form of health
insurance",Florida,12,98,269,367,23.6239470563719,16.1013714220264,31.1465226907175,25.1261904726745,19.7328357010685,30.5195452442804
"Don´t know, refused or missing
insurance response",Florida,12,133,71,204,58.5454224544343,43.9533100424497,73.1375348664188,57.468348798498,48.3832127340277,66.5534848629683
