"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Prostate","28010","55-59 years","55-59",19686,6241758,315.4
,"1999","1999","Prostate","28010","60-64 years ","60-64",29043,5012696,579.4
,"1999","1999","Prostate","28010","65-69 years","65-69",39601,4342941,911.8
,"2000","2000","Prostate","28010","55-59 years","55-59",21515,6476836,332.2
,"2000","2000","Prostate","28010","60-64 years ","60-64",30215,5099354,592.5
,"2000","2000","Prostate","28010","65-69 years","65-69",39672,4341762,913.7
,"2001","2001","Prostate","28010","55-59 years","55-59",22928,6694290,342.5
,"2001","2001","Prostate","28010","60-64 years ","60-64",31687,5247854,603.8
,"2001","2001","Prostate","28010","65-69 years","65-69",40877,4382955,932.6
,"2002","2002","Prostate","28010","55-59 years","55-59",25425,7270171,349.7
,"2002","2002","Prostate","28010","60-64 years ","60-64",33431,5453055,613.1
,"2002","2002","Prostate","28010","65-69 years","65-69",40757,4429186,920.2
,"2003","2003","Prostate","28010","55-59 years","55-59",24621,7672601,320.9
,"2003","2003","Prostate","28010","60-64 years ","60-64",32420,5816925,557.3
,"2003","2003","Prostate","28010","65-69 years","65-69",38595,4577090,843.2
,"2004","2004","Prostate","28010","55-59 years","55-59",25588,8059227,317.5
,"2004","2004","Prostate","28010","60-64 years ","60-64",33033,6060330,545.1
,"2004","2004","Prostate","28010","65-69 years","65-69",38828,4703011,825.6
,"2005","2005","Prostate","28010","55-59 years","55-59",27080,8595175,315.1
,"2005","2005","Prostate","28010","60-64 years ","60-64",34188,6359594,537.6
,"2005","2005","Prostate","28010","65-69 years","65-69",39787,4877355,815.7
,"2006","2006","Prostate","28010","55-59 years","55-59",30586,9027212,338.8
,"2006","2006","Prostate","28010","60-64 years ","60-64",38677,6563370,589.3
,"2006","2006","Prostate","28010","65-69 years","65-69",44080,5015625,878.9
,"2007","2007","Prostate","28010","55-59 years","55-59",32291,9047774,356.9
,"2007","2007","Prostate","28010","60-64 years ","60-64",43531,7127320,610.8
,"2007","2007","Prostate","28010","65-69 years","65-69",47679,5218868,913.6
,"2008","2008","Prostate","28010","55-59 years","55-59",31172,9214176,338.3
,"2008","2008","Prostate","28010","60-64 years ","60-64",42621,7458789,571.4
,"2008","2008","Prostate","28010","65-69 years","65-69",46803,5522058,847.6
,"2009","2009","Prostate","28010","55-59 years","55-59",31017,9436333,328.7
,"2009","2009","Prostate","28010","60-64 years ","60-64",43941,7839983,560.5
,"2009","2009","Prostate","28010","65-69 years","65-69",47282,5762469,820.5
,"2010","2010","Prostate","28010","55-59 years","55-59",29979,9696838,309.2
,"2010","2010","Prostate","28010","60-64 years ","60-64",43072,8262757,521.3
,"2010","2010","Prostate","28010","65-69 years","65-69",46680,5978587,780.8
,"2011","2011","Prostate","28010","55-59 years","55-59",30890,9954854,310.3
,"2011","2011","Prostate","28010","60-64 years ","60-64",44933,8666747,518.5
,"2011","2011","Prostate","28010","65-69 years","65-69",48498,6171520,785.8
,"2012","2012","Prostate","28010","55-59 years","55-59",26568,10237817,259.5
,"2012","2012","Prostate","28010","60-64 years ","60-64",37820,8673135,436.1
,"2012","2012","Prostate","28010","65-69 years","65-69",43824,6720637,652.1
,"2013","2013","Prostate","28010","55-59 years","55-59",26021,10477526,248.4
,"2013","2013","Prostate","28010","60-64 years ","60-64",36680,8825066,415.6
,"2013","2013","Prostate","28010","65-69 years","65-69",44166,7032222,628.1
,"2014","2014","Prostate","28010","55-59 years","55-59",25438,10659557,238.6
,"2014","2014","Prostate","28010","60-64 years ","60-64",35559,9040017,393.4
,"2014","2014","Prostate","28010","65-69 years","65-69",42928,7382766,581.5
,"2015","2015","Prostate","28010","55-59 years","55-59",25840,10839016,238.4
,"2015","2015","Prostate","28010","60-64 years ","60-64",38134,9294887,410.3
,"2015","2015","Prostate","28010","65-69 years","65-69",47605,7745755,614.6
,"2016","2016","Prostate","28010","55-59 years","55-59",26419,10978932,240.6
,"2016","2016","Prostate","28010","60-64 years ","60-64",39252,9532828,411.8
,"2016","2016","Prostate","28010","65-69 years","65-69",50592,8106509,624.1
,"2017","2017","Prostate","28010","55-59 years","55-59",27797,10969150,253.4
,"2017","2017","Prostate","28010","60-64 years ","60-64",42387,9743675,435.0
,"2017","2017","Prostate","28010","65-69 years","65-69",53157,8058771,659.6
,"2018","2018","Prostate","28010","55-59 years","55-59",27759,11041380,251.4
,"2018","2018","Prostate","28010","60-64 years ","60-64",43980,10006855,439.5
,"2018","2018","Prostate","28010","65-69 years","65-69",55714,8231409,676.8
,"2019","2019","Prostate","28010","55-59 years","55-59",29017,11056389,262.4
,"2019","2019","Prostate","28010","60-64 years ","60-64",46142,10168317,453.8
,"2019","2019","Prostate","28010","65-69 years","65-69",58921,8418974,699.9
,"2020","2020","Prostate","28010","55-59 years","55-59",24308,10957353,221.8
,"2020","2020","Prostate","28010","60-64 years ","60-64",40116,10323445,388.6
,"2020","2020","Prostate","28010","65-69 years","65-69",52470,8642177,607.1
,"2021","2021","Prostate","28010","55-59 years","55-59",26774,10731785,249.5
,"2021","2021","Prostate","28010","60-64 years ","60-64",45274,10421918,434.4
,"2021","2021","Prostate","28010","65-69 years","65-69",60466,8825247,685.1
,"2022","2022","Prostate","28010","55-59 years","55-59",25771,10480095,245.9
,"2022","2022","Prostate","28010","60-64 years ","60-64",45031,10436236,431.5
,"2022","2022","Prostate","28010","65-69 years","65-69",61694,9019676,684.0
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2022 Incidence"
"Query Parameters:"
"Title: CDC_Wonder_Prostate_Cancer-Age_US"
"Age Groups: 55-59 years; 60-64 years ; 65-69 years"
"Leading Cancer Sites: Prostate"
"Sex: Male"
"Group By: Year; Leading Cancer Sites; Age Groups"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2022.html for more information."
"---"
"Query Date: Apr 28, 2026 2:17:41 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2022, WONDER Online Database. United States Department"
