Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Breast,26000,Alabama,01,50-54 years,50-54,69,275759,25
,1999,1999,Breast,26000,Alabama,01,55-59 years,55-59,62,220728,28.1
,1999,1999,Breast,26000,Alabama,01,60-64 years ,60-64,68,189814,35.8
,1999,1999,Breast,26000,Alabama,01,65-69 years,65-69,65,167363,38.8
,1999,1999,Breast,26000,Alabama,01,70-74 years,70-74,56,148565,37.7
,1999,1999,Breast,26000,Arizona,04,50-54 years,50-54,65,282200,23
,1999,1999,Breast,26000,Arizona,04,55-59 years,55-59,58,229310,25.3
,1999,1999,Breast,26000,Arizona,04,60-64 years ,60-64,54,198437,27.2
,1999,1999,Breast,26000,Arizona,04,65-69 years,65-69,78,188248,41.4
,1999,1999,Breast,26000,Arizona,04,70-74 years,70-74,96,174466,55
,1999,1999,Breast,26000,Arkansas,05,50-54 years,50-54,30,161702,18.6
,1999,1999,Breast,26000,Arkansas,05,55-59 years,55-59,39,135264,28.8
,1999,1999,Breast,26000,Arkansas,05,60-64 years ,60-64,33,115753,28.5
,1999,1999,Breast,26000,Arkansas,05,65-69 years,65-69,33,104761,31.5
,1999,1999,Breast,26000,Arkansas,05,70-74 years,70-74,53,93175,56.9
,1999,1999,Breast,26000,California,06,50-54 years,50-54,410,1920301,21.4
,1999,1999,Breast,26000,California,06,55-59 years,55-59,363,1415902,25.6
,1999,1999,Breast,26000,California,06,60-64 years ,60-64,364,1127145,32.3
,1999,1999,Breast,26000,California,06,65-69 years,65-69,416,985605,42.2
,1999,1999,Breast,26000,California,06,70-74 years,70-74,489,902399,54.2
,1999,1999,Breast,26000,Colorado,08,50-54 years,50-54,50,265834,18.8
,1999,1999,Breast,26000,Colorado,08,55-59 years,55-59,41,186839,21.9
,1999,1999,Breast,26000,Colorado,08,60-64 years ,60-64,38,142207,26.7
,1999,1999,Breast,26000,Colorado,08,65-69 years,65-69,47,120041,39.2
,1999,1999,Breast,26000,Colorado,08,70-74 years,70-74,59,104378,56.5
,1999,1999,Breast,26000,Connecticut,09,50-54 years,50-54,42,222424,18.9
,1999,1999,Breast,26000,Connecticut,09,55-59 years,55-59,47,171572,27.4
,1999,1999,Breast,26000,Connecticut,09,60-64 years ,60-64,41,130887,31.3
,1999,1999,Breast,26000,Connecticut,09,65-69 years,65-69,54,118365,45.6
,1999,1999,Breast,26000,Connecticut,09,70-74 years,70-74,50,114972,43.5
,1999,1999,Breast,26000,Florida,12,50-54 years,50-54,208,942150,22.1
,1999,1999,Breast,26000,Florida,12,55-59 years,55-59,215,789129,27.2
,1999,1999,Breast,26000,Florida,12,60-64 years ,60-64,232,720321,32.2
,1999,1999,Breast,26000,Florida,12,65-69 years,65-69,275,732184,37.6
,1999,1999,Breast,26000,Florida,12,70-74 years,70-74,305,730681,41.7
,1999,1999,Breast,26000,Georgia,13,50-54 years,50-54,107,487139,22
,1999,1999,Breast,26000,Georgia,13,55-59 years,55-59,101,362385,27.9
,1999,1999,Breast,26000,Georgia,13,60-64 years ,60-64,108,280449,38.5
,1999,1999,Breast,26000,Georgia,13,65-69 years,65-69,108,233760,46.2
,1999,1999,Breast,26000,Georgia,13,70-74 years,70-74,108,197516,54.7
,1999,1999,Breast,26000,Hawaii,15,55-59 years,55-59,19,57934,32.8
,1999,1999,Breast,26000,Hawaii,15,60-64 years ,60-64,21,45708,45.9
,1999,1999,Breast,26000,Hawaii,15,70-74 years,70-74,23,42452,54.2
,1999,1999,Breast,26000,Idaho,16,50-54 years,50-54,17,74530,22.8
,1999,1999,Breast,26000,Idaho,16,60-64 years ,60-64,16,46544,34.4
,1999,1999,Breast,26000,Idaho,16,65-69 years,65-69,19,39821,47.7
,1999,1999,Breast,26000,Idaho,16,70-74 years,70-74,25,35543,70.3
,1999,1999,Breast,26000,Illinois,17,50-54 years,50-54,146,726545,20.1
,1999,1999,Breast,26000,Illinois,17,55-59 years,55-59,192,567540,33.8
,1999,1999,Breast,26000,Illinois,17,60-64 years ,60-64,181,461748,39.2
,1999,1999,Breast,26000,Illinois,17,65-69 years,65-69,205,400609,51.2
,1999,1999,Breast,26000,Illinois,17,70-74 years,70-74,234,377467,62
,1999,1999,Breast,26000,Indiana,18,50-54 years,50-54,80,366436,21.8
,1999,1999,Breast,26000,Indiana,18,55-59 years,55-59,75,288461,26
,1999,1999,Breast,26000,Indiana,18,60-64 years ,60-64,73,234501,31.1
,1999,1999,Breast,26000,Indiana,18,65-69 years,65-69,95,204460,46.5
,1999,1999,Breast,26000,Indiana,18,70-74 years,70-74,111,192620,57.6
,1999,1999,Breast,26000,Iowa,19,50-54 years,50-54,38,172878,22
,1999,1999,Breast,26000,Iowa,19,55-59 years,55-59,34,136955,24.8
,1999,1999,Breast,26000,Iowa,19,60-64 years ,60-64,38,118821,32
,1999,1999,Breast,26000,Iowa,19,65-69 years,65-69,42,107971,38.9
,1999,1999,Breast,26000,Iowa,19,70-74 years,70-74,68,105306,64.6
,1999,1999,Breast,26000,Kansas,20,50-54 years,50-54,34,155509,21.9
,1999,1999,Breast,26000,Kansas,20,55-59 years,55-59,31,118900,26.1
,1999,1999,Breast,26000,Kansas,20,60-64 years ,60-64,39,98820,39.5
,1999,1999,Breast,26000,Kansas,20,65-69 years,65-69,34,90679,37.5
,1999,1999,Breast,26000,Kansas,20,70-74 years,70-74,43,86584,49.7
,1999,1999,Breast,26000,Kentucky,21,50-54 years,50-54,53,252943,21
,1999,1999,Breast,26000,Kentucky,21,55-59 years,55-59,64,199700,32
,1999,1999,Breast,26000,Kentucky,21,60-64 years ,60-64,61,166288,36.7
,1999,1999,Breast,26000,Kentucky,21,65-69 years,65-69,69,144509,47.7
